formula,target
N3Rh1Te1,2.16
Hf1O3Te1,1.52
As1F1O2Re1,1.48
O2Re1S1W1,1.24
Bi1F1Hf1O2,0.62
F1Li1N1O1Y1,1.48
Be1F1O2W1,1.56
As1N1O2Sc1,1.2
Cr1N2O1Te1,1.62
O2Rb1S1Sc1,3.16
Co1Hf1N1O2,1.4
Fe1Li1N2O1,2.74
O3Pb1Ru1,0.78
Au1Ga1O2S1,1.24
Cs1F1Hg1N1O1,1.76
N1O2Os1W1,1.5
Hg1N3Y1,2.06
Hg1O3Te1,1.06
Mg1O3Ru1,1.7
F1N1O1Sr1V1,0.46
Ga1N2O1V1,1.08
Cd1Cr1F1O2,1.28
Au1F1K1N1O1,1.76
Be1F1N1Na1O1,1.68
Co1K1O3,0.82
N1O2Pt1Sn1,1.16
O2S1Y1Zr1,1.18
O2S1Sb1Sc1,1.24
Fe1O3Ta1,0.32
N3Sc1W1,0.6
F1Li1N1Na1O1,2.3
Mo1O3V1,0.66
As1Cd1O2S1,2.0
N1O2V1Zr1,0.62
Bi1In1O2S1,0.98
Au1F1N1O1Si1,1.3
F1Ga1Mo1N1O1,0.58
Bi2N2O1,1.18
N1O2Pd1Sb1,1.34
F1N1O1Sn1Tl1,0.76
F1Li1O2Sb1,1.16
Co1F1O2Zr1,1.28
Mo1O3W1,1.4
F1N1O1Sr1Ta1,2.96
O2S1W1Zn1,0.72
F1Mn1O2V1,0.6
N3Re1Sr1,0.68
Cs1F1N1O1Ti1,0.7
Cd1Li1N3,2.84
N1O2Pb1Y1,1.18
Hf1La1O2S1,0.56
As1O2Pd1S1,0.92
Ge1N3Nb1,0.98
N1O2Pd1Rb1,3.2
Be1Ga1O2S1,1.48
Au1Bi1O2S1,1.36
Au1In1N2O1,1.78
Cr1N1O2Pd1,0.84
F1O2Rb1Sn1,0.36
Mo1N1O2W1,0.64
Co1N2O1Pd1,1.44
N1O2Rb1W1,0.0
Cs1F1Ir1O2,1.24
Cs1N3W1,1.36
Ca1N1O2Sr1,1.9
B1Be1F1N1O1,1.54
As1F1N1O1Zr1,0.86
Be1N3Sc1,1.48
Cu1Fe1N1O2,1.1
F1K1N1O1Ta1,3.34
F1Ni1O2Ta1,1.08
Fe1N3Sr1,3.74
In1Mo1N3,0.82
N3Pt1Te1,2.3
F1K1O2Ru1,3.2
B1O3Si1,1.9
N1O2Si1Sr1,2.98
F1Ga1O2Pt1,1.38
Mn1N1O2W1,0.42
La1O2Pt1S1,1.0
F1N1Nb1O1V1,1.06
N1Na1O2Tl1,1.6
Ag1In1N3,2.04
Cu1Ge1N1O2,0.96
B1Li1N2O1,2.22
Be1N3Sb1,1.9
Ge1N2O1Sn1,1.12
Ba1Co1F1N1O1,2.8
O3Te1V1,0.62
F1La1O2Ru1,1.86
Cd1Ga1O3,1.72
Be1Fe1N3,1.32
F1O2Te1Zr1,0.76
N2O1Pb1Sn1,1.44
N2Na1O1Si1,2.32
Mo1N2Ni1O1,1.16
Cd1K1N3,3.6
Mg1N3Os1,1.44
Ir1O2S1Ta1,0.56
Hg1N3Sn1,2.38
F1N1Na1O1Ru1,1.08
N3Ni2,1.48
N3Nb1Re1,1.02
O3Re1Tl1,0.42
Hf1Na1O2S1,1.64
Ca1Co1F1N1O1,2.58
Cr1O2S1Sc1,0.62
Au1Mg1N1O2,1.7
Ca1N2Na1O1,2.8
Be1F1N1O1Si1,1.54
N1O2Pd1W1,1.62
Mn1N1O2Te1,1.0
Co1Ir1N3,1.98
Cu1O2S1W1,1.96
Au1F1La1O2,1.3
Ge1O3Pd1,1.04
Bi1O3Rh1,1.3
Bi1Hf1N3,2.18
Cu1Ni1O2S1,1.06
Ga1La1N1O2,1.7
As1La1N2O1,0.7
N1Ni1O2Pd1,2.18
Al1N1O2Sb1,0.94
Hf1N2O1Pd1,1.0
Ge1N2O1Sn1,1.1
F1N1O1Pb1W1,0.54
F1N1O1Rb1Tl1,1.38
O2S1Sn1Ti1,0.48
Cd1F1Mo1N1O1,1.9
As1N3Ru1,1.78
Na1O2S1Y1,1.02
N3Sb1Y1,1.92
In1Mg1O3,1.02
F1Ge1O2Rh1,1.14
F1Ga1N1O1V1,0.56
B1N2O1Ta1,1.5
F1Hg1Mn1O2,1.5
Ba1O2Pb1S1,1.6
N1O2Sn1V1,0.44
K1N2O1Sn1,3.26
La1O3V1,0.88
Ag1F1Hg1O2,1.42
Li1N3Rh1,2.02
Cr1N2O1Sr1,3.14
Mg1N2O1Ru1,2.52
Fe1N2O1Sn1,1.1
Cd1Mg1N3,2.4
N2O1Pt1Y1,1.36
B1Fe1O3,2.24
Bi1Hg1N3,2.22
In1N2Nb1O1,1.26
Au1F1O2V1,0.66
F1O2Pd1Sn1,1.0
Bi1O2Re1S1,1.44
Be1F1O2Pt1,1.64
La1O3W1,1.28
Ca1O2Pb1S1,1.46
F1Fe1N1O1Pt1,1.78
Ca2N3,2.48
N3Rb1Y1,2.16
N1O2Pd1Rh1,1.78
Cs1N3Te1,3.9
N2O1Ta1Zn1,0.64
Cu1O2Rh1S1,1.1
Be1N3Si1,1.86
F1Hf1Mn1N1O1,1.4
Ir1N1O2Zn1,1.44
Ag1Li1N3,2.62
Co1N2O1Sb1,1.14
Ag1F1O2Ti1,-0.04
B1F1N1O1Re1,1.92
Bi1Ni1O3,0.72
Ga1N3Re1,0.9
F1Mn1O2Ti1,0.44
Be1O2Ru1S1,1.52
N2O1Rb1Rh1,2.02
Bi1F1O2Pd1,1.12
N1O2Rb1Ru1,0.88
As1N1O2Ti1,1.2
O2Rb1S1Ti1,3.44
F1O2Si2,1.36
F1N1Nb1O1Pd1,0.66
Au1N1Ni1O2,1.7
Au1O2S1Zr1,2.02
Mg1N1O2Y1,1.06
Hg1O2S1Sn1,1.24
Ba1F1Nb1O2,2.46
F1N1O1Os1Y1,2.52
Al1Au1F1N1O1,2.54
Cs1Cu1O2S1,3.08
N1O2Pt1Ru1,1.84
Cr1N1Na1O2,1.26
F1N1O1Re1Zn1,0.9
Cu1N1O2Pb1,1.52
Cd1N3Tl1,2.32
Cd1Nb1O3,1.18
Ba1K1O3,1.26
Cu1Mn1N1O2,1.24
Ag1O2Pd1S1,1.46
F1N1O1Ta1Te1,1.48
B1Ir1N1O2,2.18
Mn1O2Pd1S1,1.26
Ag1Cu1N1O2,1.88
Ca1F1O2Si1,0.7
Co1N2O1Rb1,4.18
N2O1Os1Tl1,1.18
Ag1O3Os1,1.1
Ca1F1Nb1O2,1.64
O2Os1S1Sb1,1.02
As1F1In1O2,0.68
O3Pb1Te1,1.18
Li1O3Ru1,2.1
O2S1Sb1Ti1,1.46
Ba1O2Os1S1,3.54
Be1N1O2Rb1,1.92
Bi1Co1F1O2,0.68
Ga1O2S1Sn1,0.88
Bi1N2O1Zr1,1.42
Mo1N2O1Sb1,0.54
Mo1O2S1Tl1,0.56
B1F1O2Pb1,0.92
Mn1N1O2Re1,0.58
Co2N1O2,1.16
Co1Cr1N2O1,0.8
Ag1N1O2Re1,0.64
Fe1O2S1Tl1,1.22
Ca1O2S1Sr1,1.4
O3Sc1Ti1,0.26
Ca1N1O2Te1,0.82
Cu1F1N1O1Zn1,1.52
N3Pd1Sc1,1.54
Ba1F1Mn1O2,-0.06
O2Ru2S1,1.36
Ca1N3V1,0.98
N1O2Si1Te1,2.04
Bi1O3Pt1,1.36
Ba1Ir1N3,3.96
F1O2Sb1Zn1,0.8
Ca1O2Os1S1,1.4
O2Pt1Rb1S1,1.62
As1Fe1N3,1.82
Cr1O2S1Ti1,0.8
N3Pd1Sb1,1.98
Cu1O2S1Sc1,0.78
Co1N3Ru1,1.32
B1Cu1F1N1O1,2.8
F1Ir1Mn1N1O1,1.5
Ba1N3V1,0.84
Ag1F1Ir1N1O1,1.08
Ba1O2S1Sr1,1.74
O3Sb1Ti1,0.54
Ba1N1O2Zr1,0.14
Ba1Ga1N2O1,1.16
O3Sr1V1,-0.26
Cr1N3Y1,2.26
Ag1Ir1N1O2,2.14
O2Re1Rh1S1,1.08
F1Fe1Mo1O2,1.28
Mo1O2S1Zr1,1.2
F1Mn1N1O1Y1,1.4
F1O2Tl2,0.78
F1Hf1O2Zr1,0.92
O2Rh1S1Y1,1.06
Cu1O3Sc1,1.18
K1N2O1Y1,2.56
N1O2V1Y1,0.4
Li1Mn1O2S1,1.04
F1O2Pt1Ru1,1.44
Ca1O3Sn1,0.16
La1O2S1W1,0.74
F1Ge1N1O1Os1,1.14
Fe1N2O1Zn1,1.66
Fe1O3Rb1,3.44
Cd1O3Sr1,0.92
Al1N3Tl1,3.14
Cu1O3Sb1,1.14
In1La1N3,2.1
Be1N1Ni1O2,1.54
Au1Ge1N3,1.94
N3Sb1Te1,1.7
In1K1O3,2.2
Ni1O2Re1S1,0.8
Au1N2O1Re1,1.96
F1Mo1N1O1Y1,1.66
Co1La1O2S1,0.54
F1N1O1Rb1Y1,1.36
