formula,target
K4Mn4O8,1.3321999999999998
Cr3Ni1,0.0
As1Cs1Rb1,0.0
Si1Sn1,0.4112999999999998
Ca3P2,0.35139999999999993
Co8Ge12Li12O48,0.0
In1Sb1,0.0
Hf1Mg6Sb1,0.0
Hf1Mg6Sb1,0.0
O6Si2Zn2,3.5902
Cd1Co1Mg6,0.0
Co1Mg6Sn1,0.0
Cu1Mg6Sb1,0.0
Co1Mg6Ni1,0.0
Ga1Mg6Zr1,0.0
Hf1Mg6Y1,0.0
Mg6Ti1Zn1,0.0
Mg6Ni1Y1,0.0
Al1La1Mg6,0.0
Ca1Mg6Zr1,0.0
Mg14Mo1Sb1,0.0
Cr1Hf1Mg14,0.0
Bi1Mg14Rb1,0.0
Cr1La1Mg14,0.0
Bi1K1Mg14,0.0
K1Mg14Sr1,0.0
Co1La1Mg14,0.0
Mg14Mn1Ti1,0.0
Mg14Rb1Sn1,0.0
Mg14Ti1V1,0.0
Mg14Ni1Sr1,0.0
Co1Hf1Mg14,0.0
Ba2C4,2.1132
Mg6Na1O8Y1,2.8937000000000004
Cd1Mg14O16Ti1,0.0
Mg14Ni1O16Sn1,0.0
Mg14O16Ti1Y1,0.0
Al1K1Mg14O16,1.8533
Mg30O32Si1Sn1,1.9428999999999998
Mg30O32Si1Sn1,0.9231999999999996
Cs1Mg30O32Y1,2.1694000000000004
Bi6Mg12,0.0
Bi6Sn2,0.0
Mn12O24,0.0
Be12O48Sb8Si12,2.9288000000000003
Fe2O16W4,0.0
O8W3,2.7281999999999997
Ca6Cu6Mo12O42,0.0
Ag4O8Zn2,0.3771
Fe2La2O12Sn2Zn2,2.2267
Ni4O36P8Sn4,0.0041999999999999815
Cr12O28,0.24039999999999995
Ca2Cu9O13,0.0
Ca2O24P8W2,1.9165
O24P8W2Zn2,0.08329999999999993
Mg4O8Ti4,0.24409999999999954
Cr9O13Zn2,0.0
Bi4O8Zn1,0.4849999999999999
Bi2Cu4O14Sr4,0.0
O28P8Ti6,0.014199999999999768
Ca2O6Sb1W1,2.1391
Ag4Ca2O8,0.0
Ca1Cr2O5S2Sr3,1.4213999999999998
Cu2,0.0
Mg12Si8,0.0
Ca8Mn8O80Sr24Ti24,0.0
Dy3Ga3Mn3,0.0
K4Mn4O8,1.3269
Ce2Se4,0.05889999999999995
Ce8Se16,0.060100000000000264
Ce12Se24,0.5375000000000001
Sn4Zr4,0.0
Mg2Sr4,0.0
Mg2Sr4,0.0
Mg6Sb6,0.0
Bi8Mg4,0.0
Mg2Y2,0.0
B4C4Er2,0.0
Dy2Mn4O8,0.0
Hf2Se16Te6,0.7122000000000002
Hf1Mg6Na1,0.0
Mg4Mn4O10,0.0
Cr12Fe20La24O80Sm8,0.9913999999999996
Ca4S44Sn20,0.28719999999999946
O8Th4,3.4895000000000005
B6Co3Sm4,0.0
Fe1Mo6Se8,0.0
Fe2O10S2,0.0
B6Co3Er4,0.0
Cl6Li10O2,3.6165000000000003
I6Li1Rb2Ta1,0.0
Cl6Cu1Dy1Na2,1.5228
Cl6Cu1Er1Na2,1.5764999999999998
Cl6Ga1Hg1K2,0.0
Au1F6K2Sc1,1.5725
Au1F6K2Rh1,0.5952999999999999
Cs1F6K2Sb1,3.0671
Cl6K2Li1Ta1,0.0
Cl6K2Na1Ta1,0.0
Ba1Ni1O3,0.0
Cu2O4Si1,0.09589999999999987
Co1Li5Mn2O8,0.0
Co1Li5Mn2O8,0.0
Co4Li4Mn2O12,0.8201
Cu3Pb1Sc1Se4,1.5941999999999998
C24F48H80Sb16,4.7915
Mo4Na4O20Zn4,0.14850000000000002
Mn6Si6V4,0.0
Au2Br8K2O4,0.39149999999999996
Lu4S6,2.5107999999999997
Cl4Hg4N4,0.0
Ac1Ce3,0.0
Ac1Ce3,0.0
Ba6Bi2,0.0
Ca6Dy2,0.0
Ce6Tm2,0.0
Co6Sn2,0.0
Au1Gd3,0.0
Cs1Eu1O3,0.0
Pu1S3,0.0
Au2Sn6,0.0
La1Sr3,0.0
O3Pt1Sr1,0.0
Pd1Ta3,0.0
Bi1Y3,0.0
I2Na4O12,0.1876
F10Fe4O4,0.789
C5Eu1H9N2O8,0.0
Al12Li12,0.0
Cd4N4O16,0.042100000000000026
Fe8O16Ti4,0.0
Cr2I2O20Rb2U2,0.14190000000000003
Co34Np4,0.0
F44Li4O2Th10,1.303
Bi4Cu8O40S4Te4,0.09850000000000003
Ba8O24W4,0.38660000000000005
C72Cl8Cu8H216N8Sn24,2.8242000000000003
K8O24Si8,0.1873
As4N12S16,1.2746
Al4B2Ca4Mn2O30Si8,1.0911
Se20Sr4U8,0.0026999999999999247
C4Cl4H24K2N4O8P2Pt2,2.5140000000000002
H64N24O40S4,3.0914
Na16O72Si24Y6,0.0
C2H18N18,2.008
Al8Li4O40P8Sr2,0.0
As8F40K8O8,1.1816999999999998
Cu20O56Si16,0.0
C32Cd4H56N8O24,3.4231000000000003
S36Sb16Sm12,0.0
C80Cl8H216N32P16,3.7150999999999996
C32H96N16V4,1.7011
