formula,target
Ba1Te1,98.58577122703691
As1B1,701.5857233477558
Ba1Ga1H1Si1,1138.5856886491724
Al1Ga1N2,718.5857219979254
B2P2,795.5857158839873
F2S2Y2,339.58575209120477
Ge1Pt1Ti1,297.5857554260802
Mg1Te1,247.5857593961698
As4Mg2Sn2,276.58575709351777
As4Be2Sn2,523.5857374812748
Be2P4Si2,590.5857321613547
As4Be2Si2,528.5857370842659
As4Be2Ge2,540.5857361314445
Ca2Si1,240.5857599519823
Si1Sn1,344.5857516941958
Cs2Se1,100.58577106823331
N2Zn1Zr1,650.5857273972472
Ir4P8,483.58574065734666
K3Sb1,135.9557896728841
Al2Na2Te4,338.5857521706066
Ba2F1N1,366.5857499473565
Al2Sb2,322.5857534410353
Li1P1Zn1,400.58574724769545
Li4N2O4P2,1100.5856916664407
Ge4Li2N6,856.5857110404779
F2O2Y2,593.5857319231493
K2S1,184.5857643984827
Na1S2Y1,279.5857568553124
Na4Pt2S4,355.58575082077624
Ba1F3Li1,481.5857408161503
S4Zn4,335.58575240881197
B4C4Ca2,1292.5856764212965
Ba1F2,301.58575510847294
Ba2Hf2N4,719.5857219185235
Ba2Cu2Te6Y2,172.58576535130422
Ge1O6Sr1Te1,694.5857239035686
Cs3Sb1,69.63722405788964
Mg2Te2,270.5857575699285
C1K2N2,1979.5856218722645
K2O4Sb2,609.5857306527207
O4Rb2Sb2,607.5857308115244
Ba2Li2Sb2,336.58575232941024
F6Rb2Si1,762.5857185042465
Au4O4Rb4,545.5857357344355
Mg2N2Sr1,542.5857359726408
Li1P1Sr1,429.5857449450435
Ba1Li1P1,376.58574915333855
As1Ba1Li1,359.5857505031691
F3Sc1,637.5857284294706
S1Zn1,335.58575240881197
Cd2Se2,187.58576416027734
Cu3S4Ta1,413.58574621547217
Mg1Se1,302.5857550290712
As2K2S6Sn1,369.5857497091512
S1Sr1,219.58576161942003
C2Pd1Rb2,1826.5856340207388
C2Pt1Rb2,1797.5856363233909
Hg2Se4Sn1,230.58576074600026
C1Cd1N2,2151.5856082151568
Cu6Rb2S4,317.58575383804435
Cu2Ga2O4,679.5857250945952
Ag2Ga2O4,614.5857302557117
Ag2O4Sc2,577.5857331935781
Ba1O2,910.5857067527812
Si4Sr8,217.5857617782236
Cs2Hg2Se6Y2,199.5857632074558
Li1P1S4Zn1,571.5857336699888
Ba4Ca4Sn4,170.5857655101078
Rb2Se1,99.58577114763511
F1Li1,593.5857319231493
Al4O6,792.5857161221927
Ni1Sb1Y1,204.58576281044685
Li2S1,457.5857427217933
N4S2Zr4,679.5857250945952
B2Ba1O6Ti1,1382.5856692751352
Al4Se6,429.5857449450435
Pd3Rb2S4,348.5857513765887
K2S4Sb2,330.5857528058209
C5Si5,833.7677456801904
C4Si4,907.5857069909863
B2Mg1O6Sn1,1341.5856725306085
F1Rb1,233.5857605077949
K4P2Zn1,414.5857461360704
K1La1Te2,144.5857675745544
Ca3N1P1,485.1102590218785
Hf1Pd1Sn1,197.58576336625939
Se1Zn1,224.58576122241104
Be4Ca2N4,1112.585690713619
Be4N4Sr2,1049.5856957159324
Rb4S6Si2,579.5857330347744
C1N2Sr1,2014.5856190932016
Ba2O6Ta1Y1,781.5857169956122
Ca4Ge4Sr4,200.58576312805405
Ga1O6Sr2Ta1,809.5033679564572
Ga4O6,674.5857254916042
Cu2F2S2Sr2,337.5857522500084
Ir4Sb8,227.5857609842057
Cd2Cs2La2Te6,159.58576638352753
O2P2Y2Zn2,561.5857344640067
Ba1Se1,109.58577035361715
Ag2K1P1S4,531.5857368460606
K4Te4Zn2,187.58576416027734
F8Pd2Sr2,526.5857372430696
Ba2F8Pd2,520.5857377194803
Cd2Te2,144.5857675745544
Ba6N2Sb2,435.58574446863264
O4Pt2,703.5857231889522
K6S6,478.5857410543556
Al2Ba1O7Sb2,978.5857013534593
O2S1Y2,524.5857374018732
Ag2Te4Y2,181.58576463668808
Ag1Sc1Se2,247.5857593961698
Ba2Be4N4,1002.5856994478163
B2Cu2S4,689.5857243005772
Mg1Te1,261.5857582845447
Ba2La1O6Ta1,753.9456261761827
Ba2La1O6Ta1,754.4592429505203
Hf2O6Sr2,776.3577663735823
K4O6Ti2,795.5857158839873
Li2P2Sr2,410.5857464536776
Ba2Li2P2,350.5857512177851
Ba2O6Sr1Te1,695.3071651297435
Ga4Se6,280.5857567759106
Ba4O4,374.5857493121421
As4Pt2Rb4,276.58575709351777
Ca6P6,432.585744706838
B2Mg1O6Sr2,1326.5856737216354
Cs4Pt2,83.42622265888586
F6Pb1Zn1,534.5857366078552
Cd2O6Ti2,709.5857227125415
Ca4O1Sb2,401.58574716829366
O8P2Tl2,1077.5856934926821
Cs2F6Na1Tl1,443.58574383341835
F8Pd2,652.5857272384436
Cs2F6In1Na1,465.5857420865789
Cu4O4Sr2,592.5857320025513
F6Sn1Zn1,609.5857306527207
Cd1F6Sn1,595.5857317643457
Cs2F6Na1Y1,461.585742404186
O1Rb2,275.58575717291956
F6Rb2Zr1,568.5857339081942
F6Hf1Rb2,579.5857330347744
Cs2F6Hf1,572.5857335905872
Cd1Ga2Te4,208.5857624928397
F6Pd1Zn1,623.5857295410957
Cd1F6Pd1,619.5857298587027
Cs2Pt3S4,375.58574923274034
K6Sb2,136.26216674540237
F6Na1Rh1Tl2,544.5857358138372
F6Na1Rb2Rh1,558.5857347022122
F6Pd1Rb2,614.5857302557117
Ag2Al2Se4,373.585749391544
Ag2Al2Te4,323.58575336163346
Li1O2Rh1,571.5857336699888
Cu1O2Rh1,691.5857241417737
P4Ru2,453.5857430394004
Ca1Se1,184.5857643984827
K3Nb1O8,904.376237450921
As2Cu3K3,287.5857562200981
Ag3As2K3,236.5857602695895
