formula,target
N3Rh1Te1,1.9900000000000002
Hf1O3Te1,1.52
F1Li1N1O1Y1,1.48
As1N1O2Sc1,1.43
Cr1N2O1Te1,1.2000000000000002
Fe1Li1N2O1,2.2
O3Pb1Ru1,0.78
Au1Ga1O2S1,1.28
Cs1F1Hg1N1O1,1.76
N1O2Os1W1,1.71
Hg1N3Y1,2.05
Hg1O3Te1,1.06
Mg1O3Ru1,1.3599999999999999
F1N1O1Sr1V1,0.46
Ga1N2O1V1,0.8600000000000001
Cd1Cr1F1O2,0.74
Au1F1K1N1O1,2.41
Be1F1N1Na1O1,2.4699999999999998
Co1K1O3,0.82
N1O2Pt1Sn1,1.2
O2S1Y1Zr1,0.8999999999999999
O2S1Sb1Sc1,1.24
Fe1O3Ta1,0.32
Mo1O3V1,0.66
N1O2V1Zr1,0.76
Bi1In1O2S1,0.85
Bi2N2O1,1.18
N1O2Pd1Sb1,1.29
F1N1O1Sn1Tl1,1.04
F1Li1O2Sb1,0.9199999999999999
Co1F1O2Zr1,1.04
Mo1O3W1,1.15
F1N1O1Sr1Ta1,1.8
O2S1W1Zn1,1.3599999999999999
F1Mn1O2V1,0.6
N1O2Pb1Y1,1.17
Hf1La1O2S1,0.56
Ge1N3Nb1,1.02
Be1Ga1O2S1,1.3399999999999999
Au1Bi1O2S1,1.21
Au1In1N2O1,1.78
Cr1N1O2Pd1,0.84
Mo1N1O2W1,0.64
Co1N2O1Pd1,1.5699999999999998
N1O2Rb1W1,0.0
Cs1F1Ir1O2,2.36
Cs1N3W1,2.89
Ca1N1O2Sr1,1.6
B1Be1F1N1O1,2.16
Be1N3Sc1,1.6
Cu1Fe1N1O2,1.1
F1K1N1O1Ta1,1.8499999999999999
F1Ni1O2Ta1,0.73
Fe1N3Sr1,2.6100000000000003
In1Mo1N3,1.23
N3Pt1Te1,2.3
F1K1O2Ru1,2.0300000000000002
B1O3Si1,1.67
N1O2Si1Sr1,1.74
Mn1N1O2W1,0.86
La1O2Pt1S1,0.88
F1N1Nb1O1V1,1.06
N1Na1O2Tl1,1.6
Ag1In1N3,2.0
Cu1Ge1N1O2,1.17
B1Li1N2O1,2.22
Ba1Co1F1N1O1,1.8299999999999998
O3Te1V1,0.94
F1La1O2Ru1,1.86
F1O2Te1Zr1,1.0899999999999999
N2O1Pb1Sn1,1.44
N2Na1O1Si1,1.92
Ir1O2S1Ta1,1.04
Hg1N3Sn1,2.38
F1N1Na1O1Ru1,1.86
N3Nb1Re1,1.02
O3Re1Tl1,1.44
Au1Mg1N1O2,1.8199999999999998
Ca1N2Na1O1,2.86
Be1F1N1O1Si1,1.75
N1O2Pd1W1,1.11
Mn1N1O2Te1,1.0899999999999999
Co1Ir1N3,1.69
Cu1O2S1W1,1.3
Au1F1La1O2,1.3
Ge1O3Pd1,1.04
Bi1O3Rh1,1.11
Cu1Ni1O2S1,1.06
As1La1N2O1,1.5299999999999998
Al1N1O2Sb1,1.27
Ge1N2O1Sn1,1.1
F1N1O1Pb1W1,0.54
F1N1O1Rb1Tl1,1.38
O2S1Sn1Ti1,0.88
Cd1F1Mo1N1O1,1.25
As1N3Ru1,1.8599999999999999
N3Sb1Y1,1.45
In1Mg1O3,1.02
F1Ge1O2Rh1,1.08
F1Ga1N1O1V1,0.78
B1N2O1Ta1,1.3199999999999998
F1Hg1Mn1O2,1.5
K1N2O1Sn1,2.48
La1O3V1,0.88
Li1N3Rh1,2.1399999999999997
Mg1N2O1Ru1,2.52
Fe1N2O1Sn1,1.17
B1Fe1O3,1.71
Au1F1O2V1,1.25
F1O2Pd1Sn1,1.0
Bi1O2Re1S1,1.17
Be1F1O2Pt1,2.03
F1Fe1N1O1Pt1,1.78
Ca2N3,2.48
N3Rb1Y1,2.83
Cs1N3Te1,3.1399999999999997
N2O1Ta1Zn1,0.64
Cu1O2Rh1S1,1.12
Be1N3Si1,1.81
F1Hf1Mn1N1O1,1.13
Ir1N1O2Zn1,1.46
Ag1Li1N3,2.6
Co1N2O1Sb1,1.14
Ag1F1O2Ti1,0.85
Ga1N3Re1,0.9
F1Mn1O2Ti1,0.73
N2O1Rb1Rh1,3.13
N1O2Rb1Ru1,2.15
F1O2Si2,1.36
F1N1Nb1O1Pd1,1.23
Au1N1Ni1O2,1.83
Au1O2S1Zr1,1.3900000000000001
Ba1F1Nb1O2,2.46
F1N1O1Os1Y1,1.94
Al1Au1F1N1O1,1.9300000000000002
Cs1Cu1O2S1,2.46
Cr1N1Na1O2,0.8300000000000001
F1N1O1Re1Zn1,0.9
Cd1N3Tl1,2.42
Cd1Nb1O3,0.6699999999999999
Ba1K1O3,1.26
Cu1Mn1N1O2,1.05
B1Ir1N1O2,1.96
Ag1Cu1N1O2,1.88
Co1N2O1Rb1,3.12
Ag1O3Os1,1.1
Ca1F1Nb1O2,1.04
O2Os1S1Sb1,1.17
O3Pb1Te1,0.9099999999999999
O2S1Sb1Ti1,1.04
Be1N1O2Rb1,1.92
Ga1O2S1Sn1,0.8300000000000001
Mo1N2O1Sb1,0.81
Mo1O2S1Tl1,0.56
B1F1O2Pb1,1.6199999999999999
Mn1N1O2Re1,1.06
Co2N1O2,1.16
Co1Cr1N2O1,0.9500000000000001
Fe1O2S1Tl1,1.04
Ca1O2S1Sr1,1.4
O3Sc1Ti1,0.43
Cu1F1N1O1Zn1,1.56
N3Pd1Sc1,1.5899999999999999
O2Ru2S1,1.36
N1O2Si1Te1,1.6099999999999999
Ba1Ir1N3,3.96
F1O2Sb1Zn1,0.81
Ca1O2Os1S1,1.13
As1Fe1N3,1.75
Cr1O2S1Ti1,0.61
N3Pd1Sb1,1.95
Cu1O2S1Sc1,0.78
Co1N3Ru1,1.37
B1Cu1F1N1O1,2.1799999999999997
Ag1F1Ir1N1O1,1.76
Ba1O2S1Sr1,1.6099999999999999
O3Sb1Ti1,0.99
Ba1N1O2Zr1,0.14
Ba1Ga1N2O1,1.9500000000000002
O3Sr1V1,-0.26
Cr1N3Y1,1.39
Ag1Ir1N1O2,1.82
O2Re1Rh1S1,1.38
F1Fe1Mo1O2,1.17
Mo1O2S1Zr1,1.2
F1Mn1N1O1Y1,1.4
F1O2Tl2,0.78
O2Rh1S1Y1,1.06
Cu1O3Sc1,1.26
K1N2O1Y1,2.26
Li1Mn1O2S1,1.06
La1O2S1W1,0.74
Fe1N2O1Zn1,1.48
Fe1O3Rb1,3.44
Cd1O3Sr1,1.3
Be1N1Ni1O2,1.57
Au1Ge1N3,1.94
N3Sb1Te1,1.6600000000000001
Ni1O2Re1S1,0.8
Au1N2O1Re1,1.51
F1Mo1N1O1Y1,1.37
F1N1O1Rb1Y1,1.36
F1N1O1Y1Zn1,1.14
Nb1O3Ti1,0.6499999999999999
