formula,target
K6S6,1.752063640396657
K12O16V4,1.6254735885432015
F4Mn4O4,2.67688749607948
Ca2F6Tl2,1.6774943616398088
Pd4Se6Tl2,5.083371584555542
Mo1Se2,2.9537844725188536
Li8O16Zr6,2.077186558785705
Cl3Cs1Ge1,1.9084626448182505
Au2O4Rb2,1.8904877677467269
Cu2O4Rb2,2.0107925468995203
C1Mn1N2,2.3237190736690407
Au2Na4Sb2,4.248906133739991
As2Au2Na4,3.5748193427546107
Cu2K4P2,2.5537053471377607
O24Si12,1.4721589991645652
Cd1Ge1Te4Tl2,3.7103414038782647
Cd4I8,2.1513240963435263
F20O4Os4,1.6107462038860538
Cs1F6Sb1,1.4138462905610778
Ag2Hg1I4,2.3123536109187928
S4Zn4,2.4264770502008934
Cs2O13V5,1.8932521402778517
Ge4K4N4O4,1.8898024588123843
F4I4O8,1.9809094712614543
Ca8Cl12O2,1.7971544174054714
K4P6,2.1834890820350026
K4P4Si2,2.338098871590616
Au4O6,3.0468834897317616
Ge2Na4O6,1.706842015731587
Li8Mn12O32Zn4,2.464982555719208
F4K2Zn1,1.4650169509827158
Cd1O6Pt3,4.168143991434716
Al2Se4Tl2,2.878486292017612
As2Be2Na2,2.868607153306287
K4O4Zn2,1.8209356569265849
Mg2Sb2Sr1,3.1864654922552234
Ca1Mg2Sb2,3.2598568475727294
Ag4S2,3.2379032571383077
As2Be2Li2,3.0382326002683424
As4Ru2,4.852215988597375
Ba2Ge6O18Sn2,1.8015767168418602
Bi2Cl2Te2,2.758195303696484
Au3Rb3Sb2,2.8633313930921336
Au3K3Sb2,3.132570829205952
F6Rb1Sb1,1.4052790944625002
Fe1Li1O7P2,1.8281939209702296
C2Si2,2.6729541546890854
Ag2K4Sb2,2.7142838834580285
Be2F8K2Pb1,1.5250136611268137
Al1F5K2,1.3501851724856109
Na2O2Rb2,1.8586097851171808
I1K1,1.7655027612552967
As8Zn8,4.6191629833408845
As1Cs1F6,1.4094877320028891
As1F6Rb1,1.3964240043888014
Cl4O4W2,1.9889645547369617
Na6O6P2S2,1.664890687102305
As2Cd2Sr1,11.709114967978294
C3H3O6Tb1,1.7613562009618189
As2Sr1Zn2,3.8789603418098255
C2O6Sr2,1.6407889362539392
La1Li3P2,3.480852386030394
Ag2As2K4,2.6416650683486123
F8Na2Y2,1.5010968003219318
Au2Rb2S2,2.0392252613840065
Au2Rb2Te2,2.4514189768377013
Cr2Mn4O8,2.4546451203110133
Al4B12Be4Cs1O28,1.0
O8Te4,2.362940428143862
Br1H3O1,1.6239293353402333
K3O14V5,2.040549027427016
As4Ge2K4,2.6771061490597114
Au3Cs1Se2,2.271348718272904
Au3Rb1Se2,2.3854807342196938
Au3Cs1S2,2.158277476754708
N2Sr1Zr1,3.034700491080218
As2Na1Sn2,5.113721280372387
C3H3O6Tm1,1.7614708815835325
Al2Cl8Cu2,1.7202859258468248
K1Nb1O3,2.3924817727050787
Ca2Gd4S8,2.8430924477861583
C2F2K6O6,1.4898545790270756
O1P2Sr4,2.6996088605574005
Ba1F6Ti1,1.6108441886166378
K2Sb2Zn2,4.634320788327621
Ba1Mg2P2,2.9011306991125627
F3Li4Mn8O13,2.2661178257098635
Hg1K4P2,2.2153718273313205
Cd1Na4P2,2.4708035804841506
In2S4Zn1,4.4490205289104585
Ag3I1S1,2.9076002537244015
F6Pt1Zn1,1.8095485624873504
Cu2Na4P2,3.0781487943237216
Mn2Rb4S4,2.000526847274647
K4Mn2S4,1.9960270539248668
Cr2H2O4,2.1501280314565867
Cu2K2Te2,2.9955796879179664
Cs2F6Ge1,1.4208011824319462
F10P2,1.3042239071570518
Cu2K2Se2,6.781759604507768
Cu2Na2Te2,3.0726867179500523
