formula,target
Ba1Ge2Mg2,1.5185139398778875
Cu2Si2Sr1,1.740362689494244
Dy1Pd3,1.7075701760979365
Ba1Mg2Si2,1.6020599913279625
Al1Ti1,1.845098040014257
Er1Pd1,1.4913616938342726
Mn3Nb3Si3,2.0211892990699383
Mg2O8S2,1.6812412373755872
Al3Tm1,1.7708520116421442
Pd4Se6Tl2,1.0791812460476249
Ca1Hg1O2,1.146128035678238
Au2O4Rb2,1.0791812460476249
Cu2O4Rb2,1.146128035678238
Fe4Sb12,1.6434526764861874
Al2Ba3Si2,1.3424226808222062
Ru3Si3Zr3,2.0
Li12Sb6,1.3617278360175928
Pd1Te2,1.3424226808222062
Cd2O8S2,1.414973347970818
Al2Ca1Ga2,1.4471580313422192
C10Y8,1.7160033436347992
Cs1Cu3S2,0.9030899869919436
Cu2K4P2,1.0413926851582251
Ca24N16,1.5556312568295325
Cs2Cu1F6K1,1.146128035678238
Ag4Sb4Yb4,1.3979400086720375
Co4P4Zr4,2.060697840353612
B2Cu2Se4,1.6901960800285136
Ge5Yb3,1.462397997898956
Cd2Na6,0.6989700043360189
Cs1F6Sb1,0.6989700043360189
N2Te1Th2,1.57978359661681
Ag2Al2O4,1.7781512503836436
Er4F12,1.6434526764861874
Rh4Si4Ti4,1.9444826721501691
Li4O6Pd2,1.7558748556724917
Cu3K3P2,1.0791812460476249
Lu1O2Rb1,1.724275869600789
Ba6Fe2N6,1.2787536009528289
Dy1O2Rb1,1.6812412373755872
As4Nb2,1.954242509439325
Er1P2Ru2,2.0
K2P2S6,0.0
Au4O6,1.57978359661681
Ge2Na4O6,1.4471580313422192
Re2Ti1W1,2.1643528557844367
F4K2Zn1,1.3222192947339193
Cd1O6Pt3,1.845098040014257
As2Be2Na2,1.5185139398778875
K4O4Zn2,1.0413926851582251
Mg2Sb2Sr1,1.3979400086720375
Ag4S2,0.8450980400142568
Li1Se6Ti3,1.146128035678238
As2Ca1Mg2,1.5563025007672873
Ag2As2Sr2,1.4913616938342726
As2Be2Li2,1.57978359661681
As4Ru2,2.0211892990699383
Ho16O24,1.812913356642856
Cu1Tm1,1.6334684555795864
Mn3Sc3Si3,1.8750612633917
Fe3Ge3Sc3,1.724275869600789
Ge4N8Zn4,1.9234776625099121
Ba6Mn2N6,1.3222192947339193
Li3Pd1,1.0413926851582251
Au3Rb3Sb2,0.7781512503836436
Pt4S6Tl2,1.2041199826559248
Ba3Bi3Na3,1.2041199826559248
Al4O12Sm4,2.041392685158225
As2Fe2Li2,1.6020599913279625
Pt4Te6Tl2,1.1760912590556811
Na2O4Pr2,1.5910646070264989
Ag2K4Sb2,0.9542425094393248
Al4Na4O8,1.8108477311646394
F12Sm4,1.6812412373755872
Bi4K2,0.4771212547196624
Al2Ba3Sn2,1.3010299956639813
As4Ba4Pt4,1.3617278360175928
Al2Sn2Sr3,1.3979400086720375
Al3Si2Y2,1.812913356642856
Ba1Ni2P2,1.568201724066995
Li8O8Ti2,1.6334684555795864
I1K1,0.9286662482156343
Ge2Sb2Zr2,1.863322860120456
In3Pd3Sm3,1.462397997898956
Li5Mg1,0.8450980400142568
As1F6Rb1,0.4771212547196624
Na6O6P2S2,1.3222192947339193
Al2K4Na2P4,1.230448921378274
As2Sr1Zn2,1.5185139398778875
K1O2Y1,1.6989700043360187
La1Li3P2,1.6434526764861874
As1B1O4,1.6127838567197357
F8Na2Y2,1.5440680443502757
Au2Rb2S2,0.7781512503836436
Cr2P8,2.0
Co2Sc1Si2,1.954242509439325
Al1Mn2Nb1,1.99563519459755
Ag1Er2Tl1,1.3424226808222062
Co2Ga1Mn1,1.9030899869919435
Au3Rb1Se2,0.6989700043360189
B4Rh5Sr2,1.8976270912904407
As6Ca6,1.462397997898956
Ba6N2Na2,0.4771212547196624
F6Sb1Tl1,0.7781512503836436
Al2Cl8Cu2,0.7781512503836436
Ba2O4Zr1,1.7481880270062005
F6K1Rb2Sc1,1.146128035678238
Au2Ge2Lu2,1.6232492903979006
Nb1Os2Sc1,2.0569048513364727
K1Nb1O3,1.7482111062931847
Ba1Ge2Li2Mg2,1.4771212547196624
Fe2Si2Th1,1.9444826721501691
B2Ca2Ni8,1.7853298350107671
Mg2O14Si4Sr4,1.6334684555795864
Ba1F6Ti1,1.3424226808222062
Ba1F6Sn1,1.3010299956639813
K2Sb2Zn2,1.2172844520170996
Li4Na4Te4,1.2041199826559248
Rh2Si2Tm1,1.9395192526186185
Ba1Mg2P2,1.57978359661681
Hg1K4P2,0.9542425094393248
Au2Ge2Sc2,1.5937603604182315
Ba2Sn2,1.2041199826559248
F6Pt1Zn1,1.3617278360175928
Ca1F6Pt1,1.146128035678238
Cu2Na4P2,1.3010299956639813
In3Ni3Y3,1.5314789170422551
Au3K2,1.1760912590556811
Ba1P2Pd2,1.4913616938342726
C1Tb2,1.4313637641589874
Ag2Sn2Tm2,1.6020599913279625
B4C4Sm2,2.096910013008056
As3Ru3Zr3,1.9242792860618816
Cu2K2Te2,1.2552725051033058
