formula,target
Ag2Ca1Ge2,1.7075701760979365
Ba1Ge2Mg2,1.6334684555795864
Cu2Si2Sr1,1.9084850188786493
Dy1Pd3,2.1172712956557644
Ba1Mg2Si2,1.6901960800285136
Al1Ti1,2.060697840353612
Er1Pd1,1.99563519459755
Mn3Nb3Si3,2.3201462861110542
Mg2O8S2,1.845098040014257
Al3Tm1,1.8864907251724816
Pd4Se6Tl2,1.3222192947339193
Ca1Hg1O2,1.812913356642856
Au2O4Rb2,1.4471580313422192
Cu2O4Rb2,1.505149978319906
Fe4Sb12,1.9138138523837167
Al2Ba3Si2,1.5440680443502757
Li12Sb6,1.505149978319906
Rb1Se6Th2,1.5910646070264989
Pd1Te2,1.724275869600789
Cd2O8S2,1.7634279935629371
Al2Ca1Ga2,1.7634279935629371
C10Y8,2.0043213737826417
As2Er2O2Zn2,1.8864907251724816
Cs1Cu3S2,1.1760912590556811
Cu2K4P2,1.3424226808222062
Ca24N16,1.8449207045687523
Cs2Cu1F6K1,1.5185139398778875
Ag4Sb4Yb4,1.7160033436347992
Co4P4Zr4,2.285557309007774
Ge5Yb3,1.414973347970818
Cd2Na6,1.0791812460476249
N2Te1Th2,1.9294189257142929
Ag2Al2O4,2.187520720836463
Er4F12,1.8573324964312683
Rh4Si4Ti4,2.271841606536499
Li4O6Pd2,2.0211892990699383
Cu3K3P2,1.4471580313422192
Lu1O2Rb1,1.968482948553935
Ba6Fe2N6,1.5185139398778875
O2Rb1Tm1,1.9242792860618816
Er1O2Rb1,1.9138138523837167
Dy1O2Rb1,1.9030899869919435
As4Nb2,2.093421685162235
Er1P2Ru2,2.198657086954422
K2P2S6,0.9542425094393248
Ge2Na4O6,1.724275869600789
F4K2Zn1,1.6434526764861874
Cd1O6Pt3,2.2833012287035497
As2Be2Na2,1.6532125137753435
K4O4Zn2,1.6334684555795864
Mg2Sb2Sr1,1.5910646070264989
Ag4S2,1.178967423500227
Li1Se6Ti3,1.3424226808222062
As2Ca1Mg2,1.6989700043360187
Ag2As2Sr2,1.6020599913279625
As2Be2Li2,1.7323937598229686
As4Ru2,2.173186268412274
Si2Sr2Zn2,1.6901960800285136
Ho16O24,2.1613680022349757
Cu1Tm1,1.880813592280792
Mn3Sc3Si3,2.071882007306125
Fe3Ge3Sc3,2.0043213737826417
Ge4N8Zn4,2.1926869364081156
Ba6Mn2N6,1.5314789170422551
Ca4Li8,1.2041199826559248
Au3Rb3Sb2,1.2041199826559248
Ba3Bi3Na3,1.3617278360175928
Al4O12Sm4,2.257678574869185
As2Fe2Li2,1.8325089127062364
Pt4Te6Tl2,1.3424226808222062
Na2O4Pr2,1.9493900066449128
Ag2K4Sb2,1.146128035678238
Al4Na4O8,2.0161683299228677
F12Sm4,2.0492180226701806
Bi4K2,1.4771212547196624
Al2Ba3Sn2,1.4913616938342726
As4Ba4Pt4,1.8388490907372552
Al2Sn2Sr3,1.5563025007672873
Al3Si2Y2,1.9344984512435681
Ba1Ni2P2,1.8750612633917
I1K1,1.3494850021680094
Ge2Sb2Zr2,1.9912260756924949
In3Pd3Sm3,1.8750612633917
Li5Mg1,1.230448921378274
As1F6Rb1,1.4313637641589874
Na6O6P2S2,1.57978359661681
Al2K4Na2P4,1.4471580313422192
As2Cd2Sr1,1.662757831681574
As2Sr1Zn2,1.7323937598229686
K1O2Y1,1.9030899869919435
La1Li3P2,1.7558748556724917
As1B1O4,1.662757831681574
F8Na2Y2,1.8061799739838869
Au2Rb2S2,1.146128035678238
Cr2P8,2.093421685162235
Co2Sc1Si2,2.201397124320452
Al1Mn2Nb1,2.2787536009528293
Ag1Er2Tl1,1.7993405494535817
Co2Ga1Mn1,2.2787536009528293
Au3Rb1Se2,0.6989700043360189
B4Rh5Sr2,2.1702617153949566
As6Ca6,1.6812412373755872
Ba6N2Na2,1.0413926851582251
F6Sb1Tl1,0.9030899869919436
Al2Cl8Cu2,1.0791812460476249
Ba2O4Zr1,2.0253058652647704
F6K1Rb2Sc1,1.3010299956639813
Au2Ge2Lu2,2.0293837776852097
Nb1Os2Sc1,2.3541084391474008
K1Nb1O3,2.012837224705172
Ba1Ge2Li2Mg2,1.5314789170422551
Fe2Si2Th1,2.187520720836463
B2Ca2Ni8,2.123851640967086
Mg2O14Si4Sr4,1.9344984512435681
Ba1F6Ti1,1.6901960800285136
Ba1F6Sn1,1.6532125137753435
K2Sb2Zn2,1.380211241711606
Li4Na4Te4,1.3979400086720375
Rh2Si2Tm1,2.204119982655925
Ba1Mg2P2,1.7075701760979365
Hg1K4P2,1.230448921378274
Au2Ge2Sc2,2.0413926851582254
Ba2Sn2,1.4471580313422192
F6Pt1Zn1,1.5440680443502757
Ca1F6Pt1,1.1760912590556811
Ba2Hf1S4,1.7634279935629371
Cu2Na4P2,1.5314789170422551
In3Ni3Y3,1.9344984512435681
Au3K2,1.5440680443502757
Ba1P2Pd2,1.7853298350107671
C1Tb2,1.7853298350107671
Ag2Sn2Tm2,1.8417036495660475
B4C4Sm2,2.2329961103921536
As3Ru3Zr3,2.271841606536499
Cu2K2Te2,1.462397997898956
Cu1Ir1Sm2,2.0453229787866576
F10P2,0.7781512503836436
F6Pt1Rb2,1.3424226808222062
Cd2Sb2Sr1,1.568201724066995
As12Rh4,2.0644579892269186
K1O2Tl1,1.9444826721501691
Ba1Ga2,1.5440680443502757
Ca2F8Pd2,1.869231719730976
B4Co4Mo4,2.4842998393467863
Ba1Cd2Sb2,1.5563025007672873
Ag1Sc2Tl1,1.8573324964312683
O2S2Th2,2.130333768495006
Al2Hg1Te4,1.414973347970818
Sb2Sr1Zn2,1.6232492903979006
Ca1Cd2Sb2,1.5910646070264989
Ba1P2Zn2,1.740362689494244
B2Pd4,2.2528530309798933
C2Ni1Pr1,2.1398790864012365
Pd8Sb4,2.103803720955957
Au2Na2Te2,1.4771212547196624
Cd2Sb2Yb1,1.6127838567197357
Al2Ge2Na2,1.5563025007672873
Ir1Nb1Ta2,2.374748346010104
