formula,target
Ag(W3Br7)2,0.0
Ag0.5Ge1Pb1.75S4,1.83
Ag0.5Ge1Pb1.75Se4,1.51
Ag2BBr,0.0
Ag2GeSe3,0.9
Ag2P2PbO7,0.0
Ag3AsO4,0.0
Ag3Pd,0.0
Ag7(SI)2,0.0
Ag7NO11,0.0
Ag8GeS6,1.18
Ag8SnSe6,0.71
Ag9(PbO3)4,0.0
AgAsSe2,1.4
AgBi(PS3)2,1.7
AgBiPbSe3,0.13
AgBiS2,0.9
AgBiSe2,0.34
AgBr,2.52
AgCNO,0.0
AgCl,5.13
AgF,2.8
AgGeO3,0.0
AgO,1.57
AgP15,1.47
AgPd(IO3)3,1.5
AgPt3,0.0
AgSO4,0.18
Al(Ni10B7)2,0.0
Al(NiS2)2,0.0
Al0.01Cd0.99Sb0.01Te0.99,1.6
Al0.01Ga0.99P1,2.27
Al0.01In0.99P1,1.3
Al0.05Cd0.95Sb0.05Te0.95,1.37
Al0.15Ga0.85As1,1.6
Al0.1Cd0.9Sb0.1Te0.9,1.36
Al0.2Ga0.8P1,2.3
Al0.2In0.8P1,1.7
Al0.3In0.7P1,1.9
Al0.45Cd0.55Sb0.45Te0.55,1.93
Al0.4Cd0.6Sb0.4Te0.6,1.8
Al0.4Ga0.6P1,2.35
Al0.4In0.6P1,2.12
Al0.5Ga0.5As1,2.12
Al0.6Ga0.4As1,2.3
Al0.6Ga0.4P1,2.4
Al0.6In0.4P1,2.3
Al0.75Ga0.25As1,2.42
Al0.7In0.3P1,2.3
Al0.8Ga0.2P1,2.43
Al0.99Ga0.01P1,2.49
Al0.99In0.01P1,2.4
Al13Ru4,0.0
Al2(CuSe2)3,0.0
Al21Pt8,0.0
Al2CoIr,0.0
Al2Cr2O7,0.0
Al2CrS4,0.0
Al2Cu,0.0
Al2FeNi,0.0
Al2S3,4.1
Al2Se3,3.1
Al3Tc,0.0
Al4Cu2O7,0.0
Al4Cu9,0.0
Al5Rh2,0.0
Al6Fe,0.0
Al6Ru,0.0
Al6Tc,0.0
Al9Co2,0.0
Al9Ir2,0.0
Al9Rh2,0.0
AlAgS2,3.13
AlAgSe2,2.55
AlAgTe2,1.8
AlAs,0.0
AlB2,0.0
AlBi,0.4
AlCoO3,0.0
AlCu3,0.0
AlCu7O12,0.0
AlCuS2,3.5
AlCuTe2,2.06
AlFe2Si,0.0
