formula,target
Al(NiB)2,1.0
Al10Co21B19,1.0
Al10Co23B17,1.0
Al10Co27B13,1.0
Al10Co29B11,0.0
Al10Co31B9,0.0
Al10Cr3Si7,1.0
Al10Fe23B17,1.0
Al10Fe31B9,1.0
Al10Fe33B7,1.0
Al10Ni23B17,1.0
Al10Ni27B13,1.0
Al10Ni29B11,1.0
Al10Ni31B9,1.0
Al10Ni33B7,0.0
Al10V3Ge7,0.0
Al11(CrSi2)3,1.0
Al11(VGe2)3,1.0
Al11Cr2Si7,1.0
Al11Cr5Si4,0.0
Al11V2Ge7,1.0
Al11V4Ge5,0.0
Al12Co21B17,1.0
Al12Co25B13,1.0
Al12Cr3Si5,1.0
Al12CrSi7,0.0
Al12Ni25B13,1.0
Al12Ni27B11,0.0
Al12Ni29B9,0.0
Al12Ni31B7,0.0
Al12V3Ge5,1.0
Al13Cr2Si5,1.0
Al13Cr3Si4,0.0
Al13Cr4Ge3,0.0
Al13Cr4Si3,0.0
Al13Cr5Si2,0.0
Al13Fe3Ni4,0.0
Al13Fe4Cu3,1.0
Al13Ni6Mo,1.0
Al13V2Cu5,1.0
Al13V3Cu4,1.0
Al13V3Ge4,0.0
Al13V4Cu3,0.0
Al13VCu6,1.0
Al13VGe6,0.0
Al14(CrSi)3,0.0
Al14(Ni7B5)3,0.0
Al14(SiNi)3,1.0
Al14CrSi5,0.0
Al14Ni5Mo,1.0
Al14VGe5,0.0
Al15Co2Si3,1.0
Al15Cr2Si3,0.0
Al15Cr4Si,0.0
Al15CrSi4,0.0
Al15Ni3Mo2,1.0
Al15Ni4Mo,1.0
Al15V2Cu3,1.0
Al15VCu4,1.0
Al16CrSi3,0.0
Al16Ni3Mo,1.0
Al16V3Cu,0.0
Al16VCu3,1.0
Al17Co2Ni,0.0
Al17CoNi2,0.0
Al17Cr2Si,0.0
Al17Cr3,0.0
Al17Ni2Mo,1.0
Al17V2Cu,1.0
Al18CoNi,0.0
Al18CrSi,0.0
Al18FeCu,1.0
Al18FeNi,0.0
Al19Cr5Ge26,1.0
Al2(Co11B5)3,1.0
Al2(Co13B3)3,1.0
Al2(Fe13B3)3,1.0
Al2(Ni13B3)3,1.0
Al2(Ni9B7)3,1.0
Al21(CoNi)2,0.0
Al21(FeNi)2,1.0
Al21Cr4,0.0
Al21Fe5Ge24,1.0
Al21FeNi3,0.0
Al22Co2Ni,0.0
Al22Co3,0.0
Al22CoNi2,1.0
Al22Fe2Ni,0.0
Al22Fe3,0.0
Al22FeCo2,0.0
Al22FeNi2,0.0
Al23Co2,0.0
Al23Cr2,0.0
Al23Fe2,0.0
Al23FeCo,0.0
Al23FeNi,0.0
Al23Ni2,0.0
Al24Co,0.0
Al24Fe,0.0
Al24Ni,0.0
Al26V5Ge19,1.0
Al29Cr10Si11,0.0
Al2Co31B17,1.0
Al2Co35B13,1.0
Al2Co37B11,1.0
Al2Co41B7,0.0
Al2Co5B3,1.0
Al2Co7B,0.0
Al2Cu3,0.0
Al2Fe41B7,1.0
Al2Fe43B5,0.0
Al2Fe5B3,1.0
Al2Ni29B19,1.0
Al2Ni31B17,1.0
Al2Ni37B11,1.0
Al2VGe,0.0
Al30Cr9Si11,0.0
Al32Ni5Ge13,1.0
Al33Si12Ni5,1.0
Al34Cr5Si11,1.0
Al34V5Ge11,1.0
Al35Fe7Cu8,0.0
Al35Fe8Ni7,1.0
Al36(FeNi)7,1.0
Al39Co5Ge6,1.0
Al39Fe5Ge6,1.0
Al3CrSi,0.0
Al3Cu,0.0
Al3Cu2,0.0
Al41Fe2Ni7,0.0
Al42Fe7Si,0.0
Al42FeCo7,0.0
Al42FeNi7,0.0
Al43Co7,0.0
Al43CoNi6,0.0
Al43Cr7,0.0
Al43Fe2Co5,0.0
Al43Fe2Ni5,0.0
Al43Fe4Co3,0.0
Al43Fe4Ni3,0.0
Al43Fe5Co2,0.0
Al43Fe5Ni2,0.0
Al43Fe6Ni,0.0
Al43Fe6Si,0.0
Al43FeNi6,1.0
Al44(CoNi)3,0.0
Al44(FeCo)3,0.0
Al44(FeNi)3,0.0
Al44Co5Ni,0.0
Al44CoNi5,0.0
Al44Cr5Si,0.0
Al44Fe5Si,0.0
Al44FeCo5,0.0
Al44FeNi5,0.0
Al45Co3Ni2,0.0
Al45Co4Ni,0.0
