formula,target
As1Cs1Rb1,1.0
Si1Sn1,0.0
Ca3P2,0.0
Co8Ge12Li12O48,1.0
In1Sb1,1.0
Hf1Mg6Sb1,1.0
O6Si2Zn2,0.0
Cd1Co1Mg6,1.0
Co1Mg6Sn1,1.0
Cu1Mg6Sb1,1.0
Co1Mg6Ni1,1.0
Ga1Mg6Zr1,1.0
Hf1Mg6Y1,1.0
Mg6Ni1Y1,1.0
Al1La1Mg6,1.0
Ca1Mg6Zr1,1.0
Mg14Mo1Sb1,1.0
Bi1Mg14Rb1,1.0
Bi1K1Mg14,1.0
K1Mg14Sr1,1.0
Mg14Mn1Ti1,1.0
Mg14Rb1Sn1,1.0
Mg14Ti1V1,1.0
Mg14Ni1Sr1,1.0
Ba2C4,0.0
Mg6Na1O8Y1,0.0
Mg14O16Ti1Y1,1.0
Al1K1Mg14O16,0.0
Mg30O32Si1Sn1,0.0
Cs1Mg30O32Y1,0.0
Bi6Mg12,1.0
Bi6Sn2,1.0
Mn12O24,0.25
Be12O48Sb8Si12,0.0
Fe2O16W4,1.0
O8W3,0.25
Ca6Cu6Mo12O42,1.0
Fe2La2O12Sn2Zn2,0.0
Ni4O36P8Sn4,0.0
Cr12O28,0.0
O24P8W2Zn2,0.0
Mg4O8Ti4,0.0
Cr9O13Zn2,1.0
Bi4O8Zn1,0.0
Bi2Cu4O14Sr4,1.0
O28P8Ti6,0.0
Ca2O6Sb1W1,0.0
Ca1Cr2O5S2Sr3,0.0
Cu2,1.0
Ca8Mn8O80Sr24Ti24,1.0
Dy3Ga3Mn3,1.0
Ce2Se4,0.17391304347826086
Mg2Sr4,0.8888888888888888
Mg6Sb6,1.0
Mg2Y2,1.0
B4C4Er2,1.0
Dy2Mn4O8,1.0
Hf2Se16Te6,0.0
Hf1Mg6Na1,1.0
Mg4Mn4O10,1.0
Cr12Fe20La24O80Sm8,0.0
Ca4S44Sn20,0.0
O8Th4,0.0
B6Co3Sm4,1.0
Fe1Mo6Se8,1.0
Fe2O10S2,0.5
B6Co3Er4,1.0
Cl6Cu1Er1Na2,0.0
Cl6Ga1Hg1K2,1.0
Au1F6K2Sc1,0.0
Au1F6K2Rh1,0.0
Cs1F6K2Sb1,0.0
Cl6K2Li1Ta1,1.0
Cl6K2Na1Ta1,1.0
Ba1Ni1O3,0.5
Cu2O4Si1,0.0
Co1Li5Mn2O8,0.2857142857142857
Co4Li4Mn2O12,0.0
Cu3Pb1Sc1Se4,0.0
C24F48H80Sb16,0.0
Mn6Si6V4,1.0
Au2Br8K2O4,0.0
Cl4Hg4N4,1.0
Ac1Ce3,1.0
Ba6Bi2,1.0
Ce6Tm2,1.0
Au1Gd3,1.0
Cs1Eu1O3,1.0
Pu1S3,1.0
La1Sr3,1.0
Pd1Ta3,1.0
Bi1Y3,1.0
F10Fe4O4,0.0
Al12Li12,1.0
Cd4N4O16,0.0
Fe8O16Ti4,0.25
Cr2I2O20Rb2U2,0.0
Co34Np4,1.0
F44Li4O2Th10,0.0
K8O24Si8,0.0
Al4B2Ca4Mn2O30Si8,0.0
Se20Sr4U8,0.0
C4Cl4H24K2N4O8P2Pt2,0.0
H64N24O40S4,0.0
Na16O72Si24Y6,1.0
As8F40K8O8,0.0
S36Sb16Sm12,1.0
C80Cl8H216N32P16,0.0
C32H96N16V4,0.0
Pt4Sn2Tm2,1.0
C2Os4P2Sm2,1.0
O18Sm4Ta4,0.0
O36Rb4S8Tm4,0.0
Lu4O36Rb4S8,0.0
C8H40N20Ni2O24,0.0
Mg4O22Si8,1.0
La4Mo4O20,0.0
C12F16O8S8,0.0
Ag2Bi4O16W2,0.0
Cr2Cu2Zr2,1.0
As1Se1U2,1.0
Al3Co1Rh2U3,1.0
N4Ti3,0.3333333333333333
B4Fe2Rh6Ru4Ti4,1.0
Ni1Tc1,1.0
C2Cl32H2O10Se8Ti4,0.0
Fe17N2Tb2,1.0
Ca4O36Sr2Yb20,1.0
Bi1Sm1Te3,0.0
Fe6Ge4Nb18,1.0
F1K1O2Ti1,0.0
As4In1Pd15,1.0
H15N3O12Se3,0.0
Er1Fe6Ga6,1.0
Dy4Fe1S7,0.0
Er4Fe2O14Sb2,0.0
In18K8Si28,0.0
Co2Cr2In2S8,1.0
Co1O6Rh2,1.0
Ca1Y1,1.0
Al2Cu1,1.0
Pr2S12Tb2Yb4,0.0
Fe1,1.0
H16N4O8Se2,0.0
F8H40N16,0.0
B20H44N8,0.0
Ge1Li2Pd1,0.5
Al3Dy1,1.0
Ni4O28P8,0.8
O8Si4,0.0
I8Li8O24,0.0
O46Sn10W16,0.0
C6Cd2Fe1N6,0.0
C24H70N8Si4Ta2,0.0
C8Fe4H4O12,0.0
C4H24N4O28V12,0.0
H24O24P8,0.0
C12O12Ru4Se4,0.0
Bi1Ce1,1.0
Fe8Ge8Si8,0.0
Co14K8O28,1.0
F96Sb16Se80,0.0
Pb16Y20,1.0
As12Li6Nb6,1.0
Sb6Te36Tl54,0.0
C8F24Na8O24S8,0.0
Cu2Mn2O16Pr4Sr4,1.0
C4H32N12Ni2O14S6,0.0
O10Tb1Zr4,1.0
Co2F3Li3O2,1.0
Co2Li2O4,0.0
Co4O16V4,0.0
Cr2Fe5Li3O12,1.0
I4Rh2,1.0
Pt4Pu2Si4,1.0
Rb1Sr3,1.0
O3Pt1Rb1,1.0
O3Pd1Rb1,1.0
Ru1Yb3,1.0
Mn2Sn2,1.0
Al10Cu6O24,1.0
Mg2O8Ti4,1.0
Al8Ni6O24,1.0
F8Fe2,0.0
Al10Fe6O24,0.0
Al4O24W6,0.0
O28Si8Ti4Zn6,0.0
Ca8O32Ti16,1.0
La1,1.0
Ca12Mn16O32,0.0
Al3V1,1.0
As1Li1Mn1,1.0
Cr8Ge12Li12O48,0.0
Mg6Na1Sr1,1.0
Ce1La1Mg6,1.0
Cl2Na4,1.0
N4Re2,1.0
Ca4O8Si2,0.0
O1S3Sr4,0.0
Ba1Li1Mg6,1.0
Li1Mg6Ti1,1.0
La1Mg6Sn1,1.0
Cl1Cs1I1Na1,0.0
Co1Li1Mg6,1.0
Cu1Mg6Na1,1.0
Cu1La1Mg6,1.0
Hf1Mg6Zn1,1.0
Mg6Ti1Zn1,1.0
Mg6Si1Zn1,1.0
Ce1Mg6Zn1,1.0
Ca1La1Mg6,1.0
Ca1Mg6Sn1,1.0
Al1Mg6Si1,1.0
Al1Ba1Mg6,1.0
Al1Mg6Zr1,1.0
C3U2W2,1.0
Dy2In2Pt4,1.0
K1Mg14Na1,1.0
Cr1Mg14Ti1,1.0
Hf1Mg14Mo1,1.0
Ba1Mg14Sb1,1.0
Ba1Mg14Sr1,1.0
Cr1Mg14Si1,1.0
Ba1Mg14Si1,1.0
Ce1Cr1Mg14,1.0
Bi1La1Mg14,1.0
La1Mg14Nb1,1.0
Li1Mg14Rb1,1.0
Cu1Mg14Mo1,1.0
Bi1Fe1Mg14,1.0
Cu1K1Mg14,1.0
Mg14Si1Zr1,1.0
Ba1Mg14Zr1,1.0
Fe1Ga1Mg14,1.0
Fe1Mg14Zn1,1.0
Mg14Mn1Nb1,1.0
Cr1Mg14Mn1,1.0
Hf1Mg14Mn1,1.0
Mg14Mn1Si1,1.0
Ca1Mg14Nb1,1.0
Fe1Mg14Mn1,1.0
Ca1K1Mg14,1.0
Mg14Na1V1,1.0
La1Mg14V1,1.0
Cr1Mg14Ni1,1.0
Mg14Nb1Ni1,1.0
Mg14Ni1V1,1.0
Ce1Mg14V1,1.0
Bi1Mg6Na1O8,0.0
Ca1Mg6O8Ti1,1.0
Cd1Cr1Mg6O8,1.0
Mg14O16Sr1Ti1,1.0
Hf1Mg14Na1O15,1.0
Cd1Mg14O16Sn1,1.0
Cr1Mg14O16Sn1,1.0
Mg14Ni1O16Sn1,1.0
Co1Mg14Nb1O16,1.0
Cu1Mg14Nb1O16,1.0
Ga1K1Mg14O16,0.0
Ca1Mg14O16Sn1,0.0
