formula,target
BaTe,26.0
Al(CoSi)2,175.0
LuSi,95.0
LiScS2,43.0
NbS2,23.0
MnAsRu,163.0
Eu(MgBi)2,33.0
CdSnSb2,36.0
Ce(P3Ru)4,167.0
DySb,59.0
HoAu,89.0
BiPd,86.0
TmTlTe2,29.0
MgAgSb,76.0
FeH,177.0
MnN,239.0
ThB2Ir3,248.0
BaBrCl,29.0
Sc3BPb,79.0
Ta3B4,296.0
Hf2Zn,109.0
ZrZnN2,177.0
Hf3ZnN,150.0
P2Ir,193.0
TmAu,89.0
CdNi3N,182.0
CuNi3N,196.0
HfBRh3,239.0
TiAg,111.0
NbInS2,52.0
LuAgO2,123.0
TiS,141.0
FeSnRh2,188.0
MnFe2Ge,217.0
CeAu,66.0
Ba2BrN,37.0
ScAg2,86.0
LiHPd,85.0
LaBiPt,70.0
ScAu2,107.0
HfAu2,166.0
MgSbPt,89.0
YbNiH3,91.0
DyAlZn,66.0
ErZnGa,85.0
HoFeSi,92.0
LiBeB,55.0
NdSbTe,58.0
NpSeO,106.0
PrSbTe,57.0
KMgAs,31.0
SmFeSi,76.0
KMgBi,22.0
SmCoSi,86.0
LuP,91.0
SrSnHg,14.0
ThSbSe,80.0
ThPSe,97.0
ThSbTe,69.0
ThBiTe,66.0
LuSbPt,107.0
TaRh3,260.0
LiGe2N3,125.0
LiC12,125.0
K2Cu(ClF)2,19.0
TmInCu4,99.0
HoCu4Ag,111.0
LuB2Ir3,248.0
ErCu2,81.0
HoCr2Si2C,160.0
TbGaI,2.0
LuAlGe,87.0
TmCu4Ag,109.0
UNi2B2C,209.0
Ho2B4C,164.0
Cs2CaCl4,12.0
CdPPt5,186.0
InPPt5,234.0
Hf4Al3,123.0
ScGa5Co,91.0
TmGa5Co,92.0
ZnPPd5,150.0
Cs2CaBr4,16.0
Cs2NpO4,45.0
SnPPd5,149.0
GaPPd5,141.0
Zr(TiGa2)2,110.0
CdAsPt5,199.0
Mn(AlTe2)2,29.0
Ho2Fe2Si2C,129.0
Tl2CuF4,26.0
Y2Fe2Si2C,126.0
Er2Fe2Si2C,139.0
Lu2Fe2Si2C,141.0
Sc(VGa2)2,118.0
YGa5Co,64.0
Tb2B4C,162.0
TmPt,114.0
CePd7,153.0
CaZrF6,57.0
AlV2C,171.0
LuAu3,111.0
Tl3VSe4,149.0
Ti2GaN,159.0
LuGa2Ni,89.0
LiRuN,105.0
CaZrN2,162.0
Y4Se3N2,69.0
Mg2SbN3,114.0
LiCrN2,85.0
Mg2TaN3,122.0
Ba(CoN)2,98.0
Ca7SiN6,79.0
Li6CrN4,85.0
Ba(NbN2)2,31.0
Mg2CrN3,123.0
Ca2CrN3,94.0
Sr3WN3,57.0
Li6FeN4,84.0
Rb2CN2,26.0
MgSnN2,120.0
Sr4TiN4,73.0
SrMnN2,92.0
LiVN2,80.0
Ca3GaN3,80.0
ZrMoP,198.0
Zn(ReO4)2,15.0
BeNi,185.0
Sc2BC2,138.0
Nb2Co3Si,228.0
Cr3PtN,267.0
Yb(AlSi)2,64.0
K2CN2,30.0
Sc6FeTe2,68.0
NbSiPt,215.0
NbSiRh,221.0
Cu2SnS3,66.0
NaAu2,69.0
Y(AlGe)2,71.0
SrN2,59.0
NdCd,52.0
CuSn,77.0
Y3GaC,79.0
BaLiAs,34.0
SrSb2,25.0
Ho,42.0
SrAgP,56.0
CaPAu,74.0
ScF3,89.0
ZrRu3C,257.0
ScRh3C,215.0
SmPPt,117.0
TiPRu,221.0
Pa,95.0
TaCu3S4,38.0
KB6,137.0
B2Ru,286.0
RbErSe2,36.0
TmAgTe2,42.0
AsPdSe,94.0
SbTePd,81.0
TaC,324.0
Ca3Al7Cu2,65.0
HfAlCu2,134.0
AlPt,184.0
AlRe2,255.0
TbSF,107.0
HoSF,103.0
Sn(HgSe2)2,14.0
CeS,87.0
DyAgSb2,63.0
CdCu2GeSe4,57.0
NiGe,136.0
Yb(MgSb)2,41.0
TmAs,80.0
GaCuO2,151.0
ZnP2,68.0
LaMg,35.0
TaB2,302.0
Ac2O3,103.0
TiTeAs,83.0
SrCeN2,117.0
SiNi2,193.0
TaSi2,184.0
HgS,50.0
MnAu2,124.0
BaCd2,25.0
MnBe2,163.0
ScBe5,108.0
ZrBe5,126.0
CaGa2,47.0
Ca3Hg2,30.0
ZrCdCu2,115.0
CePt3,162.0
Rb2Se,14.0
ZrZnCu2,122.0
DyTl,56.0
EuHg,30.0
NdCu5,106.0
ScGaNi2,130.0
Al2O3,232.0
Er(VGa2)2,127.0
Y2(Al3Co)3,110.0
NbPt2,244.0
TiRh3,230.0
ZrZnNi4,167.0
YTlPd,83.0
VPd2,190.0
TbRh,113.0
TmRh,128.0
YbTl,33.0
TiCrP,204.0
ZnNiSb,102.0
TaSb2,102.0
Dy2Fe2Si2C,127.0
Lu7(NiTe)2,61.0
RbUO3,137.0
DyNi5,147.0
MnPt3,217.0
ScNi4Sn,152.0
BaZnGe,40.0
BaSnHg,29.0
CaPd5,113.0
ZrS2,18.0
ZnSe,58.0
Ca(BeN)2,112.0
CaSn2Ir,77.0
HoSnRh,107.0
TmSnRh,111.0
HoMg,46.0
LaCd2,45.0
Tb(FeB)2,123.0
K(CoS)2,43.0
Sm(SiIr)2,167.0
Lu(SiNi)2,122.0
NbSi2,175.0
RbO2,21.0
YbO,128.0
Te2O5,46.0
CaAgP,61.0
CuF2,59.0
PrSnRh,98.0
ErSi2Ni,119.0
SrCuSF,75.0
LuAgSn,73.0
Ti2Te2P,21.0
La2Hf2O7,165.0
MoRh,266.0
PrTl,51.0
Mn2Nb,233.0
TaMn2,243.0
Mg2Rh,65.0
YMgPd,70.0
PrZnNi,77.0
CaAu,47.0
MgPd3,130.0
CrTe4Au,27.0
Zn2CuAu,112.0
BeAu2,137.0
PrB6,174.0
Zr2Si,126.0
ScAl2Ni,107.0
YbAl2Ni,58.0
ErTe,63.0
Cu2HgGeSe4,44.0
HoSi,92.0
Ba(BeN)2,98.0
Zr6FeSb2,113.0
ErNi4B,160.0
Ti2AlC,137.0
YSn2,58.0
YMgAl,57.0
CoSb3,85.0
ScCuSn,84.0
Mg2Pt,73.0
Nb3Sn,164.0
NdMg,38.0
CaAg2,48.0
BaLiP,39.0
YCd2,56.0
ScTlSe2,41.0
ScTlTe2,34.0
PdO,159.0
Al,83.0
Ga2Se3,28.0
PrMgNi4,126.0
BePd3,162.0
FeNiPt2,210.0
Th3P4,108.0
CeSi2Ir3,183.0
TbZnNi,74.0
ScSiPt2,173.0
YNi,78.0
Ca4Sb2O,45.0
Mg2Si,53.0
PdS2,22.0
Nb5Si3,194.0
Li3PO4,70.0
K2NaCuF6,35.0
Tl2Pt2O7,168.0
Ba2MgUO6,107.0
UCo2,230.0
CeZn2,53.0
PdF4,35.0
DyRh2,158.0
ZnSnF6,23.0
Ag2F,74.0
LiCo2Ge,152.0
LiCaSi2,49.0
HfGeTe,95.0
Nb5(CuSi)4,179.0
BaGeF6,50.0
K2NaRhF6,54.0
TbGe,69.0
MgHg,46.0
CuRhO2,164.0
CaSe,44.0
K2GeF6,23.0
LiYSi,62.0
TiCr2,199.0
CoP2,163.0
MnSi,210.0
Cs2Ni3Se4,15.0
LiCd,35.0
ZrIr3,266.0
CaCd2,34.0
Nb3Ir,223.0
Y(BIr)2,205.0
Re3P4,187.0
ScS,101.0
Ge2Te5As2,48.0
Mg2SiPt,99.0
Li7NbN4,82.0
ErIr2,197.0
BaS,41.0
Al2Pt,129.0
Co9S8,130.0
Cs2CaF4,41.0
Lu4C7,126.0
CeRh3,154.0
CaTe,36.0
FeS2,150.0
CrSbSe3,32.0
YS,127.0
ZrTe,93.0
YB2,164.0
DyMg3,33.0
TbPt3,173.0
Gd,37.0
Rb2As3,10.0
PuTe,71.0
SrPd2,80.0
TbSe,77.0
Cr5B3,291.0
ZnRhF6,34.0
HgRhF6,3.0
KNa2Sb,20.0
Zn(GaTe2)2,28.0
Mg2SiNi3,127.0
KSmS2,41.0
LiDySe2,39.0
As2O3,10.0
YbIr2,166.0
SrLi4N2,52.0
Li2US3,42.0
As2Rh,139.0
Li5AlO4,81.0
Sm(CoSi)2,145.0
Zr3(Cu2Ge)2,133.0
SiS2,6.0
TmGa3,66.0
Pr2TeO2,67.0
NbAu2,175.0
ErS,107.0
Ca(GePd)2,83.0
CaZnGe,49.0
CaZnSi,55.0
YPPt,127.0
TmSbPt,100.0
RbTiS2,52.0
DySbPt,99.0
Ga2HgTe4,24.0
HoGe,82.0
LiNi2Ge,133.0
TbMg,41.0
ThGe2,83.0
Ho2C,64.0
BaAl9Fe2,79.0
SrAl9Co2,83.0
HoAl2Ni,94.0
ZnPd,139.0
AlPt2,205.0
Al6Ru,112.0
SmMgPt,83.0
MnPt,168.0
CaS,57.0
SmNiAs,119.0
ErAgPb,71.0
RbYTe2,27.0
ZrAs,118.0
ZrSe3,16.0
ZnAu,114.0
CdPd,110.0
TbPt2,157.0
AlCr2,186.0
U2Ti,130.0
ScSnPd,102.0
VNi3,213.0
TaTe4Ir,18.0
BaGe,31.0
SmAs,71.0
NdS,81.0
GeAs2,15.0
ThB6,197.0
LuIr2,204.0
Y2Zn17,81.0
SnAu,72.0
Ti3Au,139.0
Ca6GaN5,71.0
