element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Null,-0.044910576194524,0.004151832312344999,0.012932863086462002,-0.010163068771362,0.007605779916048,0.029269028455017995,0.033980194479227004,0.018202271312475,0.042308006435632005,-0.019319642335176003,-0.035417031496763,0.020450297743082,-0.016479112207889002,0.027975413948297,0.034488748759031004,0.021560285240411
H,0.35236290097236606,0.635952353477478,0.217337980866432,-0.19195625185966397,0.25375136733055104,-0.4232611954212181,0.221297293901443,-0.452411115169525,-1.007712602615356,-0.289936184883117,0.12682013213634402,-0.025928407907485004,0.7175076007843011,-0.631992936134338,0.021095490083098,-0.27010449767112704
He,-0.067219823598861,0.14111341536045002,0.164495199918746,0.136700749397277,0.016504688188433002,0.07392898201942401,0.15109290182590399,-0.13816979527473403,-0.180051505565643,-0.13064210116863198,0.18401999771595,-0.024525566026568003,-0.034059606492519004,-0.21720123291015606,0.16527841985225605,-0.042185310274361995
Li,-0.161448791623115,0.17949575185775699,-0.114183604717254,0.13650959730148302,0.106477178633213,0.04710943996906201,0.06510441750288,-0.06909891963005,-0.210580840706825,-0.03003542125225,0.12246099114418,-0.388678520917892,0.137058615684509,-0.35707572102546603,0.299677789211273,0.30634957551956105
Be,-0.111666202545166,0.7601816058158871,0.057829234749077994,0.25014698505401606,-0.39693418145179693,0.12885028123855502,0.037942491471766995,0.135462999343872,-0.20222105085849698,-0.046164534986019,0.16610455513000402,0.21456304192543,-0.021428257226943,-0.594812393188476,0.3956535756587981,0.0006928824586790001
B,0.260108441114425,0.7078984975814809,0.06484645605087201,-0.30047801136970503,-0.5102187395095821,0.082543738186359,0.5897918343544001,0.5232884287834161,-0.6722662448883051,0.4904840588569641,0.49622642993927,0.3865301609039301,0.181043237447738,-0.6201106309890739,-0.177121058106422,-0.171613305807113
C,0.39814794063568093,0.7444849610328671,0.662635564804077,-0.5205782055854791,-0.6738849282264711,-0.4766537249088279,0.6987195014953611,0.60738456249237,-0.5621600747108461,0.673558354377746,0.5874400138854979,0.6192057728767391,0.615197658538818,-0.7497640252113341,-0.5522503256797789,-0.6527508497238149
N,0.611493647098541,0.00180955149699,0.6204571127891539,-0.44600862264633095,0.094430886209011,-0.8179216384887691,-0.130235627293586,-0.6459084749221801,0.021001152694225,-0.27136164903640697,-0.20457960665225905,0.5867201089859001,0.663306832313537,-0.5849312543869011,-0.3675343394279481,-0.5598848462104791
O,-0.11397165060043302,-0.18867267668247198,0.108997799456119,0.21454814076423603,0.37114417552948,-0.10302847623825,-0.40430709719657904,-0.5028001666069031,0.31322452425956704,-0.46554681658744795,-0.36945357918739297,-0.10370210558175999,-0.042887836694717005,0.087556652724742,0.192866533994674,0.038901515305042
F,-0.30810475349426203,-0.5756142139434809,-0.17183524370193398,0.46232420206069896,0.7021463513374321,0.22010600566864005,-0.5033063888549799,-0.394980043172836,0.28345039486885004,-0.5842900872230531,-0.465051442384719,-0.4471202194690701,-0.24272711575031206,0.44471946358680703,0.5018503665924071,0.371508181095123
Ne,-0.3714313209056849,0.111633673310279,-0.160289391875267,0.21510623395442904,0.044246282428503,0.13627089560031802,0.17306125164031902,0.068218231201171,-0.030552292242646,0.146158263087272,0.14052401483058902,-0.25930380821228,-0.025772478431463,0.008220775052905001,-0.029408859089016,0.156153246760368
Na,-0.309443861246109,0.366541713476181,-0.047993052750824994,0.43022072315216,0.122222729027271,0.06901523470878601,-0.030191261321306007,0.007438918109983001,-0.08592061698436701,-0.171345517039299,0.049961470067501006,-0.198099926114082,-0.0033023925498120005,-0.069769710302352,0.295524626970291,0.071686342358589
Mg,-0.13415765762329102,0.054760210216045005,-0.26434502005577004,0.07078169286250999,-0.050255112349987,0.119453221559524,0.132010027766227,0.110506169497966,-0.064646184444427,0.068450838327407,0.028430122882127,-0.292062401771545,-0.053869266062974014,0.17018321156501698,0.031277760863304006,0.15270255506038602
Al,0.025758188217877998,-0.6246507763862611,-0.13219925761222803,-0.16447886824607802,-0.096246875822544,0.114130355417728,0.13666112720966303,0.067727729678153,-0.09259807318449,0.20644834637641898,0.37388315796852095,-0.17316928505897505,-0.116702824831008,0.31218293309211703,-0.092576973140239,0.08035007119178701
Si,0.06191693246364501,-0.275507062673568,0.113931618630886,0.108374737203121,-0.22346630692481906,0.06354483962059,-0.095344491302967,0.22906687855720498,0.277394950389862,0.113397702574729,0.11025132238864803,0.1194604113698,-0.25061696767807,0.26358726620674106,-0.057214241474866014,-0.093754597008228
P,0.17444305121898598,-0.380417823791503,0.24252237379550898,0.06628219783306101,-0.148118361830711,-0.032125879079103005,-0.21938043832778906,0.04258182272315,0.341781556606292,0.011655949987471,-0.087770283222198,0.37876006960868797,-0.202422901988029,0.15836982429027502,0.053793732076883004,-0.136217132210731
S,0.101355105638504,-0.418306738138198,0.099457897245883,-0.13006968796253202,0.245952367782592,-0.325515568256378,-0.24281671643257105,-0.29928484559059104,0.14992333948612202,-0.23888888955116205,-0.21647635102272,0.03237120807170799,0.007364213932305,0.24710541963577198,-0.014150359667837,-0.040198631584644005
Cl,-0.058629740029572996,-0.365472823381423,-0.022960282862185998,0.07967805117368601,0.375443637371063,-0.08728043735027301,-0.185591042041778,-0.32725447416305503,0.023106658831237997,-0.22926203906536105,-0.15320037305355,-0.224341496825218,-0.031518131494522005,0.27818217873573303,0.171787291765213,0.14802509546279902
Ar,-0.26717057824134804,0.27613979578018105,0.36508378386497503,0.041601505130529,0.044179160147904996,-0.14241807162761602,0.06074252352118401,-0.07015416026115401,-0.31541872024536105,-0.013707973062991999,0.11400844156742003,-0.17893198132514898,0.7356953024864191,-0.53420740365982,0.048678819090126994,-0.35160344839096
K,-0.207227170467376,0.30493053793907104,0.008925602771341001,0.451311290264129,0.08835371583700101,0.108598068356513,-0.207689106464386,-0.044247295707464,0.226340860128402,-0.12042119354009599,-0.15400739014148698,-0.057415090501308,-0.15842877328395802,-0.06234937906265201,0.246111199259758,0.018383096903562
Ca,-0.234947368502616,0.053775236010550995,-0.31485003232955905,0.25756421685218805,0.16536566615104598,0.363046169281005,-0.029024166986346,0.053838279098272,-0.110919743776321,-0.103107437491416,-0.146618768572807,-0.361456394195556,-0.23551322519779205,0.254152625799179,0.29988706111907903,0.34842908382415705
Sc,-0.03927406296133899,0.095497980713844,-0.5758368968963621,-0.174434170126914,0.27498745918273904,0.451855182647705,0.260654389858245,0.26663655042648304,-0.28574886918067904,0.16336208581924402,0.020667562261223,-0.24061590433120705,-0.005284206010401,-0.051580537110567,-0.014445145614445,0.33079782128334007
Ti,-0.007831193506716998,-0.035953354090452,-0.18952031433582298,-0.24053187668323506,-0.33081540465354903,0.35667303204536405,0.205656304955482,0.373222887516021,-0.34088468551635703,0.34207215905189503,0.254455626010894,0.08837813138961699,-0.11819616705179199,-0.07692970335483501,0.051160786300897,0.23008944094181005
V,0.010068781673908,0.026370424777269003,0.08766144514083801,-0.098926983773708,-0.5658162236213681,0.095152042806148,0.132265850901603,0.4244566559791561,-0.164542913436889,0.34736499190330505,0.32748019695281905,0.181354746222496,-0.082977227866649,-0.057816181331871996,0.11341118812560999,0.053151983767747005
Cr,-0.18504790961742398,0.548863172531127,0.27127823233604403,0.091857999563217,-0.513859868049621,-0.031194718554615006,0.207638055086135,0.37312576174736,0.014139199629426,0.279340028762817,0.30783188343048,0.025141151621937,0.11738689243793403,-0.16176484525203702,-0.205282524228096,-0.27723294496536205
Mn,-0.026668727397917997,0.34397467970848,0.227079451084136,-0.10491554439067802,-0.487205147743225,-0.12743404507637002,0.18723650276660905,0.19983413815498305,0.053545154631137,0.226651728153228,0.150706022977828,0.04267565533518701,0.027399914339183998,-0.199653938412666,-0.312556475400924,-0.15599465370178198
Fe,0.127333000302314,0.46315655112266496,0.5054023265838621,0.06087502092123,-0.573830306529998,-0.163996636867523,0.047023214399814,0.219079971313476,0.049543436616659005,0.255811899900436,0.16050450503826102,0.43142199516296303,0.111889198422431,-0.3611285984516141,-0.105271153151988,-0.33318412303924505
Co,0.4263084828853601,0.334699839353561,0.195493325591087,-0.27628442645072904,-0.164949491620063,-0.15461616218090002,0.30706587433815,0.27678096294403004,-0.34118402004241905,0.35496604442596397,0.16397507488727497,0.552477955818176,0.21337172389030398,-0.40314635634422297,-0.16818265616893702,-0.31185415387153603
Ni,0.449135154485702,0.05701895058155,0.38462197780609103,-0.322172343730926,-0.22096666693687406,-0.34503367543220503,0.26642695069313,0.07059178501367501,-0.305990815162658,0.249949738383293,0.49298188090324396,0.6080126762390129,0.26419556140899597,-0.42149507999420105,-0.07195954024791701,-0.22050271928310305
Cu,0.18259364366531305,0.39242735505104,0.067148342728614,-0.495417118072509,0.06171370670199301,-0.244401693344116,0.546862542629241,0.052893724292516014,-0.847658157348632,0.220031559467315,0.35746315121650607,0.103545255959033,0.5017488002777101,-0.27624088525772,-0.386132955551147,-0.34753197431564303
Zn,0.16002650558948497,0.041560802608728006,-0.120160363614559,-0.31343951821327204,0.37032824754714905,-0.047682479023933,0.35532751679420405,-0.017568400129674998,-0.7706907391548149,0.105888113379478,0.343970119953155,-0.07976734638214099,0.34285500645637496,-0.047555308789014,0.07938944548368401,0.045131552964448006
Ga,0.27688390016555703,-0.14510369300842202,-0.101442642509937,-0.185093894600868,0.330959826707839,-0.028048610314726004,0.08972772210836401,0.131675660610198,-0.23407605290412906,0.11780047416686999,0.06350357085466299,0.214071214199066,0.119170680642127,0.003584717633202,0.104671157896518,0.061847761273384
