formula,target
K6S6,1.752063640396657
K12O16V4,1.6528587356456086
O6Rb4Zr2,1.867857596285113
F4Mn4O4,2.67688749607948
Co1Li2O4Si1,1.7932323701442967
Ca2F6Tl2,1.6774943616398088
Pd4Se6Tl2,5.083371584555542
Ca1Hg1O2,2.0323401126123875
Mo1Se2,3.3691739838376953
Li8O16Zr6,2.077186558785705
Cl3Cs1Ge1,1.9084626448182502
Au2O4Rb2,1.8904877677467267
Cu2O4Rb2,2.0107925468995194
Mn2Na12Te8,2.2758439460267637
Cs3F6Y1,1.451558357995522
N16Si12,2.0692683892300336
C1Mn1N2,2.3237190736690407
Au2Na4Sb2,4.248906133739992
As2Au2Na4,3.5748193427546107
Cu2K4P2,2.5537053471377607
O24Si12,1.3754999091239513
Cl2Ge2H6,1.556806453395326
As2Li2O6,1.9014183302647014
Cu1O2Y1,2.207225030062263
Cd1Ge1Te4Tl2,3.7103414038782647
Cd4I8,2.1626032152631836
F20O4Os4,1.610746203886054
Cs1F6Sb1,1.4138462905610778
Ag2Hg1I4,2.3173647389509777
Ag2Al2O4,2.4161255486142887
S4Zn4,2.4219759839161665
Cs2O13V5,1.8932521402778522
Cu3K3P2,2.697724164303435
Ge4K4N4O4,1.8898024588123843
F4I4O8,1.980909471261454
K2P2S6,1.9344249791644088
Ca8Cl12O2,1.7971544174054714
K4P6,2.189977168813812
K4P4Si2,2.338098871590616
Au4O6,3.0468834897317616
Ge2Na4O6,1.706842015731587
Li8Mn12O32Zn4,2.464982555719208
F4K2Zn1,1.465016950982716
Cd1O6Pt3,4.168143991434717
Ga2Ge2Te2,7.057081313593224
Ga2Se4Tl2,3.032020338542082
Al2Se4Tl2,2.878486292017612
As2Be2Na2,2.868607153306287
K4O4Zn2,1.8209356569265847
As4K4Pd2,2.928568933796844
Mg2Sb2Sr1,3.1864654922552242
Ca1Mg2Sb2,3.2598568475727294
Ag4S2,2.6869483309757434
As2Ca1Mg2,3.013125840938831
As2Be2Li2,3.0382326002683424
As4Ru2,4.852215988597375
O8Si4,1.507309413049181
Ba2Ge6O18Sn2,1.8015767168418597
Ge4N8Zn4,2.4532481869282337
Bi2Cl2Te2,2.758195303696484
O6Pt3Zn1,3.9697187137965515
Au3Rb3Sb2,2.8633313930921336
Au3K3Sb2,3.1325708292059513
Ca1F6Ti1,1.4604641050632508
F6Rb1Sb1,1.4052790944625002
Ba3Bi3Na3,3.968053763076638
Fe1Li1O7P2,1.8668244873760003
C2Si2,2.6600899107611577
Ag2Na4Sb2,3.4746702481438385
Ag2K4Sb2,2.714283883458028
Be2F8K2Pb1,1.5250136611268135
As8Li8,3.9303519774527405
Al1F5K2,1.350185172485611
Na2O2Rb2,1.8586097851171806
Li2Na2S2,1.9801239018472219
I1K1,1.7655027612552967
As8Zn8,4.6191629833408845
As1Cs1F6,1.4094877320028891
As1F6Rb1,1.3964240043888014
Cl4O4W2,1.9889645547369617
Na6O6P2S2,1.664890687102305
As2Cd2Sr1,11.709114967978296
Br4H4,1.5146782936760312
Ag1S8Tb5,2.951872740592451
C3H3O6Tb1,1.7613562009618193
As2Sr1Zn2,3.8789603418098255
C2O6Sr2,1.6407889362539392
K1O2Y1,1.885771283409888
La1Li3P2,3.480852386030394
P8S10,1.8867078911868331
La1Li3Sb2,4.026095378900008
Ag2As2K4,2.6416650683486123
As1B1O4,1.7483560850124324
F8Na2Y2,1.5010968003219318
Au2Rb2S2,2.0392252613840065
Au2Rb2Te2,2.451418976837701
Cr2Mn4O8,2.454645120311013
Al4B12Be4Cs1O28,1.0
H2O2Zn1,1.8294292370390646
O8Te4,2.3709354693875584
Br1H3O1,1.6240468999795952
K3O14V5,2.0405490274270153
As4Ge2K4,2.6771061490597114
Au3Cs1Se2,2.271348718272904
Au3Rb1Se2,2.3854807342196946
Au3Cs1S2,2.1582774767547077
N2Sr1Zr1,3.3895555264173876
Hf1N2Sr1,3.3035334618125787
As2Na1Sn2,5.113721280372387
C3H3O6Tm1,1.7614708815835323
Ba1La1O6Ru1Zn1,2.6635447558970484
F6Sb1Tl1,1.5213994654045815
Al2Cl8Cu2,1.7202859258468248
Ba2O6Se2,1.81589940984259
K1Nb1O3,2.314658002095917
Ca2Gd4S8,2.8430924477861583
C2F2K6O6,1.4898545790270756
P12Pt8Sr2,4.339277973734212
O1P2Sr4,2.699608860557401
Ba1F6Ti1,1.6108441886166378
Ba1F6Sn1,1.5332039438161322
K2Sb2Zn2,4.977921085486728
Ba1Mg2P2,2.9011306991125627
F3Li4Mn8O13,2.2661178257098635
Hg1K4P2,2.2153718273313205
Cd1Na4P2,2.4708035804841506
K2Na2O2,1.796831748754828
In2S4Zn1,4.4490205289104585
Ag3I1S1,2.8963630067149158
F6Pt1Zn1,1.809548562487351
Ca1F6Pt1,1.5685820560833765
Ba2Hf1S4,2.596806821206896
Cu2Na4P2,3.078148794323722
K4Mn2Se4,2.0910867190689677
Mn2Rb4S4,2.000526847274647
K4Mn2S4,1.9960270539248668
F2La2Se2,2.5115599402230737
K2P2Zn2,2.918650829864154
Cr2H2O4,2.259266178799361
Fe1Li5O8Si2,1.738807062327503
Cu2K2Te2,2.9955796879179664
Cs2F6Ge1,1.420801182431946
F10P2,1.3042239071570518
Cu2K2Se2,6.781759604507768
Cu2Na2Te2,3.0726867179500523
F6Pt1Rb2,1.5347608934293397
K1O2Sc1,1.9665045130891439
O2Rb1Tl1,2.3034223812984687
Ca2Fe2O4,14.019079689242565
O2Rb1Sc1,2.007593335314689
Al6I2Na8O24Si6,1.5591555406693711
Al2Hg1Te4,3.054270234715106
C1O1S1,1.4748881313509725
F1Li5Mn5O9,2.270900995933846
Ca1Cd2Sb2,6.256365132140762
F6K2U1,1.5889969582517507
Au1K3O1,2.2260123539639207
S6Zn6,2.4263989092205533
As2K2Zn2,5.88881292508657
Pd8Sb4,1.0000000000000047
Cl1O4Tl1,1.5855645682216792
Fe5Li9O16Si2,2.0568615250748734
K4O16V6,1.8426493607484487
Cu2Pb2Se6Tm2,3.4042752578205437
Li2Rb2Se2,2.0240219037022964
Si4,3.57042649179805
Pb2S8Sm4,3.120332460919296
Be2H16O16S2,1.4714697867551794
S8Tb4Yb2,2.7889780685166143
Al1F5Fe1,1.459316735096724
As2Ba4O1,3.0586418554646158
Cu1Fe5O8,3.5623479616679803
F4Tl4,1.9497008317517162
Ba2Cu4O4,2.4331128895580143
Cu1Li1O2,2.866867396073055
As1F6Li1,1.4155093311908904
F6Li1P1,1.36906293987124
Ca6N6V2,2.825056577604538
Ba1O6Sb2,1.8561662102301122
Ca1O6Sb2,1.8927030934618352
O6Sb2Sr1,1.8584589494166042
Li4P20,3.2536674691799714
Cr2O8Ta2,2.4011490304990786
F6Pd1Zr1,1.6488897274630965
Cs1Ga1H1O10P3,1.5793555647795086
Ga3O14Si2Sr3Ta1,1.849595361153356
O3Pb1Zr1,2.4755692274707246
C2O6Zn2,1.8472982072926578
Cs2F6Nb1,1.6105499060879795
Ba2S4,2.230919093108781
Ge12Os8,4.79557945751432
P8Pt4,4.4323056452971885
F6Nb1Rb2,1.6119180086675284
Cu4O14Sr8,2.8195241915377616
O4S2Sc4,2.5211395571579667
Ga2S4Zn1,2.4576931595841387
O32Si16,1.4782042033043565
Cs2F4Hg1,1.631620973142971
F4Hg1Rb2,1.57942700580517
N3O6Rb3,1.526946517290854
O4S4Zr4,2.781247561796684
Se2Sn1,3.859015418471421
La2O2Se1,2.333123228635809
F4Mg1Rb2,1.4509832298594512
Cl18Cs6Cu6,1.913883747775708
Na2Rb2S2,1.8947872351973105
Bi2Na2S4,3.613125332266605
Li2Rb2S2,1.9404639479602124
As2F10,1.347837774610385
