formula,target
Ag2Ca1Ge2,1.4471580313422192
Ba1Ge2Mg2,1.5185139398778875
Cu2Si2Sr1,1.7403626894942439
Dy1Pd3,1.7075701760979363
Ba1Mg2Si2,1.6020599913279623
Al1Ti1,1.845098040014257
Er1Pd1,1.4913616938342726
Pd2Te2,1.3010299956639813
Mn3Nb3Si3,2.0211892990699383
Mg2O8S2,1.6812412373755872
Al3Tm1,1.7708520116421442
Ba6N2,0.7781512503836436
Pd4Se6Tl2,1.0791812460476249
B2Co3Tb1,2.0718820073061255
Ca1Hg1O2,1.146128035678238
Lu1Pt3,1.8750612633917
Au2O4Rb2,1.0791812460476249
Cu2O4Rb2,1.146128035678238
Fe4Sb12,1.6434526764861874
Hg4Rb2,0.6989700043360189
Al2Ba3Si2,1.3424226808222062
Ru3Si3Zr3,2.0
Ga4Ho2Pd2,1.6812412373755872
Li12Sb6,1.3617278360175928
Rb1Se6Th2,1.2787536009528289
Ca4Pt4Sb4,1.5440680443502757
Pd4Sb4Sr2,1.255272505103306
Pd6Si3,1.7075701760979363
Pd1Te2,1.3424226808222062
Cd2O8S2,1.414973347970818
Al2Ca1Ga2,1.4471580313422192
C10Y8,1.7160033436347992
As2Er2O2Zn2,1.5440680443502757
Cs1Cu3S2,0.9030899869919435
Cu2K4P2,1.0413926851582251
Ca24N16,1.5314789170422551
Cs2Cu1F6K1,1.146128035678238
Ag4Sb4Yb4,1.3979400086720377
Co4P4Zr4,2.060697840353612
B2Cu2Se4,1.6901960800285136
Ge5Yb3,1.462397997898956
Cd2Na6,0.6989700043360189
Cs1F6Sb1,0.6989700043360189
N2Te1Th2,1.5797835966168101
As2Lu2O8,1.7993405494535817
Ag2Al2O4,1.7781512503836436
Er4F12,1.6434526764861874
Rh4Si4Ti4,1.9444826721501687
Li4O6Pd2,1.7558748556724915
Be1Mn1Ti2,1.724275869600789
Cu3K3P2,1.0791812460476249
Lu1O2Rb1,1.724275869600789
Ba6Fe2N6,1.2787536009528289
O2Rb1Tm1,1.7075701760979363
Er1O2Rb1,1.6989700043360187
Dy1O2Rb1,1.6812412373755872
As4Nb2,1.954242509439325
Er1P2Ru2,2.0
K2P2S6,0.0
Na5O6Re1,1.5563025007672873
Au4O6,1.5797835966168101
Ge2Na4O6,1.4471580313422192
Nb2S4Sn2,1.4771212547196624
Re2Ti1W1,2.164352855784437
F4K2Zn1,1.3222192947339193
Cd1O6Pt3,1.845098040014257
As2Be2Na2,1.5185139398778875
K4O4Zn2,1.0413926851582251
Mg2Sb2Sr1,1.3979400086720377
Ca1Mg2Sb2,1.414973347970818
Ag4S2,0.8450980400142568
Li1Se6Ti3,1.146128035678238
As2Ca1Mg2,1.5563025007672873
Ag2As2Sr2,1.4913616938342726
As2Be2Li2,1.5797835966168101
As4Ru2,2.0211892990699383
Si2Sr2Zn2,1.591064607026499
Ho16O24,1.8129133566428555
Cu1Tm1,1.6334684555795864
Mn3Sc3Si3,1.8750612633917
Fe3Ge3Sc3,1.724275869600789
Ge4N8Zn4,1.9777236052888478
Ba6Mn2N6,1.3222192947339193
O6Pt3Zn1,1.8129133566428555
Ca4Li8,0.9542425094393249
Li3Pd1,1.0413926851582251
Au3Rb3Sb2,0.7781512503836436
Ca1F6Ti1,1.3979400086720377
Pt4S6Tl2,1.2041199826559248
Ba3Bi3Na3,1.2041199826559248
Al4O12Sm4,2.041392685158225
Ge3Li3Pr3,1.568201724066995
As2Fe2Li2,1.6020599913279623
Pt4Te6Tl2,1.1760912590556813
Na2O4Pr2,1.591064607026499
Pt4Sc4Si4,1.7781512503836436
Ag2K4Sb2,0.9542425094393249
Al4Na4O8,1.6532125137753437
C1Fe2Si2Tm2,1.9344984512435677
F12Sm4,1.6812412373755872
Bi4K2,0.47712125471966244
Al2Ba3Sn2,1.3010299956639813
As4Ba4Pt4,1.3617278360175928
Al2Sn2Sr3,1.3979400086720377
As2Pt2Sr2,1.4771212547196624
Al3Si2Y2,1.8129133566428555
Ba1Ni2P2,1.568201724066995
Li2Na2S2,1.380211241711606
Li8O8Ti2,1.6334684555795864
I1K1,0.7781512503836436
Ge2Sb2Zr2,1.863322860120456
In3Pd3Sm3,1.462397997898956
Li5Mg1,0.8450980400142568
As1F6Rb1,0.47712125471966244
B4Ca2Rh4,1.7481880270062005
Na6O6P2S2,1.3222192947339193
Al2K4Na2P4,1.2304489213782739
As2Cd2Sr1,1.4471580313422192
As2Sr1Zn2,1.5185139398778875
K1O2Y1,1.6989700043360187
Cu4Mg4P4,1.6812412373755872
La1Li3P2,1.6434526764861874
B2C1La1Ni2,1.9084850188786497
As1B1O4,1.6127838567197355
F8Na2Y2,1.5440680443502757
Au2Rb2S2,0.7781512503836436
Cd6Er2,1.4313637641589874
Cr2P8,2.0
Co2Sc1Si2,1.954242509439325
Al1Mn2Nb1,1.99563519459755
Ag1Er2Tl1,1.3424226808222062
Ge4Ni2Sm2,1.662757831681574
Al4Yb2,1.6127838567197355
Ba2Mn1O6U1,1.7160033436347992
Co2Ga1Mn1,1.9030899869919435
Au3Rb1Se2,0.6989700043360189
B4Rh5Sr2,1.8976270912904414
Fe1Te2Zr6,1.7781512503836436
As6Ca6,1.462397997898956
B2Cs2Na4O6,1.3424226808222062
Ba6N2Na2,0.47712125471966244
F6Sb1Tl1,0.7781512503836436
Al2Cl8Cu2,0.7781512503836436
Ba2O4Zr1,1.7481880270062005
F6K1Rb2Sc1,1.146128035678238
Au2Ge2Lu2,1.6232492903979006
Nb1Os2Sc1,2.0569048513364727
Be2Hf2Si2,2.0718820073061255
K1Nb1O3,1.6127838567197355
As4Co4Hf4,1.9637878273455553
Ba1Ge2Li2Mg2,1.4771212547196624
Fe2Si2Th1,1.9444826721501687
B2Ca2Ni8,1.7853298350107671
Mg2O14Si4Sr4,1.6334684555795864
O1P2Sr4,1.5314789170422551
Ba1F6Ti1,1.3424226808222062
Ba1F6Sn1,1.3010299956639813
K2Sb2Zn2,1.2304489213782739
Li4Na4Te4,1.2041199826559248
Rh2Si2Tm1,1.9395192526186185
Ba1Mg2P2,1.5797835966168101
Hg1K4P2,0.9542425094393249
Cd1Na4P2,1.1139433523068367
Au2Ge2Sc2,1.6434526764861874
Ba2Sn2,1.2041199826559248
F6Pt1Zn1,1.3617278360175928
Ca1F6Pt1,1.146128035678238
Ba2Hf1S4,1.4771212547196624
Cu2Na4P2,1.3010299956639813
In3Ni3Y3,1.5314789170422551
K2P2Zn2,1.414973347970818
Au3K2,1.1760912590556813
