formula,target
C1Pt1,1.9953836506249996
C1Cd1,2.1030478831250004
C1Cd1,1.9835657181250004
Au1N1,1.5288500038099997
Ag1C1,2.235058755625
Au1C1,2.245312625625
Ag1C1,2.2577964756249997
C1Pt1,1.563910145625
Ag1N1,1.5378644238100003
Ag1N1,1.5329490188100006
C3N1,2.0212696978425013
C3N1,1.7946040403425005
C1Ir1,1.6755006356249993
C1Er3In1,1.6055141085833333
C1Ho3In1,1.596624090583333
O1,1.56497783875
Cu1,1.9421013800000004
B1Na1,1.8501968391666668
I1N1,2.39533922381
C1K1,2.315763816625
Cl1N1,1.9806901121800005
O2,1.9543089287500002
I1N1,1.8301866338100004
Br1N1,2.0692863038100002
O2,1.67560344375
C1Tl1,2.3657735381249996
B1K1,2.0830231926666665
B1Cs1,2.222233088563218
B1Rb1,2.1898440214942525
N3Na1,2.4517666694650004
C2K2,2.3160371891250002
C2K2,2.3160994441250002
Rb3Re1,1.6143951603663789
O4,1.6790399737500001
C3V1,2.2542452384375
Br2Cu1N2,1.5343421790480007
C1Ce3In1,1.8114241435833343
Cu1Mn3N1,1.6628169615240012
Co5Th1,2.363049625000001
Ca1I2N6,1.5998183128577788
C3N4,2.3871840334614283
Co1I3N6,1.902425982572001
N3S4Sb1,1.69759418020125
Cl2N4O1Pt1,2.0900481115887506
Cd1I4N4,1.9372153783866668
Cl2Co1N6,2.3614666721333344
C6I2N2,1.8139833072740004
Br2Cu1N6,2.2741714995244453
I2N6Ru1,2.2760815056355557
Cl2N6Ru1,2.3245032704666673
K2N6Sn2,1.6728471719720006
B9N1,2.2499281717619994
Br2Mg1N6,1.867376482857778
Co1I2N6,2.1748964706355562
Cl3Co1N6,2.3085600695940003
K2N6Sn1,1.9059329227466673
K6Re3,1.9838011921666672
Cl2N6Ni1,2.481881529911112
K6Tc3,1.5629280946666668
Ge1Hf1Rh2,2.0661192225000002
Ca1Pb1Rh2,1.9425559125
Ag2Pb1Y1,1.6806366499999998
Al1Hg1Y2,2.06235679
Sc2Tl1Zn1,2.0094312624999997
Au1Mg1Pd2,1.6131277075000003
Al2Os1Pt1,2.31959183125
Ga1Hf1Pd2,1.8077253137499998
Mn1Rh2Zr1,2.35567174
Cd1Pd1Y2,1.8033928562500003
Pd1Y1Zn2,1.6842009549999994
Fe1Li1Pt2,1.8369209200000003
Cd1In1Y2,1.9965605854166668
Ir1Mg2Pd1,1.9535454325
In1Li2Y1,1.6939029141666666
Au2Cu1Zr1,1.7939629850000003
Cu2Li1Ni1,1.92357536
Cu1Y2Zn1,2.25125294375
Ir1Pt1Y2,1.6458070200000003
Cu2Hg1Sc1,1.5801379874999997
Cu1Ga1La2,1.8521129574999997
Li1Tl1Y2,2.0707330862499997
Au1Ir1Y2,1.6560127199999997
Ag1Hg1Y2,1.8919919425000007
Au1Cu2Pt1,2.0193267475
Ag1Au1Cu2,1.6556758075000004
Al2Pt1Tc1,2.2258126024999996
Be1Fe1Pt2,2.18554586375
Al2Fe1Mn1,2.402177637500001
Ge2Li1Rh1,1.6487198899999997
Na1Pb1Y2,1.8390628987500004
Cd1La1Mg2,1.5535102137499999
Co2Ga1Mg1,2.1664741225000004
Li1Rh2Sc1,1.817160475
Co1Ni1Sc2,2.2616470500000005
Cd1Ru1Sc2,1.9663626924999997
Au1Rh2Sn1,2.1419742312499994
Mg1Ni2Zn1,1.90190739125
Mn1Ni2Zn1,2.15646410375
Au1Mn1Pd2,1.9358663925
Cu1Hg1Y2,2.0406778450000007
Cu1Ni1Y2,2.1538141250000007
La1Tl2Y1,1.8347940275
Cu2Ga1Ti1,2.093032430833333
Cr1Mg1Pt2,1.9125894049999999
Mg1Sc2Zn1,2.17356384125
Al1Be1Pd2,1.5424426412500005
In1La2Li1,2.0214485866666667
Au2Hf1Tl1,1.5734045875000002
Al1Ca2Mg1,1.5244050775000002
Cd2La1Y1,1.9978927325
Co1Cu1Y2,2.2548907650000003
Ag1Cu2Sc1,1.822686315
Al1Hg1Sc2,2.0457098175
Au2Be1Ti1,1.747594152083333
Al1In1Sc2,2.215390006666667
Be2Mg1Pt1,1.7969751100000002
Ag1Hg1La2,1.8365388875000002
Au1Bi1Pd2,1.5330480687499994
Au2Hf1Pt1,2.10986294375
Cd1Pb1Rh2,2.0462950512500004
Au1Pd1Y2,1.5292293249999998
Ca1Tl2Y1,1.5748756025
Ag1Hg2Zr1,1.6175364550000002
Ag2Sc1Sn1,1.7036582012500001
Cd1Fe1Rh2,2.4733849487499997
Be1Cu1Pd2,2.00520051375
Ca1Hf1Rh2,1.88962968375
Ge1Rh2Ti1,1.9956928270833325
Cr1Rh2Sn1,2.442245583750001
Au2Ti1Zr1,2.2262147133333334
Ir1Mg1Zn2,1.78388612
Rh2Tl1Y1,1.6961503637499993
Ag1Au2Hf1,1.72404029375
Ga1Mn1Pd2,1.5492614925000003
Sc1Si2Tc1,2.4887634175000004
Be1H1Pt2,1.8370810990950006
Cd1Hg1Y2,1.8580920162499999
Ag1Au1Y2,1.7943639624999999
Al2Cu1Ir1,1.926219825
Ga2Pd1Tc1,1.9356089924999993
Rh2Sn1Zn1,1.9952733200000003
Mg1Zn2Zr1,1.9377117650000002
Pt1Y1Zn2,1.7765258224999996
Os1Rh1Sc2,2.4748901187500003
Ag1Li1Pd2,1.705748465
Al2Ir1Mn1,2.3319255350000008
Au1Cd1Y2,1.7580760612500002
In1Rh2Ta1,2.323900174166667
In1Li2Sc1,1.6528309566666666
Cd2Ir1Li1,1.617264175
Ni1Sc2Tl1,2.0160685512500005
Cu1Rh2Zr1,2.2341300424999995
Cd1Cu2Rh1,1.9994397887499997
Cu1La2Zn1,2.01189349125
Hg1La2Pb1,1.5695386449999997
In1Sc2Tc1,2.386931649166667
Mn1Rh1Zn2,2.0310227950000006
In1Pb1Y2,1.8610918516666666
Cr1Ga1Rh2,2.35324959
Be1Pt2Ti1,1.7995742520833335
Cu2Ga1Hf1,2.40572911875
Cd1Sc2Zn1,2.0227274600000005
Be1Cd1Pt2,1.7251881175000006
Mg1Ti1Zn2,1.7576330608333333
Au1Ru1Y2,1.8121926212499995
Au2Zn1Zr1,1.5394507962500001
Co2Sn1Zn1,2.1445394
Ag1Au2Zr1,1.684942125
Mg1Rh1Zn2,1.5528570975
Pd2Ti1Y1,1.8910820083333322
Ca1In1Rh2,1.8411045291666661
La2Mg1Zn1,2.1545720362500003
Al1La2Zn1,2.0671961712499995
Al1Ni2Zn1,1.9002302537499998
Ag1Pd2Zn1,1.67180640875
Al1La1Li2,1.9190055350000002
Cd1Pt2Zr1,1.52952276625
La2Li1Tl1,1.9807033312499995
Ge1Pd1Y2,1.6602578462499995
Ni1Sc2Zn1,2.1021535887500002
Ag2La1Zn1,1.5797105012500001
Cu1Rh2Ti1,2.150250923333333
Hg1Ir1Y2,1.7777018149999995
Co1Ga1Sc2,2.1516806925
Be1Ga1Pt2,1.58183590875
Mg2Ni1Pt1,1.6518190299999995
Ag1Be2Pt1,1.7737603825000003
Co1Ga2Ni1,1.8079757600000002
Co1Ir1Y2,2.3385856375000005
Cu1Ga1Pd2,1.5509351674999996
Au1Be2Pd1,1.5848008475
Hg2Sc1Y1,1.70054023
Cu1In1Sc2,2.142933866666666
Co2Mg1Ti1,2.3045014683333336
Al2Cu1Rh1,1.7688957800000007
Pt1Y2Zn1,1.7204485162500003
Ga2Li1Sc1,1.5866947300000003
Cr1Ge2Tc1,2.4318984575
Cd1Ir1Y2,1.9009449912500003
Ga1Hg1Sc2,1.8612472725
Fe1Pd1Y2,2.1655885274999997
In1La2Mg1,2.057248429166667
Ag1Au1Pd2,2.04156147
Hf4Mg4,2.1575735074999995
Hf2Mg2,1.6235773174999997
Rh2Sc1Zr1,2.188793884999999
Be1Sc2Tl1,2.41526448
Ag1Cu1Pd2,2.1585995875
Sc1Y1Zn2,2.1111719300000003
Be1Ge1Rh2,2.2839750249999997
Co2Ga1Zr1,2.3966126725
Ag1Cu1Sc2,2.140529115
Li1Pb1Y2,1.9313409175
Pd1Sc2Zn1,1.8499286662499999
Al1Li1Sc2,2.3017234650000002
Ag1La2Tl1,1.80608420625
Pb1Rh2Y1,1.8218408275
Cu2Ga1Mn1,1.7690988975000006
Al2Os1Pd1,2.31503530125
Cd1Y2Zn1,2.0665786425000006
Al1Ga1Ni2,1.7947046675
Hg1La2Zn1,2.05770194625
Be2Co1Cu1,2.3797385574999996
Ag1Al1Y2,2.2410428499999995
In1Sc2Zn1,2.053109690416667
Au1Cu1Y2,1.9109405274999998
Au1Be2Pt1,1.5979577375000003
Cd1Rh2Zn1,2.109772995
Cu1Ni1Pd2,2.4036810699999993
Hg1Y2Zn1,1.9167531262500002
Mg1Mn1Pd2,1.648204562500001
In1Pd1Y2,1.8214307216666663
Ir1Ru1Y2,2.3598680112499997
Ga1Li1Y2,2.0607412375000003
Pd2Sc1Y1,1.5848106724999997
Au1In1Ni2,1.8736728491666663
Pt1Rh1Zr2,2.4543902949999996
Ag1Ir1Zn2,1.84167119
Al2Fe1Pt1,1.8232158899999997
Cd1Mn1Pd2,1.6097625787500003
Ga1Ir2Zr1,2.218476665
Be1Ni2Ti1,2.4656556120833333
Ir1Mg2Pt1,2.0477721575
Cu1Ni1Sc2,2.1153434375000004
Cu1Pd1Y2,1.8944669025
Be1Co2P1,2.359800383214286
La1Y1Zn2,2.1561774825
Ga1Li1Sc2,2.11383115
Au2Hf1Sn1,1.8108390600000006
Ag1Cd1Y2,2.0487559837500005
Ag2Mg1Zr1,1.9799437350000002
Li1Pt2Zn1,1.6588889787500003
Ag1Pd1Sc2,1.7614758849999999
Al2Cu1Ni1,1.7289601050000005
Cd1Ir1La2,1.52661660375
Ga1Rh1Sc2,1.8337986700000002
Be1Pb1Y2,2.3266471462500005
Ir2Sc1Zn1,2.25448274875
Mn1Pt1Zn2,1.7184079775
Fe1Rh2Sc1,2.3495990099999986
Li1Tc1Y2,2.3829906624999997
Al2Co1Rh1,2.18806397
Cd1Hf1Pd2,1.6203286774999994
Ir1Ti2Zn1,2.486582060416666
Ge1Pd1Sc2,1.6439922987499997
Ga1Y2Zn1,2.069405716250001
La1Sr1Zn2,1.5786943525000003
Au2Cr1Hf1,2.1710776337500004
In2Sc1Y1,1.9961261208333339
Rh1Si2Tc1,2.46506237
Cu2Ga1Y1,1.8496021050000002
Ni1Pd1Y2,1.8501981224999993
In1Sc2Tl1,1.9977603629166674
Ag1Pd2Sb1,1.6153749362500003
Sc1Ti1Zn2,2.3010575483333335
Rh1Sc2Tl1,1.7887846712500002
Cu2Mg1Pt1,1.8675410675000004
Cu1In1Ni2,2.1067588216666664
Ag1La2Os1,1.8688033087500004
Cu1Fe1Pd2,2.2705391150000005
Au1Ga1Y2,1.7865895799999993
Ag2In1Zr1,2.015084741666667
Ir2Sc1Sn1,2.3089394687499993
Be1Fe2P1,2.3670806257142853
Hf1Mg1Pt2,1.5504941137500001
Hg1Ru1Y2,1.8977645962499992
In1Os1Sc2,2.3757959329166676
Sc1Ti1Tl2,2.1503809458333336
Co2V1Zn1,2.43890240625
Rh1Ti2Zn1,2.3752498029166667
Hg1Mn1Pd2,1.5434399649999997
Co1Mn1Zn2,2.0472253100000004
Au2Cu1Hf1,1.85838704375
Ag2Ga1Sc1,1.5920225025000003
Hg1La2Li1,2.1033956375
Ag1Mn1Pd2,1.9942985374999997
B1Be1Pt2,1.913665169583333
Au2Cu1Pd1,1.7442424649999997
Al2Li1Ru1,2.1071614312499993
Pd1Y2Zn1,1.8932245862500001
Cu1Sc2Tl1,2.0984451487499998
La1Ru2Sc1,2.0981242174999997
Pd2Zn1Zr1,1.6553745287499995
Al1Cu1Ni2,2.1946360950000003
Cd2Sc1Y1,1.9748897575000002
Cu1La2Os1,1.9999395312500008
Ni1Pd2Zn1,1.9541323612500006
Li2Rh1Tl1,1.5267869437499997
Cu1Ga1Y2,2.1844067999999996
In2Li1Y1,1.5476323458333334
Li1Pt2Ta1,1.9970855600000004
Al1Ru1Y2,2.31926466125
Hg1Li1Y2,1.9853950924999997
Cd1Li1Y2,2.1306163087499996
Al1Pd1Sc2,1.9949282324999995
Au2Mn1Sc1,1.6047450050000003
Au1Li1Pd2,1.7120955524999997
Al2Cr1Fe1,2.442940862499999
Au2Hf1Sc1,2.0452526687500003
Ag1Cu1Y2,2.151843185
Hg1Pd1Y2,1.6997546424999994
Be1Ge1Pt2,1.70425219
Cu2Ga1Zr1,2.3091232449999994
Al2La1Y1,2.30891054
Tc1Y2Zn1,2.3882417887500003
Pb1Rh1Y2,1.746628135
Rh1Y2Zn1,1.8378123162500004
Be2Pt1Sc1,2.3026014499999996
Mn1Rh2Tl1,2.31020065625
Fe1Sc2Tl1,2.2766221212500004
Hg2Mg1Zr1,1.5945258725000002
Cd1Mg1Y2,2.1700271787500003
In2Li1Sc1,1.5206426233333332
Al1Co2Zn1,2.22350657375
In1Mn1Pt2,1.733654276666667
Cd1Pd2Pt1,1.95923862875
Ca1Mg2Y1,1.850158405
Li1Pd2Zr1,1.6414823675
Be1Mn1Pt2,2.03207086875
Au1Pb1Y2,1.60332082
Cd1Ir1Mg2,1.7545191487500003
Pb1Pd1Y2,1.70867644
Au2Pd1Zr1,1.8505323500000004
Ga1Sc2Tl1,1.9740520612500005
Al1Fe2Ge1,2.3520400362500005
Au1Ir1Zn2,1.7828020675000003
Be2Li1Pt1,1.7723054375
Cu1Pd1Sc2,1.9051825
Co1Pt1Sc2,1.8673574474999999
Cu1Tl1Y2,2.1260314512500003
Au2Hf1Y1,2.0647784712500004
Be1Cu2Ti1,2.4219641120833333
La1Pb2Y1,1.6210487075000004
Pb1Tc1Y2,2.3989861799999996
In1La2Zn1,1.9154461079166667
Ga1Mg1Sc2,2.1555415950000003
Os1Pd1Y2,2.26813540875
Hf1Mg1Ni2,2.2424240787499996
Ag1Mg1Sc2,2.1607700175
Pd1Zn2Zr1,2.0566906924999997
Co2Ge1Mg1,2.2070611837500005
Au1Hf1Ni2,2.07273908125
Pd1Rh1Sc2,1.6589124425000001
Au1Hg1Zr2,2.4420671649999997
Ag1Cu2Zr1,2.2705055874999998
Co1Li1Sc2,2.143658115
Cd1La2Pb1,1.70172263625
Li1Y1Zn2,1.5266910050000002
Al1Pb1Y2,2.0458216324999996
In1Li1Sc2,2.125989534166666
Ir1Li1Si2,2.0081458025
Hg1In1Sc2,1.8493670866666663
Au2Rh1Y1,1.7899032599999996
Au1Sc2Tl1,1.7222077312499997
In2Pd1Rh1,1.528952135833333
Cu1In1Y2,2.1774119366666667
Ag1Mg1Pd2,1.6637536274999998
Au2Hf1Zr1,2.4558592762499996
Hg1Pd1Sc2,1.6513428299999995
Li1Y2Zn1,2.18322292625
Cu1Mg1Pt2,2.0158571025
Ag1La2Pb1,1.71119747
Al1In1La2,2.035637326666667
Ir1Mg1Y2,2.0557591100000008
Ag1Rh1Sc2,1.7535048250000003
Pb1Y2Zn1,1.90413604625
Ag2Au1Pd1,1.6953643600000003
Hg1In1Y2,1.8693073566666665
Ag2Ca1Y1,1.5935676625
Ag1Pd1Y2,1.7568547075
Mn1Pd2Tl1,1.5541892437500007
Hg1La2Sn1,1.5328293862499995
Co1Sc2Tl1,2.1045365412500003
Cd1Cu2Ti1,1.9968932645833326
Mn1Si2Tc1,2.4938341399999997
Ag1Pt1Sc2,1.6332620599999998
Ca1Ga2La1,1.5547363924999997
Co1Cu1Zn2,1.7362719850000004
Ni1Pd1Sc2,1.8646878774999998
Ge2Ir1Li1,1.7964928900000001
Pd1Ti1Zn2,1.869476235833333
Mg1Sc1Tl2,1.5224949175
Cu1Pd2Tl1,1.6320918462499998
Hf1Pd2Sc1,2.0968200687500005
Rh2Sc1Ti1,2.1365987733333327
Mg1Rh2V1,2.1716497425000005
Mg1Pd2Ti1,1.5887821033333331
Au2Hf1V1,2.35675672125
Ir1Pt1Zn2,2.1970550575
In2Ir1Rh1,2.152758993333333
Ir2Sc1Zr1,2.39473193
Al1Ni1Pt2,2.0405581600000002
Co2Cu1Ge1,2.4069208762499996
Ag1Au2Ti1,1.527247500833333
Au1Mg1Sc2,1.9040652825
Li1Ru1Zn2,1.7972364212499998
Co1Ga2Rh1,1.927020975
Ca1Sc1Tl2,1.5552894249999998
Al2Fe1Rh1,2.252005355
Au1Cu1Pd2,2.0880489525
Cu1Sc1Zn2,1.6634312624999996
Hg1Mg1Sc2,1.9858740375000001
Au2Be1Hf1,2.0188630675000003
Al1Cd1Rh2,1.9755083387499996
Au1Cd1Sc2,1.75059982875
Pd1Pt1Zr2,2.424906802499999
Cd1La2Li1,2.09928370375
Pb1Tl1Y2,1.82048124125
Mg1Ru1Zn2,1.8903025862499998
Ge1La2Li1,1.7384706412499993
Ga1Ni1Sc2,2.0693253625
Hg1Os1Sc2,2.1838135587500003
Cu1In1Rh2,2.399160726666666
