formula,target
Hf1O3Te1,1.15
O2Re1S1W1,1.1800000000000002
Bi1F1Hf1O2,1.4100000000000001
F1Li1N1O1Y1,1.52
Be1F1O2W1,1.56
Cr1N2O1Te1,1.62
O2Rb1S1Sc1,3.16
Co1Hf1N1O2,1.3199999999999998
Fe1Li1N2O1,2.2
O3Pb1Ru1,1.32
Cs1F1Hg1N1O1,2.16
Hg1N3Y1,2.05
F1N1O1Sr1V1,1.58
Ga1N2O1V1,0.8600000000000001
Au1F1K1N1O1,2.41
Be1F1N1Na1O1,2.4699999999999998
O2S1Y1Zr1,0.8999999999999999
O2S1Sb1Sc1,1.24
Mo1O3V1,0.66
As1Cd1O2S1,2.0
N1O2V1Zr1,0.62
Bi1In1O2S1,0.98
Au1F1N1O1Si1,1.9500000000000002
F1Ga1Mo1N1O1,0.8799999999999999
Bi2N2O1,1.18
N1O2Pd1Sb1,1.34
F1N1O1Sn1Tl1,1.04
Co1F1O2Zr1,1.04
Mo1O3W1,1.15
O2S1W1Zn1,0.72
F1Mn1O2V1,0.47
Cs1F1N1O1Ti1,2.06
Cd1Li1N3,2.84
N1O2Pb1Y1,1.17
Hf1La1O2S1,0.97
As1O2Pd1S1,1.09
Ge1N3Nb1,0.98
N1O2Pd1Rb1,2.3200000000000003
Be1Ga1O2S1,1.3399999999999999
Au1Bi1O2S1,1.21
Au1In1N2O1,1.75
Co1N2O1Pd1,1.44
N1O2Rb1W1,0.91
Cs1N3W1,1.36
Ca1N1O2Sr1,1.9
As1F1N1O1Zr1,1.14
Be1N3Sc1,1.6
F1K1N1O1Ta1,1.8499999999999999
F1Ni1O2Ta1,1.08
Fe1N3Sr1,2.6100000000000003
F1K1O2Ru1,2.0300000000000002
B1O3Si1,1.9
N1O2Si1Sr1,1.74
F1Ga1O2Pt1,1.29
Mn1N1O2W1,0.42
La1O2Pt1S1,0.88
Ag1In1N3,2.0
Cu1Ge1N1O2,1.17
B1Li1N2O1,2.2800000000000002
Be1N3Sb1,2.1399999999999997
Ba1Co1F1N1O1,1.8299999999999998
O3Te1V1,0.94
Cd1Ga1O3,1.22
Be1Fe1N3,1.32
F1O2Te1Zr1,1.0899999999999999
N2O1Pb1Sn1,1.3199999999999998
N2Na1O1Si1,1.92
Mo1N2Ni1O1,0.8799999999999999
Mg1N3Os1,1.6099999999999999
Hg1N3Sn1,2.1399999999999997
F1N1Na1O1Ru1,1.08
N3Ni2,1.48
O3Re1Tl1,1.44
Hf1Na1O2S1,1.64
Ca1Co1F1N1O1,1.77
Cr1O2S1Sc1,0.6699999999999999
Au1Mg1N1O2,1.8199999999999998
Ca1N2Na1O1,2.8
N1O2Pd1W1,1.62
Mn1N1O2Te1,1.0899999999999999
Co1Ir1N3,1.69
Cu1O2S1W1,1.3
Bi1O3Rh1,1.11
Cu1Ni1O2S1,1.17
Ga1La1N1O2,1.1
As1La1N2O1,1.5299999999999998
Hf1N2O1Pd1,1.22
Ge1N2O1Sn1,1.1
F1N1O1Pb1W1,1.3900000000000001
O2S1Sn1Ti1,0.48
Cd1F1Mo1N1O1,1.9
As1N3Ru1,1.78
Na1O2S1Y1,1.1400000000000001
N3Sb1Y1,1.45
In1Mg1O3,0.99
F1Ge1O2Rh1,1.08
F1Ga1N1O1V1,0.56
F1Hg1Mn1O2,1.04
N1O2Sn1V1,0.61
La1O3V1,0.39
Ag1F1Hg1O2,1.3900000000000001
Cr1N2O1Sr1,2.0100000000000002
Fe1N2O1Sn1,1.17
N2O1Pt1Y1,1.9300000000000002
Bi1Hg1N3,2.2800000000000002
Au1F1O2V1,0.66
F1O2Pd1Sn1,1.0
Bi1O2Re1S1,1.17
La1O3W1,1.28
Ca1O2Pb1S1,1.23
F1Fe1N1O1Pt1,1.63
Ca2N3,2.48
N3Rb1Y1,2.16
N1O2Pd1Rh1,1.79
N2O1Ta1Zn1,1.05
Cu1O2Rh1S1,1.12
Be1N3Si1,1.86
F1Hf1Mn1N1O1,1.4
Ir1N1O2Zn1,1.44
Ag1Li1N3,2.6
Co1N2O1Sb1,1.1099999999999999
Ag1F1O2Ti1,0.85
Bi1Ni1O3,0.72
Ga1N3Re1,0.9
F1Mn1O2Ti1,0.44
Be1O2Ru1S1,1.45
Bi1F1O2Pd1,1.12
N1O2Rb1Ru1,2.15
As1N1O2Ti1,1.1400000000000001
F1O2Si2,1.36
F1N1Nb1O1Pd1,1.23
Au1N1Ni1O2,1.83
Au1O2S1Zr1,1.3900000000000001
Mg1N1O2Y1,1.29
Hg1O2S1Sn1,1.03
N1O2Pt1Ru1,1.84
