formula,target
K6S6,1.752063640396657
K12O16V4,1.6528587356456086
F4Mn4O4,2.67688749607948
Ca2F6Tl2,1.6774943616398088
Pd4Se6Tl2,5.083371584555542
Mo1Se2,3.3691739838376957
Li8O16Zr6,2.077186558785705
Cl3Cs1Ge1,1.9084626448182505
Au2O4Rb2,1.8904877677467269
Cu2O4Rb2,2.01079254689952
C1Mn1N2,2.3237190736690407
Au2Na4Sb2,4.248906133739991
As2Au2Na4,3.5748193427546107
Cu2K4P2,2.5537053471377607
O24Si12,1.3754999091239513
Cd1Ge1Te4Tl2,3.7103414038782647
Cd4I8,2.162603215263184
F20O4Os4,1.6107462038860538
Cs1F6Sb1,1.4138462905610778
Ag2Hg1I4,2.3173647389509777
S4Zn4,2.4219759839161665
Cs2O13V5,1.893252140277852
Ge4K4N4O4,1.8898024588123843
F4I4O8,1.9809094712614543
Ca8Cl12O2,1.7971544174054714
K4P6,2.1899771688138117
K4P4Si2,2.3380988715906157
Au4O6,3.0468834897317616
Ge2Na4O6,1.706842015731587
Li8Mn12O32Zn4,2.464982555719208
F4K2Zn1,1.4650169509827158
Cd1O6Pt3,4.168143991434716
Al2Se4Tl2,2.878486292017612
As2Be2Na2,2.868607153306287
K4O4Zn2,1.8209356569265849
Mg2Sb2Sr1,3.186465492255224
Ca1Mg2Sb2,3.2598568475727294
Ag4S2,2.686948330975744
As2Be2Li2,3.0382326002683424
As4Ru2,4.852215988597375
O8Si4,1.5073094130491809
Ba2Ge6O18Sn2,1.80157671684186
Bi2Cl2Te2,2.758195303696484
Au3Rb3Sb2,2.8633313930921336
Au3K3Sb2,3.1325708292059518
F6Rb1Sb1,1.4052790944625002
Fe1Li1O7P2,1.8668244873760005
C2Si2,2.6600899107611577
Ag2K4Sb2,2.7142838834580285
Be2F8K2Pb1,1.5250136611268137
Al1F5K2,1.3501851724856109
Na2O2Rb2,1.8586097851171808
I1K1,1.7655027612552967
As8Zn8,4.6191629833408845
As1Cs1F6,1.4094877320028891
As1F6Rb1,1.3964240043888014
Cl4O4W2,1.9889645547369617
Na6O6P2S2,1.664890687102305
As2Cd2Sr1,11.709114967978294
C3H3O6Tb1,1.761356200961819
As2Sr1Zn2,3.8789603418098255
C2O6Sr2,1.6407889362539392
La1Li3P2,3.480852386030394
Ag2As2K4,2.6416650683486123
F8Na2Y2,1.5010968003219318
Au2Rb2S2,2.0392252613840065
Au2Rb2Te2,2.4514189768377013
Cr2Mn4O8,2.4546451203110133
Al4B12Be4Cs1O28,1.0
O8Te4,2.3709354693875584
Br1H3O1,1.6240468999795952
K3O14V5,2.0405490274270157
As4Ge2K4,2.6771061490597114
Au3Cs1Se2,2.271348718272904
Au3Rb1Se2,2.385480734219694
Au3Cs1S2,2.158277476754708
N2Sr1Zr1,3.389555526417388
As2Na1Sn2,5.113721280372387
C3H3O6Tm1,1.7614708815835325
Al2Cl8Cu2,1.7202859258468248
K1Nb1O3,2.314658002095917
Ca2Gd4S8,2.8430924477861583
C2F2K6O6,1.4898545790270756
O1P2Sr4,2.6996088605574005
Ba1F6Ti1,1.6108441886166378
K2Sb2Zn2,4.977921085486728
Ba1Mg2P2,2.9011306991125627
F3Li4Mn8O13,2.2661178257098635
Hg1K4P2,2.2153718273313205
Cd1Na4P2,2.4708035804841506
In2S4Zn1,4.4490205289104585
Ag3I1S1,2.896363006714916
F6Pt1Zn1,1.8095485624873506
Cu2Na4P2,3.0781487943237216
Mn2Rb4S4,2.000526847274647
K4Mn2S4,1.9960270539248668
Cr2H2O4,2.259266178799361
Cu2K2Te2,2.9955796879179664
Cs2F6Ge1,1.4208011824319462
F10P2,1.3042239071570518
Cu2K2Se2,6.781759604507768
Cu2Na2Te2,3.0726867179500523
F6Pt1Rb2,1.5347608934293395
K1O2Sc1,1.966504513089144
Al6I2Na8O24Si6,1.5591555406693711
C1O1S1,1.4748881313509723
F1Li5Mn5O9,2.2709009959338458
Au1K3O1,2.2260123539639207
S6Zn6,2.4263989092205533
Fe5Li9O16Si2,2.0568615250748734
Cu2Pb2Se6Tm2,3.404275257820544
Li2Rb2Se2,2.0240219037022964
Si4,3.5704264917980497
Pb2S8Sm4,3.120332460919296
Be2H16O16S2,1.4714697867551794
As2Ba4O1,3.058641855464616
F4Tl4,1.949700831751716
Cu1Li1O2,2.8668673960730553
As1F6Li1,1.4155093311908904
F6Li1P1,1.36906293987124
Ba1O6Sb2,1.856166210230112
F6Pd1Zr1,1.6488897274630965
Cs1Ga1H1O10P3,1.5793555647795086
O3Pb1Zr1,2.4755692274707246
C2O6Zn2,1.8472982072926576
Cs2F6Nb1,1.6105499060879795
Ba2S4,2.230919093108781
P8Pt4,4.4323056452971885
F6Nb1Rb2,1.6119180086675284
Ga2S4Zn1,2.4576931595841387
O32Si16,1.4782042033043563
F4Hg1Rb2,1.57942700580517
N3O6Rb3,1.5269465172908538
O4S4Zr4,2.7812475617966843
Se2Sn1,3.859015418471422
La2O2Se1,2.333123228635809
F4Mg1Rb2,1.4509832298594512
Cl18Cs6Cu6,1.9138837477757082
Na2Rb2S2,1.8947872351973103
Bi2Na2S4,3.613125332266605
Li2Rb2S2,1.9404639479602124
As2F10,1.347837774610385
Cr2Li5O8,1.8718011824621403
Ba1Be1O4Si1,1.7136056528073589
Ca3Cd1O4,2.062161972299945
Fe1O2Sr1,2.266571346034946
N2Na10O8W2,1.7716690812150369
N4O6Ti6,2.965232143807069
Ag2K4P2,2.5917249082416105
B2K3Nb3O12,2.122921257764088
Li2Mg8O24V6,1.9263904069528588
Nb4O14Sr4,2.184187034115888
F18Ge3Na6,1.3672717359764388
Ag2Pr6Se14Si2,2.9680354333015178
Cu2Nd6Se14Sn2,3.1053587554419537
Bi12Ge1O20,2.4977329721169017
In1P1,3.6371991971845543
Ga2O4Rb2,1.7582118757419418
K4Nb8O34P4Si1,2.139465353774162
Li8O32Ti12Zn4,2.236182684844868
Na4Nb4O12,2.3274064249001865
Al12N4O12,1.9045086855494604
O24Si12,1.5863028294328505
Na8Sb8,3.7604077793062096
Ca1I4Pb1,2.0860419458869948
Li2O12Sb2W2,2.0207690365033013
Li4O16P4V2,1.9472533647850416
H18Na2O10,1.4453357164802
Hg1In2Se4,2.9445298436252942
S8Si2Tl8,2.580605161585166
La1Rb1Se2,2.2620703643638866
S5Zn5,2.4289229437487614
Ir6P6Sr3,6.252679425654278
Ag2In2Te4,3.5602727423611795
Ge4Hg6K4S16,2.265628757468144
As1Cd3I3,2.369584773752566
F1Li7O5V1,1.8608056498911076
F1Na3O10P2Ti2,1.7553960174138408
B3O15P3Pb3,1.89708820740278
N16Si12Sr2,2.147400676787326
F3Hg1Rb1,1.7387624909687924
Be4H12O20P4,1.5288308168880775
Cr3O8,2.4855785812760707
As6Ge6,3.745352675998197
Li1Mn5Na3O9,2.6762332359742738
Na2O14P4Y2,1.6144476867750572
Na16Sn4Te16,2.5734027408601756
Li1P1Sr1,2.8917565019666984
Ba4Cu2Ge4O14,2.1871217768260336
K6Sb2,2.8448784391135926
As16Mg4,3.724065878400471
F10Fe2H8O4Zn2,1.5603069142533037
Ba2Ca1I6,1.8766975426708128
Au4I4,2.1611725212640165
O12Sn2Ta4,2.460595550669691
F6O2V2,1.7100249510850225
Li20P4Se24Sn2,2.2758664284179773
As8Ba4Zn8,4.192254763250917
Al16Be2Mg6O32,1.7594908354407504
Bi1Nb1O4,2.331677865114876
Al2Te5,3.0009998333909347
H8O6Sr2,1.6074217451144135
Ba3Cl6,1.788507571505733
Br6Rb2V2,1.8698566789997542
Ba4Ga4La4O16,2.0855434143966733
Al2O8P2,1.4575808725418975
Br8Cs2Li6,1.6664875237056733
As4Rb4Sn2,2.5949080908579334
