formula,target
Cu2Si2Sr1,1.740362689494244
Dy1Pd3,1.7075701760979365
Al1Ti1,1.845098040014257
Er1Pd1,1.4913616938342726
Pd2Te2,1.3010299956639813
Mn3Nb3Si3,2.0211892990699383
Mg2O8S2,1.6812412373755872
Al3Tm1,1.7708520116421442
Ba6N2,0.7781512503836436
B2Co3Tb1,2.071882007306125
Ca1Hg1O2,1.146128035678238
Lu1Pt3,1.8750612633917
Cu2O4Rb2,1.146128035678238
Fe4Sb12,1.6434526764861874
Hg4Rb2,0.6989700043360189
Al2Ba3Si2,1.3424226808222062
Ga4Ho2Pd2,1.6812412373755872
Li12Sb6,1.3617278360175928
Ca4Pt4Sb4,1.5440680443502757
Pd4Sb4Sr2,1.2552725051033058
Pd6Si3,1.7075701760979365
Pd1Te2,1.3424226808222062
Cd2O8S2,1.414973347970818
Al2Ca1Ga2,1.4471580313422192
Cu2K4P2,1.0413926851582251
Ag4Sb4Yb4,1.3979400086720375
B2Cu2Se4,1.6901960800285136
Ge5Yb3,1.462397997898956
Cs1F6Sb1,0.6989700043360189
N2Te1Th2,1.57978359661681
As2Lu2O8,1.7993405494535817
Ag2Al2O4,1.7781512503836436
Er4F12,1.6434526764861874
Li4O6Pd2,1.7558748556724917
Cu3K3P2,1.0791812460476249
Lu1O2Rb1,1.724275869600789
O2Rb1Tm1,1.7075701760979365
As4Nb2,1.954242509439325
Er1P2Ru2,2.0
K2P2S6,0.0
Au4O6,1.57978359661681
Ge2Na4O6,1.4471580313422192
Mg2Sb2Sr1,1.3979400086720375
Ca1Mg2Sb2,1.414973347970818
Ag4S2,0.8901237126903452
Li1Se6Ti3,1.146128035678238
As2Ca1Mg2,1.5563025007672873
As2Be2Li2,1.57978359661681
As4Ru2,2.0211892990699383
Si2Sr2Zn2,1.5910646070264989
Ho16O24,1.812913356642856
Ge4N8Zn4,1.9234776625099121
Ba6Mn2N6,1.3222192947339193
Ca4Li8,0.9286662482156343
Li3Pd1,1.1087419721069531
Au3Rb3Sb2,0.7781512503836436
Ca1F6Ti1,1.3979400086720375
Ba3Bi3Na3,1.2041199826559248
Ge3Li3Pr3,1.568201724066995
As2Fe2Li2,1.6020599913279625
Pt4Te6Tl2,1.1760912590556811
Na2O4Pr2,1.5910646070264989
Pt4Sc4Si4,1.7781512503836436
Al4Na4O8,1.8108477311646394
Al2Ba3Sn2,1.3010299956639813
