formula,target
Ba1Ge2Mg2,1.6334684555795864
Dy1Pd3,2.1172712956557644
Ba1Mg2Si2,1.6901960800285136
Er1Pd1,1.99563519459755
Pd2Te2,1.9912260756924949
Mn3Nb3Si3,2.3201462861110542
Pd4Se6Tl2,1.3222192947339193
B2Co3Tb1,2.3201462861110542
Ca1Hg1O2,1.812913356642856
Lu1Pt3,2.2648178230095364
Au2O4Rb2,1.4471580313422192
Cu2O4Rb2,1.505149978319906
Fe4Sb12,1.9138138523837167
Hg4Rb2,1.0413926851582251
Al2Ba3Si2,1.5440680443502757
Ru3Si3Zr3,2.281033367247728
Ga4Ho2Pd2,1.9731278535996983
Li12Sb6,1.505149978319906
Rb1Se6Th2,1.5910646070264989
Ca4Pt4Sb4,1.9138138523837167
Pd4Sb4Sr2,1.8657943825933692
Pd6Si3,2.255272505103306
Pd1Te2,1.724275869600789
Cd2O8S2,1.7634279935629371
Al2Ca1Ga2,1.7634279935629371
C10Y8,2.0043213737826417
As2Er2O2Zn2,1.8864907251724816
Cs1Cu3S2,1.1760912590556811
Cu2K4P2,1.3424226808222062
Ca24N16,1.8407834406145804
Cs2Cu1F6K1,1.5185139398778875
Ag4Sb4Yb4,1.7160033436347992
Co4P4Zr4,2.285557309007774
Ge5Yb3,1.414973347970818
Cd2Na6,1.0791812460476249
Cs1F6Sb1,1.1760912590556811
N2Te1Th2,1.9294189257142929
As2Lu2O8,2.133538908370217
Ag2Al2O4,2.187520720836463
Rh4Si4Ti4,2.271841606536499
Be1Mn1Ti2,2.184691430817599
Cu3K3P2,1.4471580313422192
Ba6Fe2N6,1.5185139398778875
O2Rb1Tm1,1.9242792860618816
Er1O2Rb1,1.9138138523837167
Dy1O2Rb1,1.9030899869919435
Er1P2Ru2,2.198657086954422
K2P2S6,0.9542425094393248
Na5O6Re1,1.812913356642856
Au4O6,1.9084850188786493
Ge2Na4O6,1.724275869600789
Nb2S4Sn2,1.8512583487190752
F4K2Zn1,1.6434526764861874
Cd1O6Pt3,2.2833012287035497
As2Be2Na2,1.6532125137753435
K4O4Zn2,1.6334684555795864
Mg2Sb2Sr1,1.5910646070264989
Ca1Mg2Sb2,1.5910646070264989
Li1Se6Ti3,1.3424226808222062
As2Ca1Mg2,1.6989700043360187
Ag2As2Sr2,1.6020599913279625
As2Be2Li2,1.7323937598229686
As4Ru2,2.173186268412274
Ho16O24,2.1613680022349757
Cu1Tm1,1.880813592280792
Mn3Sc3Si3,2.071882007306125
Fe3Ge3Sc3,2.0043213737826417
Ge4N8Zn4,2.1926869364081156
Ba6Mn2N6,1.5314789170422551
O6Pt3Zn1,2.285557309007774
Ca4Li8,1.2041199826559248
Au3Rb3Sb2,1.2041199826559248
Ca1F6Ti1,1.6989700043360187
Pt4S6Tl2,1.462397997898956
Al4O12Sm4,2.257678574869185
Ge3Li3Pr3,1.6127838567197357
As2Fe2Li2,1.8325089127062364
Pt4Te6Tl2,1.3424226808222062
Na2O4Pr2,1.9493900066449128
Pt4Sc4Si4,2.173186268412274
C1Fe2Si2Tm2,2.133538908370217
Bi4K2,1.4771212547196624
As4Ba4Pt4,1.8388490907372552
Al2Sn2Sr3,1.5563025007672873
As2Pt2Sr2,1.8573324964312683
Al3Si2Y2,1.9344984512435681
Ba1Ni2P2,1.8750612633917
Li2Na2S2,1.4771212547196624
Li8O8Ti2,1.9030899869919435
I1K1,1.0
Ge2Sb2Zr2,1.9912260756924949
In3Pd3Sm3,1.8750612633917
Li5Mg1,1.230448921378274
As1F6Rb1,1.4313637641589874
B4Ca2Rh4,2.1702617153949566
Na6O6P2S2,1.57978359661681
As2Cd2Sr1,1.662757831681574
As2Sr1Zn2,1.7323937598229686
Cu4Mg4P4,1.9731278535996983
La1Li3P2,1.7558748556724917
B2C1La1Ni2,1.9084850188786493
F8Na2Y2,1.8061799739838869
Cd6Er2,1.740362689494244
Cr2P8,2.093421685162235
Co2Sc1Si2,2.201397124320452
Ag1Er2Tl1,1.7993405494535817
Ge4Ni2Sm2,2.008600171761917
Al4Yb2,1.740362689494244
Ba2Mn1O6U1,2.0170333392987803
Co2Ga1Mn1,2.2787536009528293
Au3Rb1Se2,0.6989700043360189
B4Rh5Sr2,2.1702617153949566
B2Cs2Na4O6,1.6720978579357175
Al2Cl8Cu2,1.0791812460476249
Ba2O4Zr1,2.0253058652647704
F6K1Rb2Sc1,1.3010299956639813
Au2Ge2Lu2,2.0293837776852097
Be2Hf2Si2,2.1702617153949566
K1Nb1O3,2.098825871168513
As4Co4Hf4,2.257678574869185
Fe2Si2Th1,2.187520720836463
B2Ca2Ni8,2.123851640967086
Mg2O14Si4Sr4,1.9344984512435681
O1P2Sr4,1.8260748027008264
Rh2Si2Tm1,2.204119982655925
Ba1Mg2P2,1.7075701760979365
Hg1K4P2,1.230448921378274
Cd1Na4P2,1.2041199826559248
Au2Ge2Sc2,2.0
Ba2Sn2,1.4471580313422192
F6Pt1Zn1,1.5440680443502757
Ca1F6Pt1,1.1760912590556811
Ba2Hf1S4,1.7634279935629371
In3Ni3Y3,1.9344984512435681
K2P2Zn2,1.5563025007672873
Co2Ga4Sm2,1.9344984512435681
C1Tb2,1.7853298350107671
Ag2Sn2Tm2,1.8417036495660475
B4C4Sm2,2.2329961103921536
Ca2Ga2,1.5440680443502757
Au2Cd1Sm1,1.9030899869919435
Ca3Pb3Pd3,1.7558748556724917
Cu2K2Se2,1.5314789170422551
Cu2Na2Se2,1.6127838567197357
F6Pt1Rb2,1.3424226808222062
Cd2Sb2Sr1,1.568201724066995
K1O2Sc1,1.9912260756924949
