formula,target
Ag(AuS)2,0.0
Ag(W3Br7)2,0.0
Ag0.5Ge1Pb1.75Se4,1.51
Ag2BiO3,0.0
Ag2GeS3,1.98
Ag2GeSe3,0.9
Ag2HgI4,2.47
Ag2Mo(I2O7)2,3.06
Ag2P2PbO7,0.0
Ag2PdO2,0.18
Ag7AsS6,1.0
Ag7AsSe6,1.0
Ag8GeS6,1.18
Ag8SnSe6,0.71
Ag9(PbO3)4,0.0
Ag9Ge2IO8,0.0
AgAsSe2,1.4
AgAu3,0.0
AgBi(PSe3)2,1.4
AgBiPbS3,1.2
AgBiPbSe3,0.13
AgBiS2,0.9
AgBiSe2,0.34
AgF,2.8
AgO,1.57
AgPd(IO3)3,1.5
AgSO4,0.18
AgTe2As,0.8
Al(NiS2)2,0.0
Al0.01Cd0.99Sb0.01Te0.99,1.6
Al0.01In0.99P1,1.3
Al0.05Cd0.95Sb0.05Te0.95,1.37
Al0.15Ga0.85As1,1.6
Al0.1Cd0.9Sb0.1Te0.9,1.36
Al0.1In0.9P1,1.5
Al0.2Ga0.8P1,2.3
Al0.3Ga0.7As1,1.81
Al0.45Cd0.55Sb0.45Te0.55,1.93
Al0.4Ga0.6P1,2.35
Al0.4In0.6P1,2.12
Al0.5Ga0.5As1,2.12
Al0.6Ga0.4As1,2.3
Al0.6In0.4P1,2.3
Al0.7In0.3P1,2.3
Al0.8Ga0.2P1,2.43
Al0.99Cd0.01Sb0.99Te0.01,2.21
Al0.99Ga0.01P1,2.49
Al10V,0.0
Al2(CuSe2)3,0.0
Al21Pt8,0.0
Al2CoIr,0.0
Al2Cu,0.0
Al2FeNi,0.0
Al2Ru,0.0
Al2S3,4.1
Al2Se3,3.1
Al3Tc,0.0
Al4Cu2O7,0.0
Al6Fe,0.0
Al6Ru,0.0
Al7(CN)3,0.0
Al9Co2,0.0
Al9Ir2,0.0
AlAgO2,3.6
AlAgSe2,2.55
AlBi,0.4
AlCu3,0.0
AlCu7O12,0.0
AlCuS2,3.5
AlFe2Si,0.0
AlFe4(CuO4)3,0.0
AlIr,0.0
AlNi2,0.0
AlPd5I2,0.0
AlSn,0.0
AlV(TeO4)2,2.9
AlVCo2,0.0
