formula,target
Al10Co21B19,1.0
Al10Co23B17,1.0
Al10Co27B13,1.0
Al10Co33B7,0.0
Al10Cr3Si7,1.0
Al10Fe23B17,1.0
Al10Fe27B13,1.0
Al10Fe31B9,1.0
Al10Fe33B7,1.0
Al10Ni23B17,1.0
Al10Ni27B13,1.0
Al10Ni29B11,1.0
Al10V3Ge7,0.0
Al11(CrSi2)3,1.0
Al11(VGe2)3,1.0
Al11Cr4Si5,0.0
Al11Cr5Si4,0.0
Al11V2Cu7,1.0
Al12Co25B13,1.0
Al12Co27B11,0.0
Al12Cr3Si5,1.0
Al12CrSi7,0.0
Al12Ni25B13,1.0
Al12Ni27B11,0.0
Al12Ni29B9,0.0
Al12Ni31B7,0.0
Al12V3Cu5,0.0
Al12V3Ge5,1.0
Al12VCu7,0.0
Al13Cr2Si5,1.0
Al13Cr4Ge3,0.0
Al13Cr5Si2,0.0
Al13Fe3Ni4,0.0
Al13Fe4Cu3,1.0
Al13Ni6Mo,1.0
Al13Si4Ni3,1.0
Al13V2Cu5,1.0
Al13V2Ge5,1.0
Al13V4Cu3,0.0
Al13VCu6,1.0
Al13VGe6,0.0
Al14(CrSi)3,0.0
Al14(FeNi)3,1.0
Al14(Ni7B5)3,0.0
Al14(SiNi)3,1.0
Al14CrSi5,0.0
Al14Ni25B11,0.0
Al14VCu5,0.0
Al14VGe5,0.0
Al15Cr2Si3,0.0
Al15CrSi4,0.0
Al15Ni4Mo,1.0
Al15V2Cu3,1.0
Al15V2Ge3,0.0
Al15V3Cu2,0.0
Al16CrSi3,0.0
Al17CoNi2,0.0
Al17Cr2Si,0.0
Al17Cr3,0.0
Al17CrSi2,0.0
Al17FeNi2,0.0
Al17V2Cu,1.0
Al18CoNi,0.0
Al18CrSi,0.0
Al18FeCu,1.0
Al18FeNi,0.0
Al2(Co13B3)3,1.0
Al2(Fe13B3)3,1.0
Al2(Ni11B5)3,1.0
Al2(Ni13B3)3,1.0
Al21(CoNi)2,0.0
Al21(FeNi)2,1.0
Al21FeCo3,0.0
Al21FeNi3,0.0
Al22Co2Ni,0.0
Al22Co3,0.0
Al22CoNi2,1.0
Al22Cr3,0.0
Al22Fe2Co,0.0
Al22FeNi2,0.0
Al22Ni3,0.0
Al23Co2,0.0
Al23CoNi,0.0
Al23Cr2,0.0
Al23Fe2,0.0
Al23FeNi,0.0
Al24Co,0.0
Al24Ni,0.0
Al26Cr5Si19,1.0
Al26V5Ge19,1.0
Al27Mo23,1.0
Al2Co31B17,1.0
Al2Co35B13,1.0
Al2Co41B7,0.0
Al2Co43B5,0.0
Al2Co5B3,1.0
Al2Co7B,0.0
Al2Fe41B7,1.0
Al2Fe5B3,1.0
Al2Ni29B19,1.0
Al2Ni31B17,1.0
Al2Ni35B13,1.0
Al2Ni5B3,1.0
Al30Cr9Si11,0.0
Al32Ni5Ge13,1.0
Al33Mo17,1.0
Al33Si12Ni5,1.0
Al34(Si7Mo15)3,1.0
Al34V5Ge11,1.0
Al35Fe7Cu8,0.0
Al35Fe7Ni8,1.0
Al35Fe8Ni7,1.0
Al39Co5Ge6,1.0
Al3Fe80P17,1.0
Al3VGe,0.0
Al42Fe3Ni5,0.0
Al42Fe7Si,0.0
Al42FeNi7,0.0
Al43CoNi6,0.0
Al43Fe2Co5,0.0
Al43Fe3Co4,0.0
Al43Fe3Ni4,0.0
Al43Fe4Co3,0.0
Al43Fe4Ni3,0.0
Al43Fe5Co2,0.0
Al43Fe5Ni2,0.0
Al43Fe6Ni,0.0
Al43Fe6Si,0.0
Al43FeCo6,1.0
Al43Ni7,0.0
Al44(CoNi)3,0.0
Al44(FeCo)3,0.0
Al44(FeNi)3,0.0
Al44Co5Ni,0.0
Al44CoNi5,0.0
Al44Fe5Co,0.0
Al44Fe5Ni,0.0
Al44FeCo5,0.0
Al45Co2Ni3,0.0
Al45Co3Ni2,0.0
Al45Co4Ni,0.0
Al45CoNi4,0.0
Al45Fe3Ni2,0.0
Al45Fe4Co,0.0
Al45Fe4Ni,0.0
Al45Fe4Si,0.0
Al45FeCo4,0.0
Al46CoNi3,0.0
Al46Fe3Co,0.0
Al46Fe3Ni,0.0
Al46FeCo3,0.0
Al46FeNi3,0.0
Al47CoNi2,0.0
Al47Cr3,0.0
Al47Fe2Co,0.0
Al47Fe3,0.0
Al47FeNi2,0.0
Al48CoNi,0.0
Al48FeNi,0.0
Al49Co,0.0
Al49Co10Si41,1.0
Al49Fe,0.0
Al4Co29B17,1.0
Al4Co33B13,1.0
Al4Co35B11,1.0
Al4Cu,0.0
Al4Fe35B11,1.0
Al4Fe37B9,1.0
Al4Fe41B5,0.0
Al4Ni,0.0
Al4Ni27B19,1.0
Al4Ni33B13,1.0
Al4Ni35B11,1.0
Al52Co23Si25,1.0
Al52Fe23Si25,1.0
Al52Si25Ni23,1.0
Al53Si16Mo31,1.0
Al57Cr23Si20,0.0
Al57Cr28Si15,0.0
Al57Fe27Ni16,0.0
Al57V18Ge25,1.0
Al59Cr19Si22,0.0
Al5Fe2Cu3,0.0
Al5V2Ge3,0.0
Al5VCu4,0.0
Al6(Co3B)11,1.0
Al6(Fe3B)11,1.0
Al61(Cr7Si6)3,0.0
Al61Cr10Ge29,1.0
Al62(CrSi)19,0.0
Al62Fe17Cu21,0.0
Al62Ni13Ge25,1.0
Al63Cr15Si22,0.0
Al63Cr19Si18,0.0
Al63Fe12Si25,1.0
Al63Si6Mo31,1.0
Al64Fe13Cu23,0.0
Al65Si17.5Ni17.5,1.0
Al65Si19Ni16,1.0
Al66.5Si18.5Ni15,1.0
Al67(Fe7Ni4)3,0.0
Al67.5Si17.5Ni15,1.0
Al67V13Cu20,1.0
Al68Cr15Si17,0.0
Al69Co6Ge25,1.0
Al69Fe13Cu18,0.0
Al69Fe6Ge25,1.0
Al69Ni6Ge25,1.0
Al69V6Ge25,1.0
Al6Co25B19,1.0
Al6Co29B15,1.0
Al6Co31B13,1.0
Al6Co35B9,1.0
Al6Co39B5,0.0
Al6Co41B3,0.0
Al6Co9B10,1.0
Al6CrGe3,1.0
Al6Ni27B17,1.0
Al6Ni29B15,1.0
Al6Ni37B7,0.0
Al6NiGe3,1.0
Al6VCu3,1.0
Al71Co4Si25,1.0
Al71Cr4Si25,1.0
Al71Fe15Cu14,1.0
Al71Si25Ni4,1.0
Al72Fe13Ni15,0.0
Al73Fe13Cu14,0.0
Al75Fe14Ni11,1.0
Al77V3Cu20,0.0
Al78Fe7Cu15,0.0
Al79Si11Ni10,1.0
Al7Cr2Si,0.0
Al7Fe2Ni,1.0
Al7Ni18,0.0
Al7Ni2Mo,1.0
Al7Ni3,0.0
Al7VCu2,1.0
Al7VGe2,0.0
Al8(Co11B3)3,1.0
Al8(Co5B)7,1.0
Al8(Ni11B3)3,1.0
Al8(Ni5B)7,0.0
Al8(Ni9B5)3,1.0
Al82(Fe5Ni)3,1.0
Al83Cr17,0.0
Al84Fe3Ni13,0.0
Al85Fe2Ni13,0.0
Al85Fe8Si7,0.0
Al85FeNi14,0.0
Al86(FeNi)7,0.0
Al86Co3Ni11,0.0
Al86Co5Ni9,0.0
Al86CoNi13,0.0
Al86Fe3Ni11,1.0
Al86Fe5Ni9,0.0
Al87.5Fe2Ni10.5,1.0
Al87.5Fe3.5Ni9,1.0
Al87Co2Ni11,1.0
Al87Co3Ni10,0.0
Al87Co4Ni9,0.0
Al87CoNi12,1.0
Al87Fe2Co11,1.0
Al87Fe2Ni11,1.0
Al87Fe3Ni10,1.0
Al87Fe4Co9,0.0
Al87Fe5Ni8,0.0
Al87Fe6Ni7,0.0
Al87FeNi12,1.0
Al87V8Cu5,0.0
Al88(Co3Ni)3,0.0
Al88(CoNi3)3,0.0
Al88(FeNi3)3,1.0
Al88Co5Ni7,1.0
Al88Co7Ni5,0.0
Al88CoNi11,0.0
Al88Fe5Ni7,0.0
Al88FeNi11,1.0
Al89Co2Ni9,0.0
Al89Co3Ni8,0.0
Al89Co4Ni7,0.0
Al89CoNi10,0.0
Al89Fe2Ni9,0.0
Al89Fe3Ni8,0.0
Al89Fe4Ni7,0.0
Al89Fe5Ni6,0.0
Al89Fe7Ni4,0.0
Al8Co29B13,1.0
Al8Co31B11,1.0
Al8CrSi,0.0
Al8Fe29B13,1.0
Al8Fe31B11,1.0
Al8Ni23B19,1.0
Al8Ni25B17,1.0
Al8Ni29B13,1.0
Al8Ni31B11,1.0
Al90FeNi9,0.0
Al91(Fe2Ni)3,0.0
Al91(FeNi2)3,0.0
Al92Fe5Ni3,0.0
Al9Co,0.0
Al9Cr,0.0
Al9Cr4Si7,0.0
Al9Ni,0.0
Al9V3Ge8,0.0
B12Mo23Ru15,1.0
B3Mo7,0.0
B8Mo55.5Ru36.5,1.0
BMo4,0.0
BMo9,0.0
Ba10La53.5Cu36.5,1.0
Ba10La56.5Cu33.5,1.0
Ba2(La9Cu7)3,1.0
Ba2La11Cu7,1.0
Ba2La13Cu10,1.0
Ba2La59Cu39,1.0
Ba2La71Cu27,1.0
Ba3La57Cu40,1.0
Ba4.5La68Cu27.5,1.0
Ba4La31Cu15,1.0
Ba5La29Cu16,1.0
Ba5La53Cu42,1.0
Ba67La28Cu5,1.0
Ba7.5La63.5Cu29,1.0
Ba7La51.5Cu41.5,1.0
Ba7La65Cu28,1.0
Ba9(La4Cu3)13,1.0
Ba9.5La52.5Cu38,1.0
Be2Fe7B,1.0
Ca1.5La71Cu27.5,1.0
Ca10Al87.5Fe2.5,0.0
Ca11Mg89,0.0
Ca15Mg3Cu2,1.0
Ca1La71.5Cu27.5,1.0
Ca2.5Al87.5Ni10,0.0
Ca2.5Al92.5Fe5,0.0
Ca2.5Al92.5Ni5,0.0
Ca2Al17Co,1.0
Ca2Al17Cu,1.0
Ca2Al17Ni,1.0
Ca2Al17Zn,1.0
Ca2La60.5Cu37.5,1.0
Ca2Mg17Zn,1.0
Ca3Al2,1.0
Ca3La59.5Cu37.5,1.0
Ca3La68.5Cu28.5,1.0
Ca3MgGa,1.0
Ca4La58.5Cu37.5,1.0
Ca4La67Cu29,1.0
Ca5(Mg3Cu2)3,1.0
Ca5La57.5Cu37.5,1.0
Ca5Mg3Cu2,1.0
Ca6La63Cu31,1.0
Ca6Mg3Ga,1.0
Ca6MgGa3,1.0
Ca7.5Al87.5Fe5,1.0
Ca7.5Al90Fe2.5,1.0
Ca7.5Al90Ni2.5,1.0
Ca7.5Al92.5,0.0
Ca7.5La56.5Cu36,1.0
Ca7.5Mg82.5Zn10,0.0
Ca7.5Mg87.5Cu5,1.0
Ca7.5Mg87.5Zn5,0.0
Ca7.5Mg92.5,0.0
Ca70Mg7.5Al22.5,1.0
Ca7Al3,1.0
Ca7Cu3,1.0
Ca7Mg2Cu,1.0
Ca7Mg3,1.0
Ca7MgCu2,1.0
