formula,target
C1Pt1,1.995383650625
C1Cd1,2.1030478831250004
C1Cd1,1.9835657181250004
Au1N1,1.5288500038099997
C1Pt1,1.563910145625
Ag1N1,1.5378644238100003
Ag1N1,1.5329490188100006
C3N1,2.0212696978425013
C3N1,1.7946040403425003
C1Ho3In1,1.596624090583333
O1,1.56497783875
Cu1,1.9421013800000004
B1Na1,1.8501968391666668
I1N1,2.3953392238099998
Cl1N1,1.9806901121800005
O2,1.95430892875
I1N1,1.8301866338100004
Br1N1,2.06928630381
O2,1.67560344375
C1Tl1,2.365773538125
B1K1,2.0830231926666665
B1Cs1,2.222233088563218
N3Na1,2.4517666694650004
Rb3Re1,1.6143951603663789
O4,1.67903997375
Br2Cu1N2,1.5343421790480007
C1Ce3In1,1.8114241435833345
Cu1Mn3N1,1.6628169615240012
Co5Th1,2.363049625000001
Ca1I2N6,1.5998183128577788
C3N4,2.3871840334614283
Co1I3N6,1.902425982572001
Cd1I4N4,1.9372153783866668
Cl2Co1N6,2.3614666721333344
C6I2N2,1.8139833072740004
Br2Cu1N6,2.2741714995244453
I2N6Ru1,2.276081505635556
Cl2N6Ru1,2.3245032704666677
K2N6Sn2,1.6728471719720006
B9N1,2.2499281717619994
Br2Mg1N6,1.8673764828577781
Co1I2N6,2.174896470635556
Cl3Co1N6,2.3085600695940003
K2N6Sn1,1.9059329227466677
K6Re3,1.9838011921666672
Cl2N6Ni1,2.481881529911112
Ge1Hf1Rh2,2.0661192225
Ca1Pb1Rh2,1.9425559125
Mn1Rh2Zr1,2.35567174
Cd1Pd1Y2,1.8033928562500003
Pd1Y1Zn2,1.6842009549999994
Cd1In1Y2,1.9965605854166668
Ir1Mg2Pd1,1.9535454325
In1Li2Y1,1.6939029141666666
Au2Cu1Zr1,1.7939629850000005
Cu2Li1Ni1,1.92357536
Cu1Y2Zn1,2.25125294375
Cu1Ga1La2,1.8521129575
Au1Cu2Pt1,2.0193267475
Ag1Au1Cu2,1.6556758075000004
Al2Pt1Tc1,2.2258126025
Al2Fe1Mn1,2.402177637500001
Na1Pb1Y2,1.8390628987500004
Cd1La1Mg2,1.55351021375
Co2Ga1Mg1,2.1664741225000004
Co1Ni1Sc2,2.2616470500000005
Au1Rh2Sn1,2.1419742312499994
Mg1Ni2Zn1,1.90190739125
Au1Mn1Pd2,1.9358663925
Cu1Hg1Y2,2.0406778450000007
Cu1Ni1Y2,2.1538141250000007
Cu2Ga1Ti1,2.093032430833333
Cr1Mg1Pt2,1.912589405
Mg1Sc2Zn1,2.17356384125
Al1Be1Pd2,1.5424426412500003
In1La2Li1,2.0214485866666667
Au2Hf1Tl1,1.5734045875000002
Al1Ca2Mg1,1.5244050775000002
Cd2La1Y1,1.9978927325
Co1Cu1Y2,2.2548907650000003
Al1Hg1Sc2,2.0457098175
Al1In1Sc2,2.215390006666667
Be2Mg1Pt1,1.7969751100000002
Ag1Hg1La2,1.8365388875
Au1Bi1Pd2,1.5330480687499994
Au2Hf1Pt1,2.10986294375
Cd1Pb1Rh2,2.0462950512500004
