formula,target
Ba1Te1,98.58577122703691
As1B1,701.5857233477558
Ba1Ga1H1Si1,1138.5856886491724
Al1Ga1N2,718.5857219979254
F2S2Y2,339.58575209120477
Ge1Pt1Ti1,297.5857554260802
Mg1Te1,259.0857584830492
As4Be2Sn2,523.5857374812748
Be2P4Si2,590.5857321613547
Ca2Si1,247.58575939616978
Cs2Se1,100.58577106823331
Ir4P8,483.58574065734666
K3Sb1,135.9557896728841
Al2Na2Te4,338.5857521706066
Ba2F1N1,366.5857499473565
Al2Sb2,307.0857546717631
Li1P1Zn1,400.58574724769545
F2O2Y2,593.5857319231493
K2S1,184.5857643984827
Na4Pt2S4,355.58575082077624
Ba1F3Li1,481.5857408161503
S4Zn4,335.2524191019459
B4C4Ca2,1292.5856764212965
Ba2Hf2N4,719.5857219185235
Ba2Cu2Te6Y2,172.58576535130422
Ge1O6Sr1Te1,694.5857239035686
Cs3Sb1,69.63722405788964
C1K2N2,1979.5856218722645
K2O4Sb2,609.5857306527207
O4Rb2Sb2,607.5857308115244
Ba2Li2Sb2,336.58575232941024
F6Rb2Si1,762.5857185042465
Au4O4Rb4,545.5857357344355
Mg2N2Sr1,542.5857359726408
Li1P1Sr1,420.08574569936053
Ba1Li1P1,363.58575018556184
As1Ba1Li1,359.5857505031691
Cd2Se2,188.58576408087555
As2K2S6Sn1,369.5857497091512
S1Sr1,219.58576161942003
C2Pd1Rb2,1826.5856340207388
C2Pt1Rb2,1797.5856363233909
Hg2Se4Sn1,230.58576074600026
C1Cd1N2,2151.5856082151568
Cu6Rb2S4,317.58575383804435
Cu2Ga2O4,679.5857250945952
Ba1O2,910.5857067527812
Si4Sr8,217.5857617782236
Cs2Hg2Se6Y2,199.5857632074558
Ba4Ca4Sn4,170.5857655101078
Rb2Se1,99.58577114763511
F1Li1,593.5857319231493
Ni1Sb1Y1,204.58576281044685
Li2S1,457.5857427217933
N4S2Zr4,680.0857250548943
B2Ba1O6Ti1,1382.5856692751352
Al4Se6,429.5857449450435
Pd3Rb2S4,348.5857513765887
K2S4Sb2,330.5857528058209
C5Si5,860.1312189659395
K4P2Zn1,414.5857461360704
Ca3N1P1,485.1102590218785
Hf1Pd1Sn1,197.58576336625939
Be4Ca2N4,1112.585690713619
C1N2Sr1,2014.5856190932016
Ba2O6Ta1Y1,781.5857169956122
Ca4Ge4Sr4,200.58576312805405
Ga4O6,695.5857238241665
Cu2F2S2Sr2,337.5857522500084
Ir4Sb8,227.5857609842057
Cd2Cs2La2Te6,159.58576638352753
O2P2Y2Zn2,561.5857344640067
Ba1Se1,109.58577035361715
Ag2K1P1S4,531.5857368460606
Cd2Te2,144.5857675745544
O4Pt2,703.5857231889522
K6S6,478.5857410543556
Al2Ba1O7Sb2,978.5857013534593
O2S1Y2,524.5857374018732
Ag1Sc1Se2,247.5857593961698
B2Cu2S4,689.5857243005772
Ba2La1O6Ta1,754.2024345633515
Hf2O6Sr2,776.3577663735823
K4O6Ti2,795.5857158839873
Ga4Se6,280.5857567759106
Ba4O4,374.5857493121421
As4Pt2Rb4,276.58575709351777
Ca6P6,432.585744706838
B2Mg1O6Sr2,1326.5856737216354
Cs4Pt2,83.42622265888586
F6Pb1Zn1,534.5857366078552
Cd2O6Ti2,709.5857227125415
O8P2Tl2,1077.5856934926821
F8Pd2,652.5857272384436
Cs2F6In1Na1,465.5857420865789
Cu4O4Sr2,592.5857320025513
F6Sn1Zn1,609.5857306527207
Cd1F6Sn1,595.5857317643457
O1Rb2,275.58575717291956
F6Rb2Zr1,568.5857339081942
F6Hf1Rb2,579.5857330347744
Cd1Ga2Te4,208.5857624928397
F6Pd1Zn1,623.5857295410957
Cd1F6Pd1,619.5857298587027
F6Na1Rh1Tl2,544.5857358138372
F6Na1Rb2Rh1,558.5857347022122
Ag2Al2Se4,373.585749391544
Ag2Al2Te4,323.58575336163346
Cu1O2Rh1,691.5857241417737
P4Ru2,453.5857430394004
Ca1Se1,184.5857643984827
K3Nb1O8,904.376237450921
Co4P8,477.5857411337574
B2Ca1O6Sn1,1340.5856726100105
O2Rb1Y1,489.5857401809359
Na4Pt2Se4,225.5857611430092
B1P1,791.5857162015947
Si2,481.0857408558511
P4Ru1Si4,502.5857391487126
Ca1Te1,163.58576606592038
Fe2S4,447.58574351581115
Be1Se1,565.5857341463998
Al1P1,430.5857448656418
As6Rb4,280.7913011441348
As8Ir4,295.5857555848837
O8Zr4,647.5142591836287
Be2C1,939.5857044501292
Be2C2N4,1209.5856830116452
Ga2Se4Zn1,260.58575836394647
K1La1S2,253.58575891975903
Li1S2Y1,262.5857582051429
Li1Se2Y1,226.58576106360744
Cu4Se6Si2,420.58574565965966
Be3F6,932.5857050059418
P8Rh4,466.5857420071772
As8Rh4,295.5857555848837
Cu1Li2Sb1,396.58574756530265
Au2Li6S4,399.5857473270973
B12,1164.5856865847259
Ag2K2Se2,150.58576709814366
Ca4Li4Sb4,364.58575010616005
Mo2Se4,296.585755505482
B1N1,1223.58568190002
Ca1F8Hf1Li2,566.5857340669977
Ca1S1,244.5857596343752
Ag2Ba2F2Te2,244.5857596343752
K1Te2Y1,173.5857652719024
Rb2Te4Y2,171.58576543070603
Al1N1,721.0857217994208
K2Te1,129.58576876558132
Be1O1,1011.5856987332004
Cs1F1,214.5306860178739
Ga9K3,272.585757411125
F4Zn2,469.58574176897173
Ru4Si4,471.58574161016816
Ru4Se8,260.58575836394647
Sr1Te1,121.58576940079568
Li2O1,660.5857266032292
La2O3,523.5857374812748
Pb1Te1,95.58577146524229
Hg1In2Te4,166.585765827715
In4S4,303.58575494966937
Ag2In2S4,317.58575383804435
In2K2Te4,182.58576455728627
O1Zn1,524.5857374018732
