cif_id,target
Ga1S1_ICSD_201345,1.71
La2O7Si2_ICSD_92499,4.9727
K1O8P1V2_ICSD_50670,0.0383
Cl1H3O5_ICSD_15475,5.2712
Cl1Tl1_ICSD_53852,2.1732
O2V1_ICSD_4110,0.8390000000000001
H4O6P2Sr1_ICSD_412171,6.5081
Cu1In1Te2_ICSD_600779,0.2499
I3Pb2S2Sb1_ICSD_418344,1.7673
B1H3Mg3O6_ICSD_250420,3.482
Ga1H4K1_ICSD_169709,4.9813
Hg3Te4Tl2_ICSD_182747,0.4721
Hg1I2_ICSD_36312,1.1852
Al5B1O9_ICSD_167310,4.9438
O1Pb1_ICSD_62847,1.6621
F9O1Re1Sb1_ICSD_201411,1.8981
Fe5O12Si3_ICSD_161139,1.9058
Cu2K1S4V1_ICSD_402924,1.3382
C4Cd2H12O14_ICSD_170115,3.5679
O9P3Sc1_ICSD_20430,5.4608
I12Pt1Tb7_ICSD_424446,0.1354
C3H6N2O2_ICSD_172448,4.7005
Mn1N2Si1_ICSD_23670,2.4237
Se1_ICSD_164261,0.9708
Cd1I2_ICSD_42172,2.3708
Bi1Cr1O3_ICSD_160458,1.4191
H2Sr1_ICSD_163574,1.2972
Ba3Ir2O9Sr1_ICSD_245254,0.1945
B1Ca3N3_ICSD_95814,0.5858
O4S1Zn1_ICSD_71018,4.4503
Al1Li1Si1_ICSD_152086,0.113
Eu1F3_ICSD_95244,0.8116
La2Ni1O4_ICSD_1179,0.3037
Cl2Co5O12Se4_ICSD_416965,3.2502
Rb3Sb1Se4_ICSD_404081,1.3257
S3Y2_ICSD_651408,1.4901
Be2Ge1La2O7_ICSD_39117,4.0034
B1H4Na1_ICSD_181024,6.3224
O3Sc2_ICSD_27948,4.2751
Ba1Cu1Er2O5_ICSD_72165,1.4443
Br9Rb3Sb2_ICSD_39823,1.9091
Br4Rb2Zn1_ICSD_160678,3.7661
Co1La1O3_ICSD_99369,0.0991
C6Co1Cr1H18N12_ICSD_806,0.7784
Br1Cr1S1_ICSD_69659,0.7609999999999999
Al1Ca1F6Na1_ICSD_80542,7.1209
Dy1Li1O2_ICSD_422562,4.5771
Cd5Cl1O12P3_ICSD_2527,2.2236
O3Pr2_ICSD_96198,3.1722
Ca1Mn1O6Si2_ICSD_25793,3.3196
O2Si1_ICSD_20604,4.9926
Cd1Li1O4P1_ICSD_71862,3.3533
Ca1Cu1Ge2O6_ICSD_170820,1.7771
C2F6N4O6S8_ICSD_72782,1.2429
Co1S1Sb1_ICSD_624863,0.3766
Cd1Er2Se4_ICSD_619834,0.6677
Ag2Mo1O4_ICSD_36187,2.733
Bi2Cl1O4Y1_ICSD_92405,1.3543
C8H20N10Ni1_ICSD_110008,3.2487
F2Hg2_ICSD_23719,1.7558
Li16N8Nb2O1_ICSD_402220,3.3945
Ba6Cu11F34_ICSD_201752,2.0846
Be1O1_ICSD_77373,7.4456
F4Pd1Sr1_ICSD_108990,2.3794
Cl3La3O6U1_ICSD_73201,1.9534
B2K3Nb3O12_ICSD_968,2.3678
Cs2S1_ICSD_183207,2.1025
O2Ru1_ICSD_290498,1.4858
In1Li1O6Si2_ICSD_152082,3.7395
Ba1O3Ti1_ICSD_28850,2.1328
Al1C3Cl6N3_ICSD_240772,2.5356
O1S1Zr1_ICSD_6166,2.4152
Cl2N4O12S10_ICSD_72781,1.3297
La3O7Ta1_ICSD_168909,3.6497
Mg2P2Se6_ICSD_642731,2.0273
As12Ce1Fe4_ICSD_610003,0.1511
H2O4Se1_ICSD_60942,3.3563
Ba1F4Zn1_ICSD_182604,5.7228
Ca1O1_ICSD_60199,3.6357
Ga1O4P1_ICSD_30881,4.5455
As2Cd1Ge1_ICSD_42098,0.0342
C1F1K1O3Sr1_ICSD_262231,4.0697
C6Fe1K3N6_ICSD_31882,2.6016
B1Fe3O6_ICSD_23863,1.5837
Pt1Rb2Se2_ICSD_40431,1.3554
Ag2Cr2O7_ICSD_2433,2.0906
Na2Nb4O11_ICSD_183855,2.9536
O3W1_ICSD_88367,0.7364
Ho1O4V1_ICSD_78079,2.9578
Ce1Li8O6_ICSD_61219,3.4402
Co1Na4O3_ICSD_10473,1.4593
Co1Li1N2Sr2_ICSD_72387,0.9254
B4Li2O7_ICSD_163181,5.6321
Al3C3Sc1_ICSD_43477,0.3017
Te1Zn1_ICSD_603959,1.4766
Al1F5K2_ICSD_81864,6.2916
Mg1O1_ICSD_41990,4.47
B1Ca1H1O5Si1_ICSD_168624,5.41
As1F5N4S4_ICSD_14083,1.7515
Ge1In7Ir1O8_ICSD_417829,0.4535
K0.33Mo1O3_ICSD_1053,0.7313
C4F3H14N1O2V1_ICSD_109495,0.047
Sb2Te3_ICSD_187537,0.1061
Cl4H2Hg1K2O1_ICSD_12118,2.6957
B1C3H12N1_ICSD_249799,6.1029
Ag3O4Sb1_ICSD_417675,0.2417
La1O4V1_ICSD_155240,1.0965
O2Ti1_ICSD_31325,2.2658
Bi1Cl1O3Se1_ICSD_98000,3.5704
B2H6_ICSD_413919,5.0009
Ge1Mg1O3_ICSD_160837,2.4363
Ag1Se2Y1_ICSD_605836,1.5195
As1Ga1O4_ICSD_201776,3.1046
C2H6O12U2_ICSD_172777,3.1609
F1K1O6Te3_ICSD_95727,3.0871
Mn2O4Si1_ICSD_88026,2.1978
F2Ni1_ICSD_14145,3.9993
H2La1N1O7S1_ICSD_415675,1.4994
Al2Na7Sb5_ICSD_48168,0.2788
As1Na3_ICSD_69676,0.1506
Bi3O8Re1_ICSD_185906,2.7415
Co3O4_ICSD_27498,0.3668
Mg3Sb2_ICSD_52335,0.2136
Cu1O3Se1_ICSD_29508,1.1418
Na1Nb1O3_ICSD_28582,1.8362
S1Zn1_ICSD_37375,2.6996
Fe1Mo2S4_ICSD_94751,0.1421
H5N1O7Se2V1_ICSD_97400,1.8895
Lu1Na1O8Pd6_ICSD_416619,0.1052
C2Cl4H12Mn1N2_ICSD_110654,3.8085
Eu1Se1_ICSD_631661,0.8455
F6Rb2U1_ICSD_14116,3.5713
Au1F4Na1_ICSD_9905,2.6195
S2W1_ICSD_202367,1.3661
N2Pt1_ICSD_166462,1.3078
Al2O3_ICSD_9775,5.8481
As1Br1Hg3O4_ICSD_411758,1.8581
Br1Fe1O7Te3_ICSD_421384,1.7728
Eu1O3Ti1_ICSD_187101,0.7569
