cif_id,target
Dy1Rh2_ICSD_103361,286.308
Ba1Pt1_ICSD_55492,155.428
B2Ru3Tb1_ICSD_615370,396.191
Au2In1U1_ICSD_58512,130.862
Ca3Co4Sn13_ICSD_619211,208.35299999999998
Al1Pt1_ICSD_58129,324.844
Mo3N1Pt2_ICSD_150314,415.86800000000005
Al1Li1Si1_ICSD_152086,667.97
Ag1S3Ta1_ICSD_74442,271.026
Al16Pt7Zr6_ICSD_609168,409.116
Dy1Li1O2_ICSD_422562,429.86
Al1Au1Er1_ICSD_602607,236.649
Ca1Si2_ICSD_1453,468.38199999999995
F4Pd1Sr1_ICSD_108990,295.776
C1Pb1Ti2_ICSD_42926,379.42699999999996
La3O7Ta1_ICSD_168909,419.524
B4Rh4Tb1_ICSD_615322,436.915
C1Ga1Ta2_ICSD_617926,393.603
Ga1Ho1O3_ICSD_420711,463.414
Al3C3Sc1_ICSD_43477,933.455
Er4Ge6Rh7_ICSD_630644,345.712
Ru3Zr1_ICSD_185641,320.249
Dy2Se3_ICSD_419,240.965
Ir2Lu1_ICSD_104491,286.186
Be2C1_ICSD_183009,1674.46
Al2Ho3_ICSD_184632,241.84099999999998
P1Ru1Zr1_ICSD_648037,440.648
As12Os4Th1_ICSD_611145,375.173
Eu1O3Ti1_ICSD_187101,565.181
Al2Y1_ICSD_186476,472.95599999999996
Er3P6Pd20_ICSD_409903,243.737
I1Rb1_ICSD_44619,109.90299999999999
C1Zr1_ICSD_183162,309.562
K1Na1S1_ICSD_62658,307.3
Yb3Zn11_ICSD_653480,223.69299999999998
B4Fe1_ICSD_425311,1055.91
Cl5Cs1Pb2_ICSD_249888,134.30100000000002
Ba1Pt2_ICSD_58675,191.623
Ca1F6Sn1_ICSD_35713,343.353
P1Pt5Tl1_ICSD_647975,217.502
Ca1In2_ICSD_414232,247.52
Cu1Ti3_ICSD_103130,369.69
C1Nb1_ICSD_183164,476.73199999999997
B1Li2Pd3_ICSD_156465,284.14
Ba1F4Pd1_ICSD_108991,230.648
Br1Cu1_ICSD_30091,157.10299999999998
Ga3Hf3Nb2_ICSD_103733,351.782
Al3La1Pd2_ICSD_105500,342.664
Ag1In2Na3_ICSD_170868,162.983
S1Zn1_ICSD_15478,356.915
Ni1Zn1_ICSD_105470,376.231
As1Ti3_ICSD_611501,386.199
O3Tb2_ICSD_27995,367.20599999999996
Al3Zr4_ICSD_150529,466.254
O1Sr1_ICSD_105548,420.985
B4H16Hf1_ICSD_35379,268.025
K1Sb1Zn1_ICSD_12161,218.265
Be13U1_ICSD_107528,857.988
Ca1Ir2_ICSD_108146,286.955
Pt1Se1Si1_ICSD_649595,342.15
B2C2Er1_ICSD_94042,632.201
Mg1Sc1_ICSD_108583,394.278
Mn2Si2Y1_ICSD_643695,452.98699999999997
Sn2Tb1_ICSD_168671,226.171
In1Ni2Ti1_ICSD_54596,340.186
Na1Nb1S2_ICSD_26285,431.277
O7P2Ti1_ICSD_189807,673.4810000000001
Ag1Er1Se2_ICSD_15302,196.56900000000002
Ru2Si2Th1_ICSD_603984,410.11300000000006
Ge1Ir1Y1_ICSD_636761,253.592
Al1Cu2Zr1_ICSD_185282,361.532
Ge3La1Rh1_ICSD_161872,296.057
Ag1Al1O2_ICSD_160643,352.63
Mn1Pd2Sn1_ICSD_104945,242.33599999999998
Pt9Sc5Si7_ICSD_420356,336.644
Au1Ti1_ICSD_612415,262.632
Ge1O6Se2_ICSD_422884,382.286
Ge1Ru1Tb1_ICSD_85912,239.856
F1Ho1S1_ICSD_94475,358.92900000000003
B1N1_ICSD_186248,914.275
Ho1Te2_ICSD_639765,174.263
In1Pt2Tb1_ICSD_640312,200.71099999999998
Rh5Tb1_ICSD_105944,335.30300000000005
Mn1Pd1Te1_ICSD_40908,188.98
Ca1Ge1Zn1_ICSD_52772,350.673
Ba1Ce1N2_ICSD_74791,338.968
Ga1In1Te2_ICSD_600687,160.621
As1Pu1_ICSD_44048,142.276
C1_ICSD_66468,2231.68
B2Mo2Ru1_ICSD_601573,584.901
Al2Fe3Si4_ICSD_83665,659.35
Ba1Te2_ICSD_75555,158.607
Dy3Ge4_ICSD_84342,286.224
Ni1Sc6Te2_ICSD_90082,313.485
Ru2Sc1_ICSD_150514,277.357
Ge2Th3_ICSD_44503,230.75400000000002
Ba1Ce1O3_ICSD_165826,365.24300000000005
In1Rb1Te2_ICSD_75346,126.125
Ce1Ir2_ICSD_102194,279.344
Au1Dy1In1_ICSD_54951,212.167
As1Nb1_ICSD_16585,414.01800000000003
Ge1Nb1Rh1_ICSD_637230,406.32800000000003
B2Nb1Ni1_ICSD_614910,742.181
P1V1_ICSD_42444,581.122
