cif_id,target
Ba1Pt1_ICSD_55492,-4.17766386
B2Ru3Tb1_ICSD_615370,-4.530098493
Au2In1U1_ICSD_58512,-4.152006822
Ca3Co4Sn13_ICSD_619211,-4.17655642
Al1Pt1_ICSD_58129,-4.466707226
Mo3N1Pt2_ICSD_150314,-4.655702063
Ag2Er1In1_ICSD_58254,-4.11962378
Al1Li1Si1_ICSD_152086,-4.174815441
Ag1S3Ta1_ICSD_74442,-4.383872271
Al16Pt7Zr6_ICSD_609168,-4.455040706
Al1Au1Er1_ICSD_602607,-4.320944775
Ca1Si2_ICSD_1453,-4.162944025
F4Pd1Sr1_ICSD_108990,-4.077948039
C1Pb1Ti2_ICSD_42926,-4.459153935
La3O7Ta1_ICSD_168909,-4.492769045
B4Rh4Tb1_ICSD_615322,-4.525656964
C1Ga1Ta2_ICSD_617926,-4.620814179
Ga1Ho1O3_ICSD_420711,-4.418660306
Al3C3Sc1_ICSD_43477,-4.57381743
Ru3Zr1_ICSD_185641,-4.636493316
Dy2Se3_ICSD_419,-4.349094398
Ir2Lu1_ICSD_104491,-4.601969667
Be2C1_ICSD_183009,-4.742542228
Al2Ho3_ICSD_184632,-4.330851476
Dy1Ge1_ICSD_42956,-4.329554677
P1Ru1Zr1_ICSD_648037,-4.591131103
As12Os4Th1_ICSD_611145,-4.472693685
Eu1O3Ti1_ICSD_187101,-4.442106796
Al2Y1_ICSD_186476,-4.345561612
Er3P6Pd20_ICSD_409903,-4.352814659
I1Rb1_ICSD_44619,-3.541677979
C1Zr1_ICSD_183162,-4.540520059
B4Fe1_ICSD_425311,-4.403127023
Cl5Cs1Pb2_ICSD_249888,-3.933089196
Ba1Pt2_ICSD_58675,-4.297356677
Ca1F6Sn1_ICSD_35713,-4.175730293
P1Pt5Tl1_ICSD_647975,-4.444803946
Cu1Ti3_ICSD_103130,-4.261739638
C1Nb1_ICSD_183164,-4.623821024
B1Li2Pd3_ICSD_156465,-4.184285477
Ba1F4Pd1_ICSD_108991,-4.061221676
Er2In1Ni2_ICSD_630690,-4.299324833
Ga3Hf3Nb2_ICSD_103733,-4.53568337
Ca2Ge2Ni3_ICSD_421074,-4.275775757
Ag1In2Na3_ICSD_170868,-3.693448456
S1Zn1_ICSD_15478,-4.208999578
Ni1Zn1_ICSD_105470,-4.126691607
As1Ti3_ICSD_611501,-4.313717745
O3Tb2_ICSD_27995,-4.435695012
N1Nb3Zn3_ICSD_42939,-4.515285999
Al3Zr4_ICSD_150529,-4.492428806
O1Sr1_ICSD_105548,-4.23407452
Cd1N1_ICSD_183198,-4.146145495
B4H16Hf1_ICSD_35379,-4.180725279
K1Sb1Zn1_ICSD_12161,-3.924234122
Be13U1_ICSD_107528,-4.354776254
Pt1Se1Si1_ICSD_649595,-4.409412265
B2C2Er1_ICSD_94042,-4.551448261
Mg1Sc1_ICSD_108583,-4.220158295
Ge2Ir2Th1_ICSD_636745,-4.550086753
Mn2Si2Y1_ICSD_643695,-4.230717963
Sn2Tb1_ICSD_168671,-4.258320632
In1Ni2Ti1_ICSD_54596,-4.465315333
Na1Nb1S2_ICSD_26285,-4.366666904
O7P2Ti1_ICSD_189807,-4.584639301
Ag1Er1Se2_ICSD_15302,-4.232638542
Ru2Si2Th1_ICSD_603984,-4.592512219
Ge1Ir1Y1_ICSD_636761,-4.469553119
Al1Cu2Zr1_ICSD_185282,-4.341812058
Ge3La1Rh1_ICSD_161872,-4.341185663
Ag1Al1O2_ICSD_160643,-4.304751294
Mn1Pd2Sn1_ICSD_104945,-4.216656793
Pt9Sc5Si7_ICSD_420356,-4.479901804
Cu1Dy1Si1_ICSD_30766,-4.337431978
Ge1Ru1Tb1_ICSD_85912,-4.439658102
F1Ho1S1_ICSD_94475,-4.330815195
Ho1Te2_ICSD_639765,-4.320088108
In1Pt2Tb1_ICSD_640312,-4.403449085
Rh5Tb1_ICSD_105944,-4.497781883
Mn1Pd1Te1_ICSD_40908,-4.212130928
Al1Rh1_ICSD_58151,-4.505262562
Ba1Ce1N2_ICSD_74791,-4.404541257
Ga1In1Te2_ICSD_600687,-4.049040589
As1Pu1_ICSD_44048,-4.223033817
C1_ICSD_66468,-5.251704964
B2Mo2Ru1_ICSD_601573,-4.67568873
Al2Fe3Si4_ICSD_83665,-4.469510869
Ba1Te2_ICSD_75555,-4.127285042
Dy3Ge4_ICSD_84342,-4.326138059
Ni1Sc6Te2_ICSD_90082,-4.303616523
Ru2Sc1_ICSD_150514,-4.352221063
Ge2Th3_ICSD_44503,-4.465397757
Ba1Ce1O3_ICSD_165826,-4.397597051
Ba1Si2_ICSD_2218,-4.178496297
In1Rb1Te2_ICSD_75346,-3.988023784
As1Nb1_ICSD_16585,-4.552008303
Ge1Nb1Rh1_ICSD_637230,-4.567465221
B2Nb1Ni1_ICSD_614910,-4.618933679
P1V1_ICSD_42444,-4.513386773
Ho1Rh1Sn1_ICSD_411821,-4.394212433
C1Nb4Rh2_ICSD_618493,-4.644862772
Dy1Ni2Si2_ICSD_630020,-4.3998922
Cu2Ho1In1_ICSD_102979,-4.192287773
Bi1Dy1_ICSD_58778,-4.311829435
F3Na1V1_ICSD_60611,-4.011050621
Cl1Na1O3_ICSD_1117,-4.118672987
Cs3O3Sb1_ICSD_279580,-4.042225156
Ho1Ni2Si2_ICSD_56232,-4.398252813
Al6Mn1_ICSD_150135,-4.339013164
Pt2Si1_ICSD_649614,-4.497684882
As2Ba1Cu2_ICSD_236307,-4.147287063
Ca1Mg1Si1_ICSD_158276,-4.191944401
In1Na5O4_ICSD_69630,-4.026698002
In1Te1_ICSD_169419,-4.036620696
Dy1Ga3Ru1_ICSD_629734,-4.337727717
Ge13Ru4Y3_ICSD_53900,-4.374692695
S4Tl3V1_ICSD_16572,-4.120265483
Ge1Os1Sc1_ICSD_637470,-4.523094498
Sn1_ICSD_40039,-4.093017771
Ge1Pt1Zr1_ICSD_260793,-4.505937286
Bi1Nb3_ICSD_58817,-4.553031238
In1Ni1_ICSD_59432,-4.231202859
Bi1Pd1Se1_ICSD_616956,-4.257505821
Dy1In1Rh1_ICSD_103209,-4.366165074
C2La1_ICSD_26587,-4.433152567
Ag1Zr1_ICSD_163155,-4.332151226
B2Zr1_ICSD_169458,-4.678656381
Au1Ge4Rb3_ICSD_413724,-3.949546772
F2V1_ICSD_201245,-4.135569615
H2Y1_ICSD_164604,-4.145409786
Cu2O3Sr1_ICSD_416902,-4.242761925
Er1Os2Si2_ICSD_103276,-4.592474833
O6Se2Sn1_ICSD_154716,-4.297604795
As1Mg1Na1_ICSD_402339,-4.037241537
Ce1Co1Si2_ICSD_16501,-4.432872428
K1Nb1S2_ICSD_26286,-4.350392576
Mg1Si1Sr1_ICSD_42457,-4.152045034
Dy1Rh1_ICSD_103359,-4.420227832
Pt1Sb2Zr6_ICSD_157366,-4.520673793
Hf1Re2_ICSD_150512,-4.743667182
As1F6Na1_ICSD_184564,-4.110033076
Al3Ir1_ICSD_57929,-4.437286134
Pt2Si2Th1_ICSD_649630,-4.517745441
Pd1Sr1_ICSD_648963,-4.087680145
Ga7Ni3_ICSD_408313,-4.166701135
La1N1_ICSD_162195,-4.430547667
Ir1Mn3Si1_ICSD_151748,-4.293827775
Ir2Th1_ICSD_104571,-4.634279954
Pd1Th1_ICSD_105716,-4.459819487
O2Re1_ICSD_154021,-4.579832935
B7Mo3Y1_ICSD_39873,-4.652071169
Ag2Ca1Ge2_ICSD_25316,-4.03877735
In2Rh1Yb1_ICSD_152048,-4.193519517
Ag1Al1S2_ICSD_25356,-4.219191054
Ge13Lu3Rh4_ICSD_636932,-4.324917637
O7Ru2Y2_ICSD_73799,-4.477965475
B1Co1W1_ICSD_613388,-4.66516239
In1Li2Pt1_ICSD_106805,-4.040892753
Au1Cu3_ICSD_150666,-4.161601802
