cif_id,target
N1Nd1_ICSD_644583,-8.82146
Dy1Rh2_ICSD_103361,-4.877330000000001
Pb1Pd1Yb1_ICSD_657947,-3.12894
Ga1S1_ICSD_201345,-3.9351599999999998
Tb1Zn1_ICSD_106136,-2.82762
La2O7Si2_ICSD_92499,-8.16438
Cu4Dy3Sn4_ICSD_162826,-3.89218
K1O8P1V2_ICSD_50670,-6.83149
Cl1H3O5_ICSD_15475,-4.5054099999999995
Er1Ni1Si2_ICSD_171141,-5.16315
Cl1Tl1_ICSD_53852,-3.07524
Er1Ni4P2_ICSD_601114,-4.14882
Ce1Ir2_ICSD_621408,-5.972980000000001
Er5Si4_ICSD_631163,-5.69329
O2V1_ICSD_4110,-7.917669999999999
H4O6P2Sr1_ICSD_412171,-6.0725
I3Pb2S2Sb1_ICSD_418344,-3.54685
Be12Ti1_ICSD_58745,-3.86907
B1H3Mg3O6_ICSD_250420,-6.07049
Be12Mo1_ICSD_616334,-4.19436
Ga1H4K1_ICSD_169709,-3.02405
Au1B2_ICSD_52699,-4.2537
B2Ru3Tb1_ICSD_615370,-6.37017
Al1N1Ti3_ICSD_52642,-6.15225
Cr1O2_ICSD_166025,-7.46743
Cu3Nd1O12Ru4_ICSD_202061,-6.04505
Fe1La1O3_ICSD_236178,-7.52877
Au2In1U1_ICSD_58512,-3.92164
Cr2Ni1S4_ICSD_16884,-5.35859
N1V1_ICSD_644853,-8.35775
Hg1I2_ICSD_36312,-1.42514
Al5B1O9_ICSD_167310,-7.6244
C1Re1_ICSD_77350,-8.409460000000001
Al1Co2V1_ICSD_606705,-4.6681099999999995
Fe5O12Si3_ICSD_161139,-7.27035
O1Ti1_ICSD_40125,-7.069560000000001
Cu2K1S4V1_ICSD_402924,-4.377190000000001
Ni3O1Ti3_ICSD_29055,-4.56039
Ti1_ICSD_653277,-4.790830000000001
Te2W1_ICSD_653171,-5.71071
C4Cd2H12O14_ICSD_170115,-5.72039
Pu1Te1_ICSD_54353,-9.785739999999999
Ir4Sm3Sn13_ICSD_603092,-5.57559
O9P3Sc1_ICSD_20430,-7.571510000000001
B10Ba2H2Na2O19_ICSD_95447,-7.40917
I12Pt1Tb7_ICSD_424446,-4.0083400000000005
C3H6N2O2_ICSD_172448,-6.17466
Ca3Co4Sn13_ICSD_619211,-3.46454
Al1Fe1_ICSD_165164,-3.9371099999999997
Mn1N2Si1_ICSD_23670,-8.14349
Se1_ICSD_164261,-3.4828900000000003
Cd1I2_ICSD_42172,-1.77509
Al2.3Sr2.7_ICSD_609406,-2.83576
Bi1Cr1O3_ICSD_160458,-6.8684899999999995
H2Sr1_ICSD_163574,-3.3065599999999997
Nd3Te4_ICSD_646013,-6.08066
Dy2Si4Ti3_ICSD_96129,-5.8442099999999995
La1Te3_ICSD_642056,-4.58269
Ba2N1_ICSD_414328,-4.45792
Ge1Ho1Ir1_ICSD_88161,-5.9863599999999995
Ba3Ir2O9Sr1_ICSD_245254,-6.20913
B1Ca3N3_ICSD_95814,-6.47457
Cd2Sr1_ICSD_420579,-1.18242
O4S1Zn1_ICSD_71018,-5.58293
Al1Li1Si1_ICSD_152086,-3.9100800000000002
Ag1S3Ta1_ICSD_74442,-5.306719999999999
Eu1F3_ICSD_95244,-7.27054
La2Ni1O4_ICSD_1179,-7.20115
P1Pr1_ICSD_647953,-6.33435
Cl2Co5O12Se4_ICSD_416965,-5.31642
Rb3Sb1Se4_ICSD_404081,-3.4929
La1Se1_ICSD_641930,-6.01567
S3Y2_ICSD_651408,-7.14043
Be2Ge1La2O7_ICSD_39117,-7.479089999999999
Ag1_ICSD_64997,-0.42085900000000004
B1H4Na1_ICSD_181024,-3.9207400000000003
Al1_ICSD_166867,-3.74356
O3Sc2_ICSD_27948,-8.58428
O4P1V1_ICSD_82284,-7.70642
Cu2Si2Y1_ICSD_164066,-4.913469999999999
Fe23Ho6_ICSD_103504,-4.9513
La1Se1Te2_ICSD_413171,-4.83461
Hf1Pd1Si1_ICSD_638775,-6.93164
Cu1F2_ICSD_26576,-3.5436900000000002
In5Ir1La1_ICSD_150266,-3.8201199999999997
Se1Sn1_ICSD_50554,-4.01455
Na1O2_ICSD_26583,-4.54171
O9V4_ICSD_15041,-7.73866
In3Sr5_ICSD_413805,-2.35984
Ir1Sn1U1_ICSD_641061,-6.78348
C6Co1Cr1H18N12_ICSD_806,-6.03188
Be6Cd8O24S2Si6_ICSD_81485,-6.26727
Br1Cr1S1_ICSD_69659,-5.19816
Al16Pt7Zr6_ICSD_609168,-5.6094800000000005
Ba1F6Tb1_ICSD_59306,-5.6959
Nb1Ni1Te5_ICSD_73316,-4.08659
Bi3Tb5_ICSD_617164,-5.13579
Eu2I5K1_ICSD_41100,-5.17275
Al1Ca1F6Na1_ICSD_80542,-5.58551
Dy1Li1O2_ICSD_422562,-7.051139999999999
Cd5Cl1O12P3_ICSD_2527,-5.60114
O3Pr2_ICSD_96198,-8.51776
Cu10Sn3_ICSD_187900,-2.53431
Gd1Mn2_ICSD_104073,-6.72681
H2K1La1O9S2_ICSD_421804,-6.2390099999999995
Ce1Co5_ICSD_620678,-3.7356300000000005
Ge1Ho1Pd2_ICSD_636654,-4.50684
O6P4S4_ICSD_27058,-6.079359999999999
Ge2La1Ni2_ICSD_636821,-4.20565
Ca1Mn1O6Si2_ICSD_25793,-7.70105
S1Ti1_ICSD_651179,-5.6801900000000005
Er1Mg1_ICSD_103261,-3.14357
