estimator,mean_train_r2,std_train_r2,mean_test_r2,std_test_r2,mean_train_neg_MAE,std_train_neg_MAE,mean_test_neg_MAE,std_test_neg_MAE,mean_train_neg_RMSE,std_train_neg_RMSE,mean_test_neg_RMSE,std_test_neg_RMSE,params,mean_fit_time,mean_score_time,elem_prop,mat_prop
Ridge,0.7498902362890784,0.02008778539300234,0.6864195892629393,0.04782467304247421,-25.064140727001984,1.3392644669058609,-27.334201251154738,2.477205995512961,-34.12835503658962,2.1774004290926006,-38.1438265268322,4.727843846922457,"{'alpha': 0.001, 'fit_intercept': True}",0.0016623338063557942,0.0009973843892415364,magpie,ael_bulk_modulus_vrh
Ridge,0.7443829447548368,0.02064329160836328,0.6839992095542181,0.04651971468582516,-25.218529351823516,1.3595017139929364,-27.343615706681987,2.3902743212743496,-34.50246096662813,2.2187659547003893,-38.292299413333204,4.637401299884437,"{'alpha': 0.01, 'fit_intercept': True}",0.002327124277750651,0.0013298193613688152,magpie,ael_bulk_modulus_vrh
Ridge,0.731377446244038,0.020183341272733666,0.6810245334451256,0.04045824566915335,-25.761313313502118,1.3330475003218791,-27.48933944600218,2.15103381301759,-35.370602750668816,2.1704828700579024,-38.473315767364234,4.213027143703248,"{'alpha': 0.1, 'fit_intercept': True}",0.0026597181955973306,0.0016624132792154949,magpie,ael_bulk_modulus_vrh
Ridge,0.677276512900198,0.01659079211403044,0.6438445773323668,0.03378023488218967,-28.326327497276253,1.1554750302408496,-29.370246709705953,1.9823476202477526,-38.77208751280988,1.9056724438908181,-40.66359704183291,3.817436388530119,"{'alpha': 1.0, 'fit_intercept': True}",0.002659320831298828,0.000996987024943034,magpie,ael_bulk_modulus_vrh
Ridge,0.573469172252978,0.014770105379946821,0.5570507308014866,0.030519743210607325,-32.690688192185,1.1526772546035586,-33.35513435561359,2.0527059599941175,-44.574314879148666,1.856039829954032,-45.35892010668255,3.805358846950135,"{'alpha': 10.0, 'fit_intercept': True}",0.0019946893056233725,0.0009973843892415364,magpie,ael_bulk_modulus_vrh
Ridge,0.315932992279539,0.005169862523886544,0.305702661020144,0.017569867908220127,-43.527525241830425,1.1493048612707244,-43.8234860491282,2.46900070493706,-56.437361636004574,1.556252735128099,-56.7639260960482,3.602601891397673,"{'alpha': 100.0, 'fit_intercept': True}",0.0023270448048909507,0.0013297398885091145,magpie,ael_bulk_modulus_vrh
Ridge,0.05831973387897075,0.0013456918217976696,0.05078596426268619,0.007458138667755759,-51.97679687639566,1.409499705609382,-52.184742116581255,2.5756439333320533,-66.21484630553125,1.7173659844861784,-66.34696275053263,3.612315053308879,"{'alpha': 1000.0, 'fit_intercept': True}",0.001994609832763672,0.0009975433349609375,magpie,ael_bulk_modulus_vrh
ExtraTreesRegressor,0.9879384021430367,0.0006361084275967882,0.6700586534930998,0.03625409628033895,-1.6129988561525217,0.13322938857411798,-27.095200233543796,2.1956140834569475,-7.486441757185191,0.05536994140357741,-39.15773282190853,4.144594431995724,"{'max_features': 'sqrt', 'n_estimators': 16}",0.04454795519510905,0.0033245086669921875,magpie,ael_bulk_modulus_vrh
ExtraTreesRegressor,0.9879384021430367,0.0006361084275967882,0.6943754792504798,0.02637779545305609,-1.6129988561525401,0.13322938857411717,-26.768355698099544,1.8993286341574065,-7.486441757185191,0.05536994140357741,-37.68303636421273,3.515046262728924,"{'max_features': 'sqrt', 'n_estimators': 32}",0.07878931363423665,0.005651712417602539,magpie,ael_bulk_modulus_vrh
ExtraTreesRegressor,0.9879384021430367,0.0006361084275967882,0.6971363518275652,0.02824574560012211,-1.6129988561525799,0.13322938857411465,-26.676281729303216,1.808762260921751,-7.486441757185191,0.05536994140357741,-37.51724568423051,3.6666474852129425,"{'max_features': 'sqrt', 'n_estimators': 64}",0.16622249285380045,0.006316820780436198,magpie,ael_bulk_modulus_vrh
