estimator,mean_train_r2,std_train_r2,mean_test_r2,std_test_r2,mean_train_neg_MAE,std_train_neg_MAE,mean_test_neg_MAE,std_test_neg_MAE,mean_train_neg_RMSE,std_train_neg_RMSE,mean_test_neg_RMSE,std_test_neg_RMSE,params,mean_fit_time,mean_score_time,elem_prop,mat_prop
Ridge,0.374057667683386,0.07118288718710168,0.3164649007026888,0.102904587439165,-4.156235445955821,0.26875943801795366,-4.508520108992899,0.1198524687152597,-8.936664310940811,1.2478199112007542,-9.281374459202015,2.3661911321827627,"{'alpha': 0.001, 'fit_intercept': True}",0.0016626516977945964,0.000997304916381836,magpie,agl_thermal_conductivity_300K
Ridge,0.36808500707628244,0.07190906582708657,0.3190871200214099,0.10763669429660648,-4.148035459921909,0.26903526346685636,-4.460770094872186,0.10578958896789983,-8.979230644801602,1.2542861140818002,-9.267457252732568,2.3956723256047634,"{'alpha': 0.01, 'fit_intercept': True}",0.0016626516977945964,0.0016620159149169922,magpie,agl_thermal_conductivity_300K
Ridge,0.35598556414034815,0.07175001912496203,0.3226688862947795,0.11187796253096295,-4.147316671268272,0.2930122141303525,-4.397575045994369,0.14746932609399013,-9.064743126690269,1.2575391982641564,-9.249088396024378,2.42558282352661,"{'alpha': 0.1, 'fit_intercept': True}",0.0026604334513346353,0.001329183578491211,magpie,agl_thermal_conductivity_300K
Ridge,0.31634124004799663,0.06235361431288609,0.29536480042162744,0.09750650975784449,-4.24224978156648,0.2665451633208539,-4.438144347719717,0.1512803463240156,-9.33707379592945,1.207200185726818,-9.420779018989803,2.353862957520215,"{'alpha': 1.0, 'fit_intercept': True}",0.0023265679677327475,0.0009973843892415364,magpie,agl_thermal_conductivity_300K
Ridge,0.25953882962957125,0.05095721708938378,0.25635004187020577,0.08724664225777973,-4.334125727609123,0.23092674639926503,-4.4338709213702,0.2290144774073345,-9.712697829624561,1.1518669850046384,-9.669398243742949,2.3250510789213226,"{'alpha': 10.0, 'fit_intercept': True}",0.0016619364420572917,0.0013298193613688152,magpie,agl_thermal_conductivity_300K
Ridge,0.1524571874768436,0.029767124871865676,0.16004786083490152,0.05874455211751812,-4.719123863978655,0.14120042615391892,-4.736762159953684,0.24472944168331143,-10.382403244987946,1.0765780051852207,-10.244755669558296,2.2351950480816947,"{'alpha': 100.0, 'fit_intercept': True}",0.0016620953877766926,0.0013298988342285156,magpie,agl_thermal_conductivity_300K
Ridge,0.029742576813221382,0.005580157635902176,0.030880053849026035,0.0127479029955831,-5.451363313469485,0.16596848908558398,-5.457780877589308,0.19368273798659352,-11.097542691988437,1.0086136060398312,-10.952532573475665,2.1043273235423303,"{'alpha': 1000.0, 'fit_intercept': True}",0.001994530359903971,0.001329660415649414,magpie,agl_thermal_conductivity_300K
ExtraTreesRegressor,0.9894910951042107,0.00613879859262565,0.30945373541156107,0.14781800495539665,-0.18304071443881206,0.04728200431549452,-3.9575479017376285,0.39562599897415607,-1.1314812866665156,0.4487879499148813,-9.361914779961124,2.6276163724281036,"{'max_features': 'sqrt', 'n_estimators': 16}",0.050531228383382164,0.003656784693400065,magpie,agl_thermal_conductivity_300K
ExtraTreesRegressor,0.9894910951042185,0.0061387985926217754,0.30918240192182705,0.14800205064109706,-0.1830407074929148,0.047281931494258245,-3.9390760339817263,0.2756826052833083,-1.131481286666176,0.448787949914486,-9.368899573101594,2.6702174326913344,"{'max_features': 'sqrt', 'n_estimators': 32}",0.09241922696431477,0.0056514739990234375,magpie,agl_thermal_conductivity_300K
ExtraTreesRegressor,0.989491095104227,0.006138798592626652,0.30649121835744014,0.14319726654871873,-0.1830406705111036,0.04728195202500632,-3.8738066897180907,0.36135826743692456,-1.1314812866656003,0.44878794991486987,-9.37968052830015,2.6018156740239036,"{'max_features': 'sqrt', 'n_estimators': 64}",0.15990710258483887,0.006981213887532552,magpie,agl_thermal_conductivity_300K
ExtraTreesRegressor,0.9894910951042237,0.006138798592625554,0.3134420974641161,0.16889738725666192,-0.18304070642238832,0.04728195004310586,-3.9159687812558883,0.44852452328163545,-1.1314812866658175,0.44878794991476484,-9.341511354757584,2.7478237674226524,"{'max_features': 'sqrt', 'n_estimators': 128}",0.23038490613301596,0.010970989863077799,magpie,agl_thermal_conductivity_300K
ExtraTreesRegressor,0.9894910951042246,0.006138798592626279,0.3244542668057453,0.1688456729550391,-0.18304068193831702,0.047281947093058704,-3.8792443436668975,0.40449051900591637,-1.131481286665749,0.44878794991481563,-9.262215455094733,2.718676842192474,"{'max_features': 'sqrt', 'n_estimators': 256}",0.3992663224538167,0.021276473999023438,magpie,agl_thermal_conductivity_300K
ExtraTreesRegressor,0.9894910951042265,0.006138798592628348,0.3126071851719849,0.17213009561531442,-0.18304067943011862,0.04728196824008704,-3.9061840216362085,0.4168034876439708,-1.1314812866655812,0.44878794991501386,-9.34490383806571,2.752833529809276,"{'max_features': 'sqrt', 'n_estimators': 512}",0.7779209613800049,0.041555563608805336,magpie,agl_thermal_conductivity_300K
ExtraTreesRegressor,0.989491095104226,0.006138798592628217,0.323571539643896,0.17067907438592406,-0.18304068607333598,0.04728196755801804,-3.874440265555068,0.4234108542095087,-1.1314812866656259,0.44878794991499843,-9.270788787968996,2.7407192906914375,"{'max_features': 'sqrt', 'n_estimators': 1024}",1.5501898129781086,0.08011905352274577,magpie,agl_thermal_conductivity_300K
ExtraTreesRegressor,0.9894910951042251,0.006138798592627373,0.3249998278040835,0.17330321908429516,-0.18304068726606962,0.047281961196605236,-3.875636623019871,0.41738955613500167,-1.1314812866656907,0.44878794991492715,-9.262627913150935,2.760887484261648,"{'max_features': 'sqrt', 'n_estimators': 2048}",3.108366012573242,0.16024653116861978,magpie,agl_thermal_conductivity_300K
