estimator,mean_train_r2,std_train_r2,mean_test_r2,std_test_r2,mean_train_neg_MAE,std_train_neg_MAE,mean_test_neg_MAE,std_test_neg_MAE,mean_train_neg_RMSE,std_train_neg_RMSE,mean_test_neg_RMSE,std_test_neg_RMSE,params,mean_fit_time,mean_score_time,elem_prop,mat_prop
Ridge,0.8941419179424059,0.0013703628856392765,0.8258228140802215,0.014917470835562935,-0.05470438538029992,0.0006952466909286613,-0.0675183390021522,0.0007357291883951819,-0.07388905874206005,0.0008710522812635854,-0.09459724797728082,0.003719388316330724,"{'alpha': 0.001, 'fit_intercept': True}",0.0036562283833821616,0.0019947687784830728,oliynyk,agl_log10_thermal_expansion_300K
Ridge,0.8908511475649531,0.0015299333395329324,0.8301920257677482,0.013489822749685581,-0.055534078726873014,0.0005286039147232566,-0.06666374262624725,0.0006664719963986749,-0.07502813041709182,0.0008777138609125879,-0.09342685568189531,0.003726238287874978,"{'alpha': 0.01, 'fit_intercept': True}",0.003988981246948242,0.0016620953877766926,oliynyk,agl_log10_thermal_expansion_300K
Ridge,0.8751489262518152,0.0033276186659648354,0.8291205823448221,0.01589144166196603,-0.058731853182957934,0.0010055361153660783,-0.06664800641078952,0.001543937668886577,-0.0802394703675083,0.0013573788611953932,-0.09371235002974927,0.004864721034599104,"{'alpha': 0.1, 'fit_intercept': True}",0.009308576583862305,0.001994609832763672,oliynyk,agl_log10_thermal_expansion_300K
Ridge,0.8386727505076553,0.006709304978617684,0.8089859059163595,0.019240365607466108,-0.06633074077435057,0.0010605641555774294,-0.07056277166094888,0.0018553861379211555,-0.09119937679700514,0.0021165040542082503,-0.09906811526871846,0.005654654524174999,"{'alpha': 1.0, 'fit_intercept': True}",0.00498652458190918,0.001329978307088216,oliynyk,agl_log10_thermal_expansion_300K
Ridge,0.7360129837962338,0.008978050974518986,0.7168768129543581,0.01565503627942305,-0.08595552748205158,0.0008161158480286398,-0.08832323420427064,0.00037869699079175304,-0.1166670062422349,0.002170094095575911,-0.12069259892324986,0.0035091813584733193,"{'alpha': 10.0, 'fit_intercept': True}",0.007313728332519531,0.0029923121134440103,oliynyk,agl_log10_thermal_expansion_300K
Ridge,0.4245646244593771,0.009222915693417657,0.41534198125038646,0.006969079179818911,-0.13255705329831693,0.0008993331903310566,-0.13325243577746346,0.002699458157520964,-0.17225921886887852,0.0009373219402811797,-0.17351997705739053,0.0030838591105205536,"{'alpha': 100.0, 'fit_intercept': True}",0.005983988444010417,0.0016624132792154949,oliynyk,agl_log10_thermal_expansion_300K
Ridge,0.08155954805470278,0.002651180977028853,0.07669238876756472,0.003464431580414772,-0.16926351404336626,0.0017943615425577563,-0.16963666580745076,0.004758427394369089,-0.21764231413089632,0.0016729433538880795,-0.21806703946927986,0.003987369538272951,"{'alpha': 1000.0, 'fit_intercept': True}",0.004321734110514323,0.0013295809427897136,oliynyk,agl_log10_thermal_expansion_300K
ExtraTreesRegressor,0.9960390974592471,0.0004673144592765149,0.7983045917849684,0.03798926497592011,-0.0033420345206629717,0.00019504195121655533,-0.07015142657092703,0.003222636302855894,-0.01426352126289357,0.0007707647864366603,-0.10138488312082507,0.008617069420744585,"{'max_features': 'sqrt', 'n_estimators': 16}",0.07147574424743652,0.003989219665527344,oliynyk,agl_log10_thermal_expansion_300K
ExtraTreesRegressor,0.9960390976591244,0.00046731383164009925,0.8064447163211635,0.02337087454740731,-0.003342143493879734,0.00019484474618325126,-0.06883208670774277,0.0012366008690416913,-0.01426352097400515,0.0007707637330645702,-0.09963595339035199,0.006100597837308371,"{'max_features': 'sqrt', 'n_estimators': 32}",0.1452782154083252,0.009973684946695963,oliynyk,agl_log10_thermal_expansion_300K
ExtraTreesRegressor,0.996039097634504,0.00046731383606345893,0.814654736550148,0.023367032171706926,-0.003342099503490911,0.00019493108614684226,-0.06733749818462521,0.0013240292944140144,-0.014263521020351113,0.0007707638836572871,-0.09747478402740749,0.006044669727248357,"{'max_features': 'sqrt', 'n_estimators': 64}",0.2061159610748291,0.00797875722249349,oliynyk,agl_log10_thermal_expansion_300K
