estimator,mean_train_r2,std_train_r2,mean_test_r2,std_test_r2,mean_train_neg_MAE,std_train_neg_MAE,mean_test_neg_MAE,std_test_neg_MAE,mean_train_neg_RMSE,std_train_neg_RMSE,mean_test_neg_RMSE,std_test_neg_RMSE,params,mean_fit_time,mean_score_time,elem_prop,mat_prop
Ridge,0.8551549868777518,0.009426754144743687,0.7094528114754745,0.024316674901184852,-18.76874970951934,0.5824460707571327,-25.99488200323324,0.8887433880140265,-26.165447109322987,1.003377990694029,-36.85104093714342,1.4450831932596306,"{'alpha': 0.001, 'fit_intercept': True}",0.008310238520304361,0.0016624927520751953,onehot,ael_bulk_modulus_vrh
Ridge,0.8518194258163446,0.00923743681782704,0.7320385170543112,0.016213601743634305,-18.967352370762406,0.5701791931418221,-25.045481461892667,0.974493773935102,-26.466720302627678,1.0012200405437293,-35.432553658241055,1.665028619360968,"{'alpha': 0.01, 'fit_intercept': True}",0.008310715357462565,0.0019938151041666665,onehot,ael_bulk_modulus_vrh
Ridge,0.8292857212648462,0.005446039464734672,0.7535295633343547,0.008609827959812072,-20.07423071459544,0.6154629633957197,-24.16974005277221,1.4047785007817744,-28.42655260258539,1.0460960203340937,-34.09476957811025,2.919275860323928,"{'alpha': 0.1, 'fit_intercept': True}",0.007312695185343425,0.0023270448048909507,onehot,ael_bulk_modulus_vrh
Ridge,0.7942015172039039,0.0032266487177458818,0.7376631513303759,0.017089597032821723,-21.81538307402151,0.6593002513157753,-24.77823910931534,1.988139066017482,-31.221420040742533,1.2605919039712934,-35.19885503357383,3.539279866749857,"{'alpha': 1.0, 'fit_intercept': True}",0.007646640141805013,0.0023270448048909507,onehot,ael_bulk_modulus_vrh
Ridge,0.5977724686459438,0.004598616681874648,0.5492897837682488,0.03283777034326115,-32.53671236616942,0.7063983932809152,-34.464769215974634,2.791673732878861,-43.63407256006957,1.3076497711700759,-46.14258655963005,4.809763096201441,"{'alpha': 10.0, 'fit_intercept': True}",0.007646083831787109,0.002326806386311849,onehot,ael_bulk_modulus_vrh
Ridge,0.15250464432877528,0.003329087095462888,0.13180457016241987,0.01260132861441383,-49.407580271539054,1.4093671400711083,-49.94236750965552,2.8417605720649557,-63.34277545601811,2.0261603079039046,-63.95447793605367,4.870777575031107,"{'alpha': 100.0, 'fit_intercept': True}",0.007978677749633789,0.002327124277750651,onehot,ael_bulk_modulus_vrh
Ridge,0.017915029139093486,0.00044908396242092,0.009557768443059667,0.004215107097311207,-53.56016926215708,1.6274819698858047,-53.69201805611053,2.778185211867938,-68.19032630368699,2.2711849517944867,-68.27923722228248,4.770315020191905,"{'alpha': 1000.0, 'fit_intercept': True}",0.00732421875,0.0013295809427897136,onehot,ael_bulk_modulus_vrh
ExtraTreesRegressor,0.9891293235601744,0.001590826885492304,0.5112776224968902,0.006980872166449928,-1.3541829351190449,0.11337247886354564,-33.990195512087816,2.2105465941507156,-7.141195719671569,0.33612505978387286,-47.971965957465024,3.497927972544736,"{'max_features': 'sqrt', 'n_estimators': 16}",0.07047812143961589,0.005651394526163737,onehot,ael_bulk_modulus_vrh
ExtraTreesRegressor,0.9891293235601744,0.001590826885492304,0.5315585609114818,0.023985541852734816,-1.3541829351190646,0.11337247886354519,-32.866412820759,2.970045862511878,-7.141195719671569,0.33612505978387286,-47.02044309293573,4.393854145250145,"{'max_features': 'sqrt', 'n_estimators': 32}",0.13397479057312012,0.005983988444010417,onehot,ael_bulk_modulus_vrh
ExtraTreesRegressor,0.9891293235601744,0.001590826885492304,0.5391218013834336,0.017517866917118593,-1.3541829351191026,0.11337247886354716,-32.81415818085389,2.6505293991540837,-7.141195719671568,0.336125059783873,-46.628041409239785,4.0830667207699785,"{'max_features': 'sqrt', 'n_estimators': 64}",0.2124319871266683,0.007313966751098633,onehot,ael_bulk_modulus_vrh
ExtraTreesRegressor,0.9891293235601744,0.001590826885492304,0.5455104907151637,0.011172139288802915,-1.3541829351191739,0.1133724788635476,-32.5555345568337,2.418060693496295,-7.141195719671569,0.33612505978387325,-46.28659256323008,3.7534527295286146,"{'max_features': 'sqrt', 'n_estimators': 128}",0.36136706670125324,0.01296536127726237,onehot,ael_bulk_modulus_vrh
ExtraTreesRegressor,0.9891293235601744,0.001590826885492304,0.5478213793223833,0.014715833880036798,-1.354182935119326,0.11337247886354233,-32.60940767087462,2.5555279965243427,-7.141195719671569,0.3361250597838731,-46.17901181026923,3.9224179451167647,"{'max_features': 'sqrt', 'n_estimators': 256}",0.6802061398824056,0.023935874303181965,onehot,ael_bulk_modulus_vrh
ExtraTreesRegressor,0.9891293235601744,0.001590826885492304,0.5457378305138736,0.012681043937554964,-1.3541829351196222,0.11337247886354651,-32.64674310607058,2.588915032501033,-7.141195719671569,0.3361250597838734,-46.279599667681,3.828823526251085,"{'max_features': 'sqrt', 'n_estimators': 512}",1.3321475982666016,0.04820458094278971,onehot,ael_bulk_modulus_vrh
ExtraTreesRegressor,0.9891293235601744,0.001590826885492304,0.5476492013765484,0.016698668714635975,-1.3541829352668608,0.11337247906826348,-32.55449577533917,2.6563811010290226,-7.141195719671568,0.336125059783873,-46.19319582886802,4.017506827594569,"{'max_features': 'sqrt', 'n_estimators': 1024}",2.663609584172567,0.09108893076578777,onehot,ael_bulk_modulus_vrh
ExtraTreesRegressor,0.9891293235601744,0.001590826885492304,0.5467576661000891,0.01539259602527992,-1.3541829353413484,0.11337247917061775,-32.59152006388785,2.5740907822891823,-7.141195719671569,0.33612505978387286,-46.23454648299012,3.9549079370593008,"{'max_features': 'sqrt', 'n_estimators': 2048}",5.269782066345215,0.1781912644704183,onehot,ael_bulk_modulus_vrh
RandomForestRegressor,0.902031785283753,0.007788307169040946,0.4580365133022437,0.00979077457194153,-14.920216804484463,0.43609429905280195,-36.43988142133514,1.5882410056866194,-21.50332585538892,0.6741647267914237,-50.51371555273247,3.6782199997355467,"{'max_features': 'sqrt', 'n_estimators': 16}",0.07114156087239583,0.0026596387227376304,onehot,ael_bulk_modulus_vrh
RandomForestRegressor,0.9118527696007129,0.0025888677076563544,0.46160841953155574,0.010740973742692313,-14.58465054797817,0.5742016746105869,-37.069071427545815,2.4678102395222146,-20.417583112882664,0.40358359009311234,-50.370971939733785,3.962384861409848,"{'max_features': 'sqrt', 'n_estimators': 32}",0.135635773340861,0.004321734110514323,onehot,ael_bulk_modulus_vrh
RandomForestRegressor,0.9170726078131084,0.0035727571496859557,0.44696845326091345,0.007367407004562881,-14.321909240579942,0.4990660014470048,-37.41050214515506,2.2516206083730426,-19.80740079704687,0.6996055001226372,-51.016257844653786,3.5222087811036635,"{'max_features': 'sqrt', 'n_estimators': 64}",0.2716070016225179,0.006981611251831055,onehot,ael_bulk_modulus_vrh
