cif_id,target
Dy1Rh2_ICSD_103361,155.506
Ba1Pt1_ICSD_55492,50.2714
B2Ru3Tb1_ICSD_615370,215.717
Au2In1U1_ICSD_58512,79.7778
Ca3Co4Sn13_ICSD_619211,66.55
Al1Pt1_ICSD_58129,187.544
Mo3N1Pt2_ICSD_150314,288.83299999999997
Al1Li1Si1_ICSD_152086,62.9167
Ag1S3Ta1_ICSD_74442,78.0079
Al16Pt7Zr6_ICSD_609168,145.2
Dy1Li1O2_ICSD_422562,122.211
Al1Au1Er1_ICSD_602607,93.2267
Ca1Si2_ICSD_1453,61.4176
F4Pd1Sr1_ICSD_108990,63.4892
C1Pb1Ti2_ICSD_42926,114.13799999999999
La3O7Ta1_ICSD_168909,138.221
B4Rh4Tb1_ICSD_615322,226.06900000000002
C1Ga1Ta2_ICSD_617926,190.394
Ga1Ho1O3_ICSD_420711,180.294
Al3C3Sc1_ICSD_43477,165.018
Er4Ge6Rh7_ICSD_630644,139.65
Ru3Zr1_ICSD_185641,200.044
Dy2Se3_ICSD_419,67.3716
Ir2Lu1_ICSD_104491,220.422
Be2C1_ICSD_183009,207.489
Al2Ho3_ICSD_184632,60.4354
P1Ru1Zr1_ICSD_648037,207.208
As12Os4Th1_ICSD_611145,135.614
Eu1O3Ti1_ICSD_187101,183.13299999999998
Al2Y1_ICSD_186476,80.2778
Er3P6Pd20_ICSD_409903,151.7
I1Rb1_ICSD_44619,11.2778
C1Zr1_ICSD_183162,145.533
K1Na1S1_ICSD_62658,25.1325
Yb3Zn11_ICSD_653480,50.0556
B4Fe1_ICSD_425311,227.572
Cl5Cs1Pb2_ICSD_249888,13.7185
Ba1Pt2_ICSD_58675,104.2
Ca1F6Sn1_ICSD_35713,53.7611
P1Pt5Tl1_ICSD_647975,191.188
Ca1In2_ICSD_414232,39.6083
Cu1Ti3_ICSD_103130,96.4902
C1Nb1_ICSD_183164,205.122
B1Li2Pd3_ICSD_156465,116.77799999999999
Ba1F4Pd1_ICSD_108991,52.977
Br1Cu1_ICSD_30091,23.5711
Ga3Hf3Nb2_ICSD_103733,138.69299999999998
Al3La1Pd2_ICSD_105500,103.461
Ag1In2Na3_ICSD_170868,19.9944
S1Zn1_ICSD_15478,70.7431
Ni1Zn1_ICSD_105470,143.239
As1Ti3_ICSD_611501,107.35600000000001
O3Tb2_ICSD_27995,138.939
Al3Zr4_ICSD_150529,107.561
O1Sr1_ICSD_105548,84.7444
B4H16Hf1_ICSD_35379,3.93333
K1Sb1Zn1_ICSD_12161,25.0561
Be13U1_ICSD_107528,123.556
Ca1Ir2_ICSD_108146,161.27200000000002
Pt1Se1Si1_ICSD_649595,129.595
B2C2Er1_ICSD_94042,183.274
Mg1Sc1_ICSD_108583,49.8
Mn2Si2Y1_ICSD_643695,83.9097
Sn2Tb1_ICSD_168671,58.1059
In1Ni2Ti1_ICSD_54596,125.544
Na1Nb1S2_ICSD_26285,77.2343
O7P2Ti1_ICSD_189807,126.08200000000001
Ag1Er1Se2_ICSD_15302,51.7113
Ru2Si2Th1_ICSD_603984,161.90200000000002
Ge1Ir1Y1_ICSD_636761,137.808
Al1Cu2Zr1_ICSD_185282,127.47200000000001
Ge3La1Rh1_ICSD_161872,97.42
Ag1Al1O2_ICSD_160643,99.9056
Mn1Pd2Sn1_ICSD_104945,115.97200000000001
Pt9Sc5Si7_ICSD_420356,160.056
Au1Ti1_ICSD_612415,134.188
Ge1O6Se2_ICSD_422884,51.6339
Ge1Ru1Tb1_ICSD_85912,112.15799999999999
F1Ho1S1_ICSD_94475,110.26700000000001
B1N1_ICSD_186248,102.88
Ho1Te2_ICSD_639765,58.9661
In1Pt2Tb1_ICSD_640312,122.889
Rh5Tb1_ICSD_105944,179.787
Mn1Pd1Te1_ICSD_40908,81.7111
Ca1Ge1Zn1_ICSD_52772,49.3794
Ba1Ce1N2_ICSD_74791,109.226
Ga1In1Te2_ICSD_600687,21.603
As1Pu1_ICSD_44048,87.2611
C1_ICSD_66468,434.908
B2Mo2Ru1_ICSD_601573,297.819
Al2Fe3Si4_ICSD_83665,166.49400000000003
Ba1Te2_ICSD_75555,28.7313
Dy3Ge4_ICSD_84342,79.4727
Ni1Sc6Te2_ICSD_90082,71.8098
Ru2Sc1_ICSD_150514,161.688
Ge2Th3_ICSD_44503,87.9744
Ba1Ce1O3_ICSD_165826,114.06299999999999
In1Rb1Te2_ICSD_75346,14.6646
Ce1Ir2_ICSD_102194,203.767
Au1Dy1In1_ICSD_54951,82.6016
As1Nb1_ICSD_16585,159.804
Ge1Nb1Rh1_ICSD_637230,204.238
B2Nb1Ni1_ICSD_614910,268.568
P1V1_ICSD_42444,185.78900000000002
Ho1Rh1Sn1_ICSD_411821,109.73200000000001
C1Nb4Rh2_ICSD_618493,225.50599999999997
Dy1Ni2Si2_ICSD_630020,134.585
Cu2Ho1In1_ICSD_102979,83.0333
Bi1Dy1_ICSD_58778,55.6333
F3Na1V1_ICSD_60611,67.8389
Cl1Na1O3_ICSD_1117,23.7184
Cs3O3Sb1_ICSD_279580,17.063
Ho1Ni2Si2_ICSD_56232,138.81
Al6Mn1_ICSD_150135,101.12100000000001
Pt2Si1_ICSD_649614,229.83900000000003
As2Ba1Cu2_ICSD_236307,59.6226
Ca1Mg1Si1_ICSD_158276,51.6156
In1Na5O4_ICSD_69630,50.8063
Dy1Ga3Ru1_ICSD_629734,112.789
S4Tl3V1_ICSD_16572,22.1611
Ge1Os1Sc1_ICSD_637470,163.539
Sn1_ICSD_40039,33.9944
O1Pd2_ICSD_77651,124.52799999999999
Bi1Nb3_ICSD_58817,155.583
In1Ni1_ICSD_59432,120.361
Bi1Pd1Se1_ICSD_616956,80.0401
Dy1In1Rh1_ICSD_103209,98.7365
Pd1Si1Sr1_ICSD_69791,70.7053
C2La1_ICSD_26587,91.149
Ag1Zr1_ICSD_163155,98.8516
Au1Ge4Rb3_ICSD_413724,17.7023
H2Y1_ICSD_164604,82.8111
Cu2O3Sr1_ICSD_416902,96.4704
As1Mg1Na1_ICSD_402339,34.5954
La1Pt3_ICSD_104701,141.972
K1Nb1S2_ICSD_26286,70.801
Mg1Si1Sr1_ICSD_42457,43.3882
Dy1Rh1_ICSD_103359,114.67200000000001
Pt1Sb2Zr6_ICSD_157366,120.78299999999999
Hf1Re2_ICSD_150512,262.681
As1F6Na1_ICSD_184564,21.9278
Al3Ir1_ICSD_57929,150.901
Pd1Sr1_ICSD_648963,41.1388
La1N1_ICSD_162195,74.3818
Ir1Mn3Si1_ICSD_151748,122.79899999999999
Ir2Th1_ICSD_104571,200.13299999999998
Pd1Th1_ICSD_105716,107.85
O2Re1_ICSD_154021,280.42400000000004
B7Mo3Y1_ICSD_39873,252.672
Ag2Ca1Ge2_ICSD_25316,57.0356
In2Rh1Yb1_ICSD_152048,62.3186
Ag1Al1S2_ICSD_25356,71.6539
Ge13Lu3Rh4_ICSD_636932,108.87200000000001
O7Ru2Y2_ICSD_73799,187.33900000000003
Nd1P1_ICSD_645677,87.4889
In1Li2Pt1_ICSD_106805,72.5278
Au1Cu3_ICSD_150666,121.62200000000001
Pt1Sn1Sr1_ICSD_412012,68.2498
Os2Tb1_ICSD_647822,209.65200000000002
Ba1O3Pr1_ICSD_163755,115.81700000000001
Er1Mg2_ICSD_657544,44.0289
H3Pd1Yb1_ICSD_638422,93.5444
Cu1Sn1Y1_ICSD_416544,75.902
O7V2Y2_ICSD_160865,190.011
C1Ge1Ni3_ICSD_77001,192.09400000000002
Al1O2Rb1_ICSD_28373,91.7111
Co1Si1V1_ICSD_409847,213.528
Ca3N2_ICSD_50991,67.3393
K2O1_ICSD_180571,27.45
B2Hf3Ir5_ICSD_44316,256.661
Hg1Li1_ICSD_104308,32.5667
Se1Tl1_ICSD_652064,22.369
Ho1In1Pd1_ICSD_153006,94.5868
Co1O6Pt3_ICSD_35338,194.114
Sn1Y1Zn1_ICSD_152622,63.7756
Ni2O4Si1_ICSD_100544,200.894
Fe2In1Ti1_ICSD_186056,158.561
Ho2O7Sn2_ICSD_82961,161.428
Br1Li3O1_ICSD_67265,48.9389
Cu1Na1Se1_ICSD_12155,40.7854
In1Pt2Sc1_ICSD_59502,141.839
In1Pd2Tb2_ICSD_54484,86.2503
Si1Sr1Zn1_ICSD_86388,49.2502
Nb3Si2_ICSD_645431,192.785
Ba1Cd2_ICSD_260668,26.2245
As2K2Ni1_ICSD_300120,23.4735
O2Si1_ICSD_158958,309.818
Pu1Ru1_ICSD_105865,173.653
K1_ICSD_44669,3.7333300000000005
Hf1N2_ICSD_290428,228.817
N1Tl1_ICSD_186556,89.3957
C2Os1_ICSD_168279,355.639
Fe1Hf4P1_ICSD_632255,121.766
Ag1Al1Se2_ICSD_28745,49.6298
Al1Mn1Ni2_ICSD_57976,110.45
Cr3N1Pt1_ICSD_53142,115.186
Ho1Os2_ICSD_639530,211.592
As2O6Sr1_ICSD_420297,109.965
Ba1Ga2_ICSD_150472,36.1038
Mg1Pt1Sb1_ICSD_44826,90.4611
Re2Sc1_ICSD_105890,222.312
Ge1O2_ICSD_281600,218.27900000000002
Au1Ga2_ICSD_150958,69.3167
P1U1_ICSD_150959,69.5833
