cif_id,target
Dy1Rh2_ICSD_103361,60.3346
Ba1Pt1_ICSD_55492,19.9604
B2Ru3Tb1_ICSD_615370,83.4031
Au2In1U1_ICSD_58512,17.5608
Ca3Co4Sn13_ICSD_619211,22.6237
Al1Pt1_ICSD_58129,74.859
Mo3N1Pt2_ICSD_150314,130.059
Al1Li1Si1_ICSD_152086,55.4704
Ag1S3Ta1_ICSD_74442,32.9161
Al16Pt7Zr6_ICSD_609168,83.1316
Dy1Li1O2_ICSD_422562,62.2611
Al1Au1Er1_ICSD_602607,41.581
Ca1Si2_ICSD_1453,40.0246
F4Pd1Sr1_ICSD_108990,24.4638
C1Pb1Ti2_ICSD_42926,69.6375
La3O7Ta1_ICSD_168909,70.2015
B4Rh4Tb1_ICSD_615322,89.3848
C1Ga1Ta2_ICSD_617926,109.60600000000001
Ga1Ho1O3_ICSD_420711,84.7834
Al3C3Sc1_ICSD_43477,137.85
Er4Ge6Rh7_ICSD_630644,77.711
Ru3Zr1_ICSD_185641,62.9049
Dy2Se3_ICSD_419,34.9565
Ir2Lu1_ICSD_104491,92.1875
Be2C1_ICSD_183009,231.835
Al2Ho3_ICSD_184632,34.0672
P1Ru1Zr1_ICSD_648037,90.61200000000001
As12Os4Th1_ICSD_611145,91.6409
Eu1O3Ti1_ICSD_187101,106.448
Al2Y1_ICSD_186476,60.878
Er3P6Pd20_ICSD_409903,36.001
I1Rb1_ICSD_44619,5.62036
C1Zr1_ICSD_183162,30.2085
K1Na1S1_ICSD_62658,15.7058
Yb3Zn11_ICSD_653480,26.101
B4Fe1_ICSD_425311,177.17
Cl5Cs1Pb2_ICSD_249888,7.976560000000001
Ba1Pt2_ICSD_58675,36.224000000000004
Ca1F6Sn1_ICSD_35713,23.1592
P1Pt5Tl1_ICSD_647975,50.4164
Ca1In2_ICSD_414232,28.4349
Cu1Ti3_ICSD_103130,42.588
C1Nb1_ICSD_183164,76.5578
B1Li2Pd3_ICSD_156465,30.5607
Ba1F4Pd1_ICSD_108991,16.8141
Br1Cu1_ICSD_30091,9.510710000000001
Ga3Hf3Nb2_ICSD_103733,84.6381
Al3La1Pd2_ICSD_105500,49.6809
Ag1In2Na3_ICSD_170868,9.28715
S1Zn1_ICSD_15478,36.0505
Ni1Zn1_ICSD_105470,60.7938
As1Ti3_ICSD_611501,49.0941
O3Tb2_ICSD_27995,61.7629
Al3Zr4_ICSD_150529,79.7546
O1Sr1_ICSD_105548,55.0536
B4H16Hf1_ICSD_35379,5.81964
K1Sb1Zn1_ICSD_12161,17.6499
Be13U1_ICSD_107528,138.3
Ca1Ir2_ICSD_108146,69.5119
Pt1Se1Si1_ICSD_649595,70.3267
B2C2Er1_ICSD_94042,123.236
Mg1Sc1_ICSD_108583,29.1006
Mn2Si2Y1_ICSD_643695,61.8221
Sn2Tb1_ICSD_168671,35.0095
In1Ni2Ti1_ICSD_54596,51.9468
Na1Nb1S2_ICSD_26285,49.6737
O7P2Ti1_ICSD_189807,65.0563
Ag1Er1Se2_ICSD_15302,22.3381
Ru2Si2Th1_ICSD_603984,98.5712
Ge1Ir1Y1_ICSD_636761,44.416000000000004
Al1Cu2Zr1_ICSD_185282,50.4784
Ge3La1Rh1_ICSD_161872,46.1256
Ag1Al1O2_ICSD_160643,34.2327
Mn1Pd2Sn1_ICSD_104945,34.3058
Pt9Sc5Si7_ICSD_420356,72.3739
Au1Ti1_ICSD_612415,50.6617
Ge1O6Se2_ICSD_422884,34.4496
Ge1Ru1Tb1_ICSD_85912,37.3594
F1Ho1S1_ICSD_94475,57.2729
B1N1_ICSD_186248,73.2687
Ho1Te2_ICSD_639765,21.5849
In1Pt2Tb1_ICSD_640312,38.2275
Rh5Tb1_ICSD_105944,76.8101
Mn1Pd1Te1_ICSD_40908,19.2483
Ca1Ge1Zn1_ICSD_52772,40.6894
Ba1Ce1N2_ICSD_74791,51.4339
Ga1In1Te2_ICSD_600687,14.1069
As1Pu1_ICSD_44048,17.994
C1_ICSD_66468,522.474
B2Mo2Ru1_ICSD_601573,149.769
Al2Fe3Si4_ICSD_83665,108.93700000000001
Ba1Te2_ICSD_75555,15.0264
Dy3Ge4_ICSD_84342,50.5958
Ni1Sc6Te2_ICSD_90082,35.0555
Ru2Sc1_ICSD_150514,38.6035
Ge2Th3_ICSD_44503,45.9045
Ba1Ce1O3_ICSD_165826,51.9036
In1Rb1Te2_ICSD_75346,8.38727
Ce1Ir2_ICSD_102194,80.9865
Au1Dy1In1_ICSD_54951,39.035
As1Nb1_ICSD_16585,85.8105
Ge1Nb1Rh1_ICSD_637230,92.1239
B2Nb1Ni1_ICSD_614910,174.75
P1V1_ICSD_42444,90.3895
Ho1Rh1Sn1_ICSD_411821,42.5793
C1Nb4Rh2_ICSD_618493,49.0809
Dy1Ni2Si2_ICSD_630020,70.2294
Cu2Ho1In1_ICSD_102979,37.3804
Bi1Dy1_ICSD_58778,31.9971
F3Na1V1_ICSD_60611,25.5723
Cl1Na1O3_ICSD_1117,12.6469
Cs3O3Sb1_ICSD_279580,6.05069
Ho1Ni2Si2_ICSD_56232,69.8762
Al6Mn1_ICSD_150135,64.8827
Pt2Si1_ICSD_649614,35.313
As2Ba1Cu2_ICSD_236307,26.2641
Ca1Mg1Si1_ICSD_158276,40.9523
In1Na5O4_ICSD_69630,23.276
Dy1Ga3Ru1_ICSD_629734,60.1145
S4Tl3V1_ICSD_16572,9.52593
