epoch,train loss,val loss,swa
0.0,2.2896426380585128e-05,2.279110181057099e-05,n
19.0,5.289463959230585e-06,5.5905495378533235e-06,y
39.0,3.5572735792532707e-06,4.600655859246547e-06,y
59.0,2.6797201132888517e-06,4.241371693301967e-06,y
79.0,2.2122920954992406e-06,4.147862470275428e-06,y
99.0,1.8513624554999729e-06,4.025064611966257e-06,y
119.0,1.6008631556631311e-06,3.935560108992242e-06,y
139.0,1.4753838603446691e-06,3.931572087162499e-06,y
159.0,1.3356118319102561e-06,3.937597324653365e-06,y
179.0,1.2032751292442291e-06,3.978892841637339e-06,y
199.0,1.0873138754641734e-06,3.967888612880795e-06,y
219.0,1.0071444517468288e-06,3.904575630888128e-06,y
239.0,9.380144425251011e-07,3.9511465894355465e-06,y
259.0,9.098261142643475e-07,3.977730899690529e-06,y
279.0,8.378126449181316e-07,3.9508248831695236e-06,y
299.0,8.018996065770015e-07,3.97907619227116e-06,y
