estimator,mean_train_r2,std_train_r2,mean_test_r2,std_test_r2,mean_train_neg_MAE,std_train_neg_MAE,mean_test_neg_MAE,std_test_neg_MAE,mean_train_neg_RMSE,std_train_neg_RMSE,mean_test_neg_RMSE,std_test_neg_RMSE,params,mean_fit_time,mean_score_time,elem_prop,mat_prop
RandomForestRegressor,0.9369824622920399,0.001776989316031,0.6134506803004641,0.0317708200226506,-0.281443957281035,0.002618532257416393,-0.7227837055837458,0.0212180498547991,-0.4432658317675781,0.014458372777826837,-1.097749143464539,0.09632534003337044,"{'max_features': 0.1, 'n_estimators': 32}",0.9534494876861572,0.007978677749633789,mat2vec,aflow__Egap
RandomForestRegressor,0.9436905094216876,0.0010987092329556236,0.6256520410839668,0.01998135575966788,-0.27668283117727704,0.002946305031405493,-0.7143508221697156,0.01612714026361258,-0.41887364120026516,0.00586909109069444,-1.080111000681004,0.079374371117317,"{'max_features': 0.1, 'n_estimators': 64}",2.044862985610962,0.011303265889485678,mat2vec,aflow__Egap
RandomForestRegressor,0.9464269159117755,0.0011664516611695182,0.6295455122160151,0.0170186695178205,-0.2707880824849564,0.0013272994489697647,-0.7113525125100303,0.008340148432398158,-0.40876188178871126,0.014027440256745021,-1.0743230141582185,0.07418466206060793,"{'max_features': 0.1, 'n_estimators': 128}",3.860373020172119,0.017620007197062176,mat2vec,aflow__Egap
RandomForestRegressor,0.9462793567430503,0.0012397049408577837,0.6310582743546514,0.01704991045781173,-0.26996857320850465,0.001262218856256228,-0.7069859307400262,0.015299868235810999,-0.4093119163836129,0.013829163497877198,-1.0721984363719264,0.07497902578566032,"{'max_features': 0.1, 'n_estimators': 256}",7.735042730967204,0.03058513005574544,mat2vec,aflow__Egap
RandomForestRegressor,0.9459111530797523,0.0012616165151526626,0.6334204729659517,0.018250780957495803,-0.26972749072067187,0.0009266797166514114,-0.7053882548974029,0.01536356790975652,-0.4106819406982463,0.012972321332966684,-1.0688020658356712,0.07664809857074452,"{'max_features': 0.1, 'n_estimators': 512}",15.413332859675089,0.05684812863667806,mat2vec,aflow__Egap
RandomForestRegressor,0.9440073085038444,0.0019514786839459446,0.6315805759256471,0.025431148730901635,-0.26730684176742253,0.002833249372219463,-0.6904850080029191,0.02606758309288303,-0.41780967259189744,0.014134970577497106,-1.0716591410709733,0.08719981154863805,"{'max_features': 0.25, 'n_estimators': 32}",2.4391423066457114,0.0073138078053792315,mat2vec,aflow__Egap
RandomForestRegressor,0.9422535223756464,0.005254954415910739,0.6376448162760361,0.020381023283842344,-0.2692208972997859,0.0035659388258674233,-0.6891804253472559,0.014931227267242097,-0.42396989602040686,0.023175810855709567,-1.062527347892666,0.07768872134906489,"{'max_features': 0.25, 'n_estimators': 64}",4.883734385172526,0.010970830917358398,mat2vec,aflow__Egap
RandomForestRegressor,0.9457631391491589,0.0031631003186546143,0.6409453490132432,0.015034772509597073,-0.26523412529696855,0.00024023561896567867,-0.685547035186382,0.014983412110552312,-0.4109770540492424,0.013838279683391559,-1.0576763311765671,0.0716472076098908,"{'max_features': 0.25, 'n_estimators': 128}",9.488070249557495,0.01761937141418457,mat2vec,aflow__Egap
RandomForestRegressor,0.9477226212842765,0.001240235400422585,0.6337790807954846,0.016031816270942505,-0.2630335593487476,0.002529897986444411,-0.6947455265614216,0.01286099233256547,-0.4037075315825304,0.011534260460182796,-1.0682034520067782,0.07337132071424604,"{'max_features': 0.25, 'n_estimators': 256}",19.081115245819092,0.029919942220052082,mat2vec,aflow__Egap
RandomForestRegressor,0.947853974814815,0.0017753029456429935,0.6414460576689769,0.018578995393564886,-0.26288106303287456,0.00048129663591330604,-0.6892267437763931,0.014671594551591512,-0.40321668849761133,0.013888993811444837,-1.057060719288012,0.07688533927291577,"{'max_features': 0.25, 'n_estimators': 512}",38.7633490562439,0.0561830997467041,mat2vec,aflow__Egap
RandomForestRegressor,0.9436039507883437,0.0027442198613987444,0.6272420879548416,0.015477303785563903,-0.26709772391910014,0.0027888598208430553,-0.6946072306229313,0.016739438828495122,-0.4191041853303991,0.011545548466190464,-1.0776591762598366,0.0727485873884586,"{'max_features': 0.33, 'n_estimators': 32}",3.250171184539795,0.006981452306111653,mat2vec,aflow__Egap
RandomForestRegressor,0.94634024893196,0.0011388692755854694,0.6380540855587108,0.019939552993254207,-0.2651509054142457,0.0016284875391584948,-0.6894941169381946,0.02722254738210333,-0.4089485830577211,0.008848436183799397,-1.0620661172965289,0.07860187861089822,"{'max_features': 0.33, 'n_estimators': 64}",6.271621227264404,0.0109712282816569,mat2vec,aflow__Egap
RandomForestRegressor,0.9467593641676079,0.004411118945715533,0.6368667075834957,0.014684183869396213,-0.26111245948037715,0.00290692572378239,-0.687327557120339,0.01756271537368778,-0.40719494444811755,0.021563454723293372,-1.0636421210715217,0.0710825429416938,"{'max_features': 0.33, 'n_estimators': 128}",12.569965362548828,0.016955216725667317,mat2vec,aflow__Egap
RandomForestRegressor,0.9472648054305518,0.0016402857409265634,0.6420895873097013,0.01963949154969807,-0.26174017682647427,0.0017813829357236867,-0.6858813761911957,0.0182205525318683,-0.4054623408689222,0.012615842717155646,-1.0561473046066765,0.07843617836285877,"{'max_features': 0.33, 'n_estimators': 256}",25.228758970896404,0.030585050582885742,mat2vec,aflow__Egap
RandomForestRegressor,0.9481742218682688,0.001514187103992672,0.6400161089742212,0.017634928361340965,-0.26087414891703103,0.0010033790121314937,-0.6875741752875806,0.018136648271573342,-0.40204028332634884,0.014820409264031307,-1.0591372522473148,0.07550477119562618,"{'max_features': 0.33, 'n_estimators': 512}",52.824363787968956,0.05916547775268555,mat2vec,aflow__Egap
