estimator,mean_train_r2,std_train_r2,mean_test_r2,std_test_r2,mean_train_neg_MAE,std_train_neg_MAE,mean_test_neg_MAE,std_test_neg_MAE,mean_train_neg_RMSE,std_train_neg_RMSE,mean_test_neg_RMSE,std_test_neg_RMSE,params,mean_fit_time,mean_score_time,elem_prop,mat_prop
RandomForestRegressor,0.9197501973100857,0.010537103654361408,0.5875482229148902,0.0381567388337776,-31.19094419219154,0.9834550799516294,-73.60938290177698,5.122463811224632,-53.94958091698273,4.586252378290812,-122.47217927885534,12.648013416787514,"{'max_features': 0.1, 'n_estimators': 32}",0.8869616190592448,0.007978598276774088,mat2vec,aflow__ael_debye_temperature
RandomForestRegressor,0.9278530960136219,0.007606781982659365,0.5977387341044139,0.04065664205286532,-29.6594713933745,0.8863025760074338,-71.78752526047056,4.793778516434863,-51.169334896204155,3.5062413055635284,-120.95436455263302,13.01165885654511,"{'max_features': 0.1, 'n_estimators': 64}",1.8246181805928547,0.012632369995117188,mat2vec,aflow__ael_debye_temperature
RandomForestRegressor,0.9333390899105979,0.0059394990402792235,0.6051871687165649,0.03388059321698385,-28.834530613838755,0.8329230097432743,-71.00647124981147,4.61763698886525,-49.217279411646736,3.3225894254128745,-119.81975908017235,11.972927631314528,"{'max_features': 0.1, 'n_estimators': 128}",3.5347063541412354,0.019946575164794922,mat2vec,aflow__ael_debye_temperature
RandomForestRegressor,0.9322469936424191,0.0068068875957960195,0.6058292214635931,0.03688386636098483,-28.602182031284713,1.0586728191910153,-70.88894534089113,4.642502337282466,-49.6182771837656,3.743290279996004,-119.72814489751414,12.43220631853946,"{'max_features': 0.1, 'n_estimators': 256}",7.339938084284465,0.03656935691833496,mat2vec,aflow__ael_debye_temperature
RandomForestRegressor,0.9335107559861592,0.004995540230701933,0.6097372735342851,0.036875040322128974,-28.497003520304187,0.9992386736243251,-70.41742480593952,4.641036840129157,-49.15589170943695,2.8922098745692817,-119.13217899411814,12.419030633941798,"{'max_features': 0.1, 'n_estimators': 512}",14.195280949274698,0.08145697911580403,mat2vec,aflow__ael_debye_temperature
RandomForestRegressor,0.9283762170395317,0.0076274469289383025,0.5931930346801312,0.03067428914060103,-29.948352527556413,1.2189949597317917,-72.30274022454985,4.112448092982732,-51.000171534006434,3.8191905744161905,-121.61325662852799,11.51506193893563,"{'max_features': 0.25, 'n_estimators': 32}",2.155892531077067,0.00831135114034017,mat2vec,aflow__ael_debye_temperature
RandomForestRegressor,0.9299921665095782,0.008686808504467335,0.611374256604844,0.03699317841248442,-28.90223291968131,1.4479357726581084,-70.61714438824066,4.525226363300679,-50.4169215072379,4.413150852617958,-118.8785642112508,12.405086911401105,"{'max_features': 0.25, 'n_estimators': 64}",4.3038318157196045,0.01263268788655599,mat2vec,aflow__ael_debye_temperature
RandomForestRegressor,0.9320763240233618,0.006449493216419894,0.6155516579927922,0.04216034200312324,-28.581711151499206,1.3312026774780574,-70.07117526715463,4.654296169692377,-49.68101312817779,3.5552685991594077,-118.24829508277247,13.230385171156444,"{'max_features': 0.25, 'n_estimators': 128}",8.308480501174927,0.01961485544840495,mat2vec,aflow__ael_debye_temperature
RandomForestRegressor,0.9329272888049731,0.0067423408130368465,0.6146382953186823,0.04105270624785966,-28.33506374175539,1.1863255035544968,-69.87313487792083,4.596883171542111,-49.36700091354509,3.7017049683584715,-118.3804783457479,13.002592579259764,"{'max_features': 0.25, 'n_estimators': 256}",18.194059292475384,0.035239060719807945,mat2vec,aflow__ael_debye_temperature
RandomForestRegressor,0.9330320228700443,0.006360309988631271,0.6195377642517157,0.041983765113521504,-28.21082352451884,1.2068599084866023,-69.25674666672349,4.787740131560974,-49.33737504518209,3.6457622492676713,-117.63364452335558,13.201623980928023,"{'max_features': 0.25, 'n_estimators': 512}",33.14085205396017,0.06515828768412273,mat2vec,aflow__ael_debye_temperature
