estimator,mean_train_r2,std_train_r2,mean_test_r2,std_test_r2,mean_train_neg_MAE,std_train_neg_MAE,mean_test_neg_MAE,std_test_neg_MAE,mean_train_neg_RMSE,std_train_neg_RMSE,mean_test_neg_RMSE,std_test_neg_RMSE,params,mean_fit_time,mean_score_time,elem_prop,mat_prop
RandomForestRegressor,0.9199898678993385,0.0038305836238945214,0.5786081702207834,0.03421059733756039,-7.535681259991488,0.3087331007611913,-17.651108819848986,0.6681599525210962,-12.074863679711298,0.49488180263737025,-27.6896150990839,2.101206685681486,"{'max_features': 0.1, 'n_estimators': 32}",0.8799787362416586,0.007978598276774088,mat2vec,aflow__ael_shear_modulus_vrh
RandomForestRegressor,0.9253841768607652,0.004807501545224234,0.5992362128881993,0.03482083987393976,-7.2023600089819055,0.25526086548202187,-17.314810859733594,0.6630799685243716,-11.659687856177198,0.5739667951291416,-27.000750041605794,2.094668658462606,"{'max_features': 0.1, 'n_estimators': 64}",2.0748252868652344,0.014967759450276693,mat2vec,aflow__ael_shear_modulus_vrh
RandomForestRegressor,0.9271943997097508,0.0055067453238300985,0.5994125535016169,0.03391870549487838,-7.1047758001556245,0.3034721274944602,-17.287110738181344,0.5312517004603912,-11.514554930936027,0.6054851607248467,-26.990457837568567,2.0002318683510536,"{'max_features': 0.1, 'n_estimators': 128}",3.493420441945394,0.019614299138387043,mat2vec,aflow__ael_shear_modulus_vrh
RandomForestRegressor,0.9274804654226981,0.0039029102899618188,0.6024274515356808,0.03564096438286211,-7.052376841857985,0.2658580114054189,-17.210391505461963,0.49843987540749285,-11.49388463047712,0.4714511711467675,-26.88862266733403,2.0669336126126083,"{'max_features': 0.1, 'n_estimators': 256}",8.148627599080404,0.034907023111979164,mat2vec,aflow__ael_shear_modulus_vrh
RandomForestRegressor,0.9285610496107513,0.0027699228985786873,0.6006950489070699,0.03575793781086867,-7.041090078764211,0.22731991794392067,-17.197411293408816,0.5611199626945862,-11.408191865414826,0.36411222645568797,-26.948833774900226,2.092963602307463,"{'max_features': 0.1, 'n_estimators': 512}",13.919225772221884,0.06615622838338216,mat2vec,aflow__ael_shear_modulus_vrh
RandomForestRegressor,0.91558079618297,0.0047544704807858315,0.5824840795979135,0.035539069725341266,-7.537094987380108,0.35915245351567904,-17.476162712164925,0.7216445416585596,-12.402648729344692,0.5604524700937334,-27.55284724811212,2.021983865552462,"{'max_features': 0.25, 'n_estimators': 32}",2.034571965535482,0.007978598276774088,mat2vec,aflow__ael_shear_modulus_vrh
RandomForestRegressor,0.924313954284561,0.003512824206649413,0.595616220484616,0.027138396420782026,-7.140198832652762,0.23523155450347222,-17.158505053578036,0.615912416691601,-11.744101525660815,0.47290453492498613,-27.120180512191954,1.789079678290728,"{'max_features': 0.25, 'n_estimators': 64}",4.086438894271851,0.011968294779459635,mat2vec,aflow__ael_shear_modulus_vrh
RandomForestRegressor,0.9289843138650938,0.004546312498772569,0.5992528079358158,0.03682646855482437,-7.027821866224161,0.31870013100258343,-17.184250493323574,0.6623255960772155,-11.372041095949292,0.502055759988316,-26.997609690690194,2.1351555882288697,"{'max_features': 0.25, 'n_estimators': 128}",8.16157062848409,0.01961350440979004,mat2vec,aflow__ael_shear_modulus_vrh
RandomForestRegressor,0.9292589044228438,0.0051124333273230614,0.601007500458246,0.04009927429093847,-6.986679051609737,0.27983333176436015,-17.052355498048787,0.6069177585291851,-11.350729384053613,0.5803321214603346,-26.933354949567146,2.1996053819111685,"{'max_features': 0.25, 'n_estimators': 256}",16.380933046340942,0.03490630785624186,mat2vec,aflow__ael_shear_modulus_vrh
RandomForestRegressor,0.9284139896638677,0.002623106702277961,0.6028401392805515,0.033989442967859086,-6.969366613013151,0.2562532048456922,-17.032871353489384,0.6249608234263716,-11.421403101325415,0.39411810775294276,-26.876628933058253,2.031099539399866,"{'max_features': 0.25, 'n_estimators': 512}",32.66860238711039,0.0654912789662679,mat2vec,aflow__ael_shear_modulus_vrh
RandomForestRegressor,0.921329571978311,0.006989290276038204,0.5953537520378284,0.04464443226294795,-7.290402113646276,0.283863974181442,-17.41394120824724,0.5706962473345739,-11.963534946733303,0.6528333220064755,-27.117964429959784,2.310316734202555,"{'max_features': 0.33, 'n_estimators': 32}",2.667864720026652,0.007977167765299479,mat2vec,aflow__ael_shear_modulus_vrh
RandomForestRegressor,0.9235212414531858,0.0032072858429275175,0.5974776216759735,0.0371354603898686,-7.165337884232227,0.3135863724297167,-17.220361630906627,0.7060835950938912,-11.804703762945467,0.42703312855599945,-27.05524636497248,2.1170740394355336,"{'max_features': 0.33, 'n_estimators': 64}",5.3134541511535645,0.011967817942301432,mat2vec,aflow__ael_shear_modulus_vrh
