estimator,mean_train_r2,std_train_r2,mean_test_r2,std_test_r2,mean_train_neg_MAE,std_train_neg_MAE,mean_test_neg_MAE,std_test_neg_MAE,mean_train_neg_RMSE,std_train_neg_RMSE,mean_test_neg_RMSE,std_test_neg_RMSE,params,mean_fit_time,mean_score_time,elem_prop,mat_prop
RandomForestRegressor,0.9390480341631005,0.002625304759819817,0.6180722590403219,0.006446443804012154,-5.394446014003836e-06,1.87565723359412e-07,-1.3029517101134802e-05,4.086108156772964e-07,-9.983333687847342e-06,2.0754271765253084e-07,-2.4984182969950863e-05,5.805188808562856e-07,"{'max_features': 0.1, 'n_estimators': 32}",0.9381570816040039,0.00831135114034017,mat2vec,aflow__agl_thermal_expansion_300K
RandomForestRegressor,0.9429986667994489,0.0068753382845261135,0.6260229483559914,0.012928962319665373,-5.052005111182879e-06,1.944266298509511e-07,-1.288131277672142e-05,5.927126150587519e-07,-9.637738952004283e-06,5.40865104563511e-07,-2.4720257217095805e-05,7.005890941545074e-07,"{'max_features': 0.1, 'n_estimators': 64}",1.8670385678609211,0.012300411860148111,mat2vec,aflow__agl_thermal_expansion_300K
RandomForestRegressor,0.9441407165755207,0.0072884438322347485,0.6400098582260569,0.007672985626334775,-4.97112566511722e-06,1.7966713876172163e-07,-1.2593243438955722e-05,4.28980112411761e-07,-9.53795636341418e-06,5.898793090145239e-07,-2.4257062938100957e-05,6.488910518850759e-07,"{'max_features': 0.1, 'n_estimators': 128}",3.7553393840789795,0.01928257942199707,mat2vec,aflow__agl_thermal_expansion_300K
RandomForestRegressor,0.9449104693329723,0.00319742805721378,0.6408250932975305,0.005630021100017309,-4.924282581704678e-06,1.419130064930099e-07,-1.2502946321411252e-05,5.116087888657653e-07,-9.486844559899728e-06,1.6497127935303672e-07,-2.4236442741791555e-05,8.241971312050077e-07,"{'max_features': 0.1, 'n_estimators': 256}",7.464073737462361,0.035572210947672524,mat2vec,aflow__agl_thermal_expansion_300K
RandomForestRegressor,0.9450589302081832,0.004039957263476851,0.6417489503426489,0.004139897057941816,-4.892749766108249e-06,1.6172359395117155e-07,-1.2458791320718912e-05,4.477609954572955e-07,-9.471763993952655e-06,2.6372966388739877e-07,-2.4203319720946643e-05,7.444792532659425e-07,"{'max_features': 0.1, 'n_estimators': 512}",14.909571329752604,0.06648890177408855,mat2vec,aflow__agl_thermal_expansion_300K
RandomForestRegressor,0.9353969455935762,0.005801079206415665,0.6390687831100004,0.010859349055505375,-5.206952243033184e-06,1.9594542107744067e-07,-1.2566040375212057e-05,4.0006407454611195e-07,-1.0265919843575662e-05,3.4523037322368235e-07,-2.4282306005946066e-05,4.920789770503921e-07,"{'max_features': 0.25, 'n_estimators': 32}",2.1655399799346924,0.00797883669535319,mat2vec,aflow__agl_thermal_expansion_300K
RandomForestRegressor,0.9441628891114103,0.0039552362211105726,0.6532145110223647,0.014635570032237583,-4.943485632547743e-06,1.847547681823323e-07,-1.2459217468573269e-05,5.162549133932979e-07,-9.548056287698233e-06,2.1857723438938913e-07,-2.3794695989622576e-05,3.8889805394550945e-07,"{'max_features': 0.25, 'n_estimators': 64}",4.399964888890584,0.012300650278727213,mat2vec,aflow__agl_thermal_expansion_300K
RandomForestRegressor,0.9431175198218456,0.004387225268026394,0.6615697210654904,0.011417000329851063,-4.91248983603139e-06,1.845855916396964e-07,-1.204406854813712e-05,4.869313383258326e-07,-9.637867608853736e-06,3.1523136211386787e-07,-2.350914985101278e-05,3.060629613729183e-07,"{'max_features': 0.25, 'n_estimators': 128}",8.729367335637411,0.019614378611246746,mat2vec,aflow__agl_thermal_expansion_300K
RandomForestRegressor,0.945996660419194,0.0029385553453116853,0.6608413704323424,0.007061802207277361,-4.825296133279097e-06,1.7053908927734894e-07,-1.2136614310384334e-05,5.399869048215168e-07,-9.395976453137933e-06,2.575165759968668e-07,-2.354131644617017e-05,4.7481951153759004e-07,"{'max_features': 0.25, 'n_estimators': 256}",17.476364692052204,0.03523914019266764,mat2vec,aflow__agl_thermal_expansion_300K
RandomForestRegressor,0.9467832755322796,0.003161788020094372,0.6623504051242789,0.012040422715642854,-4.7782824144247875e-06,1.5672798917174687e-07,-1.2102139012077688e-05,5.749769315212499e-07,-9.324870504191277e-06,2.0698758756511842e-07,-2.348230807227051e-05,3.8782643312158695e-07,"{'max_features': 0.25, 'n_estimators': 512}",38.821410179138184,0.06948089599609375,mat2vec,aflow__agl_thermal_expansion_300K
