estimator,mean_train_r2,std_train_r2,mean_test_r2,std_test_r2,mean_train_neg_MAE,std_train_neg_MAE,mean_test_neg_MAE,std_test_neg_MAE,mean_train_neg_RMSE,std_train_neg_RMSE,mean_test_neg_RMSE,std_test_neg_RMSE,params,mean_fit_time,mean_score_time,elem_prop,mat_prop
RandomForestRegressor,0.12901105180911596,0.055719813247157794,-0.8449668259551064,0.5527001154785647,-211.5264017802057,35.584144434804955,-294.7495704069882,63.678963816649116,-282.9434496729929,48.750371147326376,-378.0232203986852,93.66072481279664,"{'max_features': 0.1, 'n_estimators': 32}",0.036900997161865234,0.00498509407043457,mat2vec,steels_yield
RandomForestRegressor,0.12931400035515073,0.0561463256112139,-0.7953557642676133,0.5177473482322996,-211.4681227257378,35.62630300564799,-291.0342651775768,63.18327399401921,-282.8932429952808,48.76684851198659,-373.47846319456556,92.79452435504986,"{'max_features': 0.1, 'n_estimators': 64}",0.0701454480489095,0.0063165028889973955,mat2vec,steels_yield
RandomForestRegressor,0.12974526677331946,0.05619347379376978,-0.8085447827555842,0.4885126606133227,-211.13590853031715,35.91942184092448,-292.65588975498804,62.995134120453464,-282.826008926909,48.773938815016585,-375.4843042191697,92.93652326876307,"{'max_features': 0.1, 'n_estimators': 128}",0.13596955935160318,0.009308338165283203,mat2vec,steels_yield
RandomForestRegressor,0.12955562248629934,0.05605565050026553,-0.8226901888791677,0.5358359370043948,-211.42435782752122,35.84520668632841,-292.3912065103647,64.93906326999327,-282.8639998545485,48.804860324160096,-376.3211045778205,94.2959615050386,"{'max_features': 0.1, 'n_estimators': 256}",0.268604834874471,0.013962507247924805,mat2vec,steels_yield
RandomForestRegressor,0.12965893234095993,0.05615820182987211,-0.8007741596538848,0.4916658609920448,-211.27550669126276,35.953753344615926,-292.1925489729147,63.706555900341854,-282.8418035643486,48.78239631013175,-374.8196883264777,93.59906116365642,"{'max_features': 0.1, 'n_estimators': 512}",0.533240556716919,0.024600426355997723,mat2vec,steels_yield
RandomForestRegressor,0.1289527651049748,0.05571298237358951,-0.7231591422306757,0.4071459547505381,-211.25990572946785,35.63161820296918,-288.0513873395719,61.77024988844152,-282.96935327682297,48.8331037242514,-367.9566151953975,91.9167552302407,"{'max_features': 0.25, 'n_estimators': 32}",0.04288800557454427,0.00498501459757487,mat2vec,steels_yield
RandomForestRegressor,0.12918028740032472,0.056325108449281965,-0.8759542248828446,0.5617777822662592,-211.65624237840169,36.650479336771895,-295.4531835275413,63.47545838711032,-282.9275615296146,48.84471374510363,-380.73038321499945,92.90481506786666,"{'max_features': 0.25, 'n_estimators': 64}",0.08244530359903972,0.005983829498291016,mat2vec,steels_yield
RandomForestRegressor,0.12965118213936713,0.05595766815078912,-0.825946343997732,0.5352239106140108,-211.44949256976477,35.736006544733286,-293.2293746941975,64.10038338053933,-282.84597574892365,48.78359735871837,-376.55378540968394,93.91223887231544,"{'max_features': 0.25, 'n_estimators': 128}",0.16057236989339194,0.008642991383870443,mat2vec,steels_yield
RandomForestRegressor,0.1297151858256024,0.056071596981815734,-0.8190838520293887,0.5234602794095052,-211.4464563267691,35.83550338566808,-293.1675078213272,64.34489055988425,-282.83513349728236,48.78753124235431,-376.1497211362812,94.0415458474198,"{'max_features': 0.25, 'n_estimators': 256}",0.3191463152567546,0.014294942220052084,mat2vec,steels_yield
RandomForestRegressor,0.12971190725887935,0.05614976044288048,-0.7895665543400995,0.48446911019269784,-211.34187263316133,35.99773081015613,-291.3684028669416,63.19698478415428,-282.8382221879063,48.80557654156087,-373.72988878315056,93.28827788808073,"{'max_features': 0.25, 'n_estimators': 512}",0.6339719295501709,0.024600108464558918,mat2vec,steels_yield
RandomForestRegressor,0.12761223542559294,0.0554372132463905,-0.8850508347301224,0.6151796146394171,-211.69295000638726,35.97736816712304,-297.3107853935398,67.6645247313341,-283.1960193742063,48.89140177059848,-381.5821967323232,96.90752504748025,"{'max_features': 0.33, 'n_estimators': 32}",0.045876105626424156,0.00498660405476888,mat2vec,steels_yield
RandomForestRegressor,0.12902177581801214,0.05618534853301594,-0.8234458670440418,0.5142429395913658,-211.54084704374756,36.31900583010561,-292.26844256781357,63.942433552897946,-282.9437117216034,48.79132652022181,-376.6725603410461,93.63497263952911,"{'max_features': 0.33, 'n_estimators': 64}",0.08842992782592773,0.005984385808308919,mat2vec,steels_yield
RandomForestRegressor,0.12934476712623755,0.05608928803280823,-0.7923468960198523,0.44044437640792944,-211.53537841853412,36.36400149716323,-291.9884128839648,61.17917441548601,-282.9010713609047,48.82610298006673,-374.27909649135404,91.27276820805473,"{'max_features': 0.33, 'n_estimators': 128}",0.1735359032948812,0.008643150329589844,mat2vec,steels_yield
RandomForestRegressor,0.1292784795404329,0.056020847785992894,-0.7750948378393993,0.442061583797701,-211.93677143312763,36.132708089426075,-291.4732520708324,61.80386653694505,-282.9077067277066,48.802528142633626,-372.48220402527613,91.24127559175294,"{'max_features': 0.33, 'n_estimators': 256}",0.3437503178914388,0.013959646224975586,mat2vec,steels_yield
RandomForestRegressor,0.12966131384557697,0.05621649349640414,-0.814989304519941,0.5239997061777409,-211.42143599224676,35.91061885540629,-292.5122483349393,64.36950590786323,-282.844883512261,48.80351124554443,-375.72514837204443,94.05936913891502,"{'max_features': 0.33, 'n_estimators': 512}",0.6838370164235433,0.023936112721761067,mat2vec,steels_yield
