,actual_hardness,predicted_hardness,y_std,load,formula
0,1.809999942779541,14.556047439575195,15.098305702209473,0.49,Ag0.05Gd0.048Pd0.902
1,1.6399999856948853,6.091520309448242,8.910743713378906,0.49,Ag0.05Y0.048Pd0.902
2,0.578000009059906,4.758641242980957,12.738800048828125,2.94,Ag0.25Pb0.5Sb0.25Te
3,15.029999732971191,16.44896125793457,16.232789993286133,0.98,Al1.5Si1.5N2.5O1.5
5,20.700000762939453,27.03908920288086,11.143830299377441,0.25,Al3BC3
6,18.200000762939453,26.923725128173828,11.07352066040039,0.49,Al3BC3
7,11.100000381469727,22.810468673706055,8.337479591369629,10.0,Al3BC3
8,33.0,20.660053253173828,7.406527042388916,1.96,Al3C2B48
9,27.0,17.882896423339844,8.54366397857666,1.96,AlB12
10,33.5,15.91200065612793,10.081724166870117,0.98,AlMgB14
11,28.200000762939453,21.184600830078125,9.712389945983887,9.8,AlMgB14
12,18.0,3.811448097229004,17.444429397583008,0.5,AlN
13,12.010000228881836,3.8343963623046875,17.394412994384766,0.98,AlN
14,4.0,8.759757995605469,6.031372547149658,0.98,AlSb
15,1.0700000524520874,8.403100967407227,21.94670867919922,9.8,Au0.5Pt0.5
16,0.49000000953674316,27.211856842041016,10.245970726013184,0.25,Au0.98Co0.02
18,2.549999952316284,13.063566207885742,14.304061889648438,0.49,AuSn2
19,0.7400000095367432,2.3638362884521484,2.803849220275879,0.49,AuSn4
20,3.5799999237060547,5.269240379333496,11.246845245361328,0.98,AuTiAl
21,8.829999923706055,19.14094352722168,30.99459457397461,0.49,AuV3
22,44.38399887084961,22.741151809692383,31.491186141967773,0.49,B13N2
23,42.01943588256836,22.89701271057129,31.555381774902344,0.98,B13N2
24,41.693199157714844,23.21515464782715,31.72562599182129,1.96,B13N2
25,40.970001220703125,23.866832733154297,32.19491958618164,3.92,B13N2
26,39.31999969482422,15.849014282226562,21.52651596069336,0.49,B50Fe
27,54.0,30.53274154663086,8.631016731262207,0.25,B6O
28,53.0,30.300567626953125,8.617201805114746,0.49,B6O
29,45.0,29.82613754272461,8.590873718261719,0.98,B6O
30,29.420000076293945,24.13137435913086,16.175355911254883,0.29,BaB6
31,5.099999904632568,17.235586166381836,18.161510467529297,9.8,BaHfO3
32,5.0,2.7954578399658203,2.4155991077423096,9.8,BaSnO3
33,71.0,14.205751419067383,12.697702407836914,4.9,BC2N
34,67.0,25.98968505859375,11.743026733398438,4.9,BC5
35,4.900000095367432,9.64509391784668,8.683046340942383,0.98,Be12Nb
36,7.059999942779541,4.050390243530273,12.384662628173828,0.98,Be12Ta
37,8.729999542236328,4.246915817260742,11.092348098754883,0.98,Be2B
38,55.965999603271484,12.60494613647461,11.001782417297363,0.96,BN
39,53.75600051879883,12.584484100341797,10.863651275634766,1.96,BN
40,51.305999755859375,12.55219841003418,10.717185974121094,2.94,BN
41,26.479999542236328,24.650005340576172,28.195301055908203,0.29,CaB6
42,1.2699999809265137,4.00648307800293,2.6356990337371826,0.98,Cd2Gd
43,2.75,9.036825180053711,9.676299095153809,0.98,Cd3Gd
45,2.990000009536743,17.684165954589844,11.512508392333984,0.98,Cd6Gd
46,1.4700000286102295,2.335940361022949,15.080940246582031,0.98,CdGd
48,6.099999904632568,11.04400634765625,10.44690227508545,0.02,Ce0.5U0.5O2
49,6.045000076293945,4.762320518493652,9.823526382446289,9.8,Ce0.8Gd0.2O1.9
