,actual_hardness,predicted_hardness,y_std,load,formula
0,1.81,2.421972,0.33726156,0.0,Ag0.05Gd0.048Pd0.902
1,1.64,3.635863,0.33257955,0.0,Ag0.05Y0.048Pd0.902
3,15.03,20.92568,2.140247,0.0,Al1.5Si1.5N2.5O1.5
4,23.8,26.80995,1.7865789,0.0,Al1.67B22
5,20.7,25.328934,0.21130162,0.0,Al3BC3
6,18.2,25.328934,0.21130162,0.0,Al3BC3
7,11.1,25.328934,0.21130162,0.0,Al3BC3
9,27.0,24.440735,2.0626116,0.0,AlB12
10,33.5,27.171017,1.6503367,0.0,AlMgB14
11,28.2,27.171017,1.6503367,0.0,AlMgB14
15,1.07,2.82777,0.354924,0.0,Au0.5Pt0.5
16,0.49,1.052935,1e-04,0.0,Au0.98Co0.02
17,1.42,0.9904052,0.6132318,0.0,AuSn
18,2.55,0.49574447,0.3158738,0.0,AuSn2
19,0.74,3.1052551,0.45515493,0.0,AuSn4
20,3.58,6.3153887,0.55227077,0.0,AuTiAl
21,8.83,4.835156,0.04615601,0.0,AuV3
22,44.384,48.686993,2.1575975,0.0,B13N2
23,42.019435,48.686993,2.1575975,0.0,B13N2
24,41.6932,48.686993,2.1575975,0.0,B13N2
25,40.97,48.686993,2.1575975,0.0,B13N2
26,39.32,38.653706,1.6884346,0.0,B50Fe
27,54.0,39.711803,1.5274845,0.0,B6O
28,53.0,39.711803,1.5274845,0.0,B6O
29,45.0,39.711803,1.5274845,0.0,B6O
30,29.42,25.124804,2.0021749,0.0,BaB6
31,5.1,6.5593667,1.3898456,0.0,BaHfO3
32,5.0,6.162241,1.0290298,0.0,BaSnO3
33,71.0,57.752625,3.536123,0.0,BC2N
34,67.0,54.258926,2.0220318,0.0,BC5
35,4.9,6.4194245,2.6269712,0.0,Be12Nb
36,7.06,6.6937394,2.3363361,0.0,Be12Ta
37,8.73,24.006075,2.4011898,0.0,Be2B
38,55.966,45.335968,2.384435,0.0,BN
39,53.756,45.335968,2.384435,0.0,BN
40,51.306,45.335968,2.384435,0.0,BN
42,1.27,2.7536867,0.503166,0.0,Cd2Gd
