,actual_hardness,predicted_hardness,y_std,load,formula
0,1.81,2.7959845,0.42822057,0.49,Ag0.05Gd0.048Pd0.902
1,1.64,3.5136595,0.54707676,0.49,Ag0.05Y0.048Pd0.902
3,15.03,24.514757,2.0980067,0.98,Al1.5Si1.5N2.5O1.5
4,23.8,27.062357,1.0448261,2.0,Al1.67B22
5,20.7,36.631973,1e-04,0.25,Al3BC3
6,18.2,35.76836,1e-04,0.49,Al3BC3
7,11.1,24.637701,0.036521345,10.0,Al3BC3
9,27.0,24.339233,1.0165414,1.96,AlB12
10,33.5,30.83637,1.2534593,0.98,AlMgB14
11,28.2,24.843355,1.3440843,9.8,AlMgB14
15,1.07,0.96700704,0.964339,9.8,Au0.5Pt0.5
16,0.49,3.6631987,0.10309423,0.25,Au0.98Co0.02
17,1.42,1.0308788,0.7962483,0.49,AuSn
18,2.55,1.176409,0.47486055,0.49,AuSn2
19,0.74,3.4679108,0.4644223,0.49,AuSn4
20,3.58,5.943159,0.5491112,0.98,AuTiAl
21,8.83,5.7039714,0.45977318,0.49,AuV3
22,44.384,56.28305,2.6924357,0.49,B13N2
23,42.019435,51.886307,2.414932,0.98,B13N2
24,41.6932,50.21512,2.3625224,1.96,B13N2
25,40.97,49.02333,2.348749,3.92,B13N2
26,39.32,38.43173,1.5090796,0.49,B50Fe
27,54.0,40.58036,2.041081,0.25,B6O
28,53.0,39.624466,2.011632,0.49,B6O
29,45.0,38.239918,2.2553926,0.98,B6O
30,29.42,30.731936,1.7256494,0.29,BaB6
31,5.1,5.2063403,1.1878761,9.8,BaHfO3
32,5.0,7.315307,1.1338907,9.8,BaSnO3
33,71.0,52.895607,3.9955196,4.9,BC2N
34,67.0,55.676792,2.4340308,4.9,BC5
35,4.9,9.107084,2.9161687,0.98,Be12Nb
36,7.06,5.4463735,2.3573706,0.98,Be12Ta
37,8.73,30.71319,3.0777984,0.98,Be2B
38,55.966,53.437943,2.7572515,0.96,BN
39,53.756,52.15336,2.7632542,1.96,BN
40,51.306,52.40566,2.752505,2.94,BN
42,1.27,2.9043214,0.4521547,0.98,Cd2Gd
43,2.75,3.1144786,0.6214891,0.98,Cd3Gd
44,3.97,1.2054404,0.44846824,0.98,Cd45Gd11
45,2.99,1.2289894,0.4819415,0.98,Cd6Gd
46,1.47,2.2446172,0.9189739,0.98,CdGd
47,0.59,0.5946868,0.86484265,0.25,CdTe
48,6.1,10.701896,1.5759605,0.02,Ce0.5U0.5O2
49,6.045,7.248683,0.69401276,9.8,Ce0.8Gd0.2O1.9
50,6.799,6.493233,0.5780843,9.8,Ce0.8Nd0.2O1.9
51,9.0,8.718061,1.6285383,1.96,CeAlO3
52,30.79,25.802961,1.7953761,0.29,CeB6
53,18.65,22.063465,1.4116895,1.96,CeB6
54,0.98,3.9534473,1.1919978,2.942,CeC2
55,7.2,7.2764764,0.35239738,1.96,CeGaO3
56,6.8,6.9366713,0.527835,0.49,CeMn2Si2
57,2.0,3.7849507,0.30373138,2.942,CeRh3
58,5.5,3.9576423,0.98641133,2.942,CeRh3B
59,0.96,-0.1733417,0.54312694,9.8,Co0.7Pt0.3
60,11.28,11.567872,1.8445438,0.49,Co2B
61,11.28,11.165104,1.3584499,0.49,Co3B
62,11.28,17.52095,1.2464958,0.49,CoB
63,25.25,24.718912,1.0238209,0.49,CoB2
64,37.07,39.185623,1.4785699,0.49,CoB50
65,50.92855526,53.176117,2.333427,0.49,Cr0.05W0.95B4
66,46.45652707,43.67915,1.6565877,0.98,Cr0.05W0.95B4
67,37.69876855,37.865982,1.0904516,1.96,Cr0.05W0.95B4
68,35.6180058,34.893467,0.87934315,2.94,Cr0.05W0.95B4
69,31.92237464,32.321373,0.7186082,4.9,Cr0.05W0.95B4
70,1.11,0.9641976,0.40764448,9.8,Cr0.2Pt0.8
72,42.12417551,48.213085,1.6703265,0.49,Cr0.3W0.7B4
73,39.73289136,40.87501,1.3299786,0.98,Cr0.3W0.7B4
