,actual_hardness,predicted_hardness,y_std,load,formula
0,1.81,0.9659222,1e-04,0.49,Ag0.05Gd0.048Pd0.902
1,1.64,0.99002063,1e-04,0.49,Ag0.05Y0.048Pd0.902
2,0.578,0.27241585,1e-04,2.94,Ag0.25Pb0.5Sb0.25Te
3,15.03,24.621277,1e-04,0.98,Al1.5Si1.5N2.5O1.5
5,20.7,45.60298,1e-04,0.25,Al3BC3
6,18.2,45.60298,1e-04,0.49,Al3BC3
7,11.1,42.751263,1e-04,10.0,Al3BC3
8,33.0,42.189537,1e-04,1.96,Al3C2B48
9,27.0,35.909283,1e-04,1.96,AlB12
10,33.5,24.25251,1e-04,0.98,AlMgB14
11,28.2,24.021841,1e-04,9.8,AlMgB14
12,18.0,13.737984,1e-04,0.5,AlN
13,12.01,10.496087,1e-04,0.98,AlN
14,4.0,2.6612382,1e-04,0.98,AlSb
15,1.07,8.50053,1e-04,9.8,Au0.5Pt0.5
16,0.49,3.7167163,1e-04,0.25,Au0.98Co0.02
18,2.55,-0.7298879,1e-04,0.49,AuSn2
19,0.74,5.468287,1e-04,0.49,AuSn4
20,3.58,-2.0887847,1e-04,0.98,AuTiAl
21,8.83,8.848453,1e-04,0.49,AuV3
22,44.384,55.180866,1e-04,0.49,B13N2
23,42.019435,52.163982,1e-04,0.98,B13N2
24,41.6932,51.220135,1e-04,1.96,B13N2
25,40.97,51.21359,1e-04,3.92,B13N2
26,39.32,43.39261,1e-04,0.49,B50Fe
27,54.0,43.733906,1e-04,0.25,B6O
28,53.0,43.733906,1e-04,0.49,B6O
29,45.0,41.005215,1e-04,0.98,B6O
30,29.42,8.441455,1e-04,0.29,BaB6
31,5.1,10.402108,1e-04,9.8,BaHfO3
32,5.0,1.5189849,1e-04,9.8,BaSnO3
33,71.0,50.386566,1e-04,4.9,BC2N
34,67.0,48.51464,1e-04,4.9,BC5
35,4.9,7.8083906,1e-04,0.98,Be12Nb
36,7.06,-0.18996209,1e-04,0.98,Be12Ta
37,8.73,38.957054,1e-04,0.98,Be2B
38,55.966,43.26992,1e-04,0.96,BN
39,53.756,42.339844,1e-04,1.96,BN
40,51.306,42.31415,1e-04,2.94,BN
41,26.48,21.333338,1e-04,0.29,CaB6
42,1.27,2.5061064,1e-04,0.98,Cd2Gd
43,2.75,2.1202502,1e-04,0.98,Cd3Gd
45,2.99,1.386198,1e-04,0.98,Cd6Gd
46,1.47,2.3105817,1e-04,0.98,CdGd
48,6.1,12.603783,1e-04,0.02,Ce0.5U0.5O2
49,6.045,6.050569,1e-04,9.8,Ce0.8Gd0.2O1.9
